task_name,gw,offset_hours,run_time_local
FPL Pre-Deadline GW4 - 48h,4,48,2025-09-11 12:00
FPL Pre-Deadline GW4 - 24h,4,24,2025-09-12 12:00
FPL Pre-Deadline GW7 - 48h,7,48,2025-10-01 19:30
FPL Pre-Deadline GW7 - 24h,7,24,2025-10-02 19:30
FPL Pre-Deadline GW7 - 12h,7,12,2025-10-03 07:30
FPL Pre-Deadline GW7 - 6h,7,6,2025-10-03 13:30
FPL Pre-Deadline GW7 - 1h,7,1,2025-10-03 18:30
FPL Pre-Deadline GW10 - 12h,10,12,2025-11-01 03:30
FPL Pre-Deadline GW10 - 6h,10,6,2025-11-01 09:30
FPL Pre-Deadline GW10 - 1h,10,1,2025-11-01 14:30
FPL Pre-Deadline GW11 - 48h,11,48,2025-11-06 15:30
FPL Pre-Deadline GW11 - 24h,11,24,2025-11-07 15:30
FPL Pre-Deadline GW11 - 12h,11,12,2025-11-08 03:30
FPL Pre-Deadline GW11 - 6h,11,6,2025-11-08 09:30
FPL Pre-Deadline GW11 - 1h,11,1,2025-11-08 14:30
FPL Pre-Deadline GW14 - 48h,14,48,2025-12-01 20:30
FPL Pre-Deadline GW14 - 24h,14,24,2025-12-02 20:30
FPL Pre-Deadline GW14 - 12h,14,12,2025-12-03 08:30
FPL Pre-Deadline GW14 - 6h,14,6,2025-12-03 14:30
FPL Pre-Deadline GW14 - 1h,14,1,2025-12-03 19:30
FPL Pre-Deadline GW15 - 48h,15,48,2025-12-04 15:30
FPL Pre-Deadline GW15 - 24h,15,24,2025-12-05 15:30
FPL Pre-Deadline GW15 - 12h,15,12,2025-12-06 03:30
FPL Pre-Deadline GW15 - 6h,15,6,2025-12-06 09:30
FPL Pre-Deadline GW15 - 1h,15,1,2025-12-06 14:30
FPL Pre-Deadline GW16 - 48h,16,48,2025-12-11 15:30
FPL Pre-Deadline GW16 - 24h,16,24,2025-12-12 15:30
FPL Pre-Deadline GW20 - 48h,20,48,2026-01-01 15:30
FPL Pre-Deadline GW20 - 24h,20,24,2026-01-02 15:30
FPL Pre-Deadline GW20 - 12h,20,12,2026-01-03 03:30
FPL Pre-Deadline GW20 - 6h,20,6,2026-01-03 09:30
FPL Pre-Deadline GW20 - 1h,20,1,2026-01-03 14:30
FPL Pre-Deadline GW21 - 48h,21,48,2026-01-05 20:30
FPL Pre-Deadline GW21 - 24h,21,24,2026-01-06 20:30
FPL Pre-Deadline GW21 - 12h,21,12,2026-01-07 08:30
FPL Pre-Deadline GW21 - 6h,21,6,2026-01-07 14:30
FPL Pre-Deadline GW21 - 1h,21,1,2026-01-07 19:30
FPL Pre-Deadline GW25 - 48h,25,48,2026-02-05 15:30
FPL Pre-Deadline GW25 - 24h,25,24,2026-02-06 15:30
FPL Pre-Deadline GW25 - 12h,25,12,2026-02-07 03:30
FPL Pre-Deadline GW25 - 6h,25,6,2026-02-07 09:30
FPL Pre-Deadline GW25 - 1h,25,1,2026-02-07 14:30
FPL Pre-Deadline GW26 - 48h,26,48,2026-02-09 20:30
FPL Pre-Deadline GW26 - 24h,26,24,2026-02-10 20:30
FPL Pre-Deadline GW26 - 12h,26,12,2026-02-11 08:30
FPL Pre-Deadline GW26 - 6h,26,6,2026-02-11 14:30
FPL Pre-Deadline GW26 - 1h,26,1,2026-02-11 19:30
FPL Pre-Deadline GW29 - 48h,29,48,2026-03-02 20:30
FPL Pre-Deadline GW29 - 24h,29,24,2026-03-03 20:30
FPL Pre-Deadline GW29 - 12h,29,12,2026-03-04 08:30
FPL Pre-Deadline GW29 - 6h,29,6,2026-03-04 14:30
FPL Pre-Deadline GW29 - 1h,29,1,2026-03-04 19:30
FPL Pre-Deadline GW30 - 48h,30,48,2026-03-12 15:30
FPL Pre-Deadline GW32 - 48h,32,48,2026-04-09 14:30
FPL Pre-Deadline GW32 - 24h,32,24,2026-04-10 14:30
FPL Pre-Deadline GW32 - 12h,32,12,2026-04-11 02:30
FPL Pre-Deadline GW32 - 6h,32,6,2026-04-11 08:30
FPL Pre-Deadline GW32 - 1h,32,1,2026-04-11 13:30
FPL Pre-Deadline GW35 - 24h,35,24,2026-05-01 14:30
FPL Pre-Deadline GW35 - 12h,35,12,2026-05-02 02:30
FPL Pre-Deadline GW35 - 6h,35,6,2026-05-02 08:30
FPL Pre-Deadline GW35 - 1h,35,1,2026-05-02 13:30
FPL Pre-Deadline GW36 - 48h,36,48,2026-05-07 14:30
FPL Pre-Deadline GW36 - 24h,36,24,2026-05-08 14:30
FPL Pre-Deadline GW36 - 12h,36,12,2026-05-09 02:30
FPL Pre-Deadline GW36 - 6h,36,6,2026-05-09 08:30
FPL Pre-Deadline GW36 - 1h,36,1,2026-05-09 13:30
