gw,offset_hours,task_name,start_local,status
17,1,FPL Pre-Deadline GW17 - 1h,2025-12-20 13:30,OK
18,48,FPL Pre-Deadline GW18 - 48h,2025-12-25 14:30,OK
18,24,FPL Pre-Deadline GW18 - 24h,2025-12-26 14:30,OK
18,12,FPL Pre-Deadline GW18 - 12h,2025-12-27 02:30,OK
18,6,FPL Pre-Deadline GW18 - 6h,2025-12-27 08:30,OK
18,1,FPL Pre-Deadline GW18 - 1h,2025-12-27 13:30,OK
19,48,FPL Pre-Deadline GW19 - 48h,2025-12-28 19:30,OK
19,24,FPL Pre-Deadline GW19 - 24h,2025-12-29 19:30,OK
19,12,FPL Pre-Deadline GW19 - 12h,2025-12-30 07:30,OK
19,6,FPL Pre-Deadline GW19 - 6h,2025-12-30 13:30,OK
19,1,FPL Pre-Deadline GW19 - 1h,2025-12-30 18:30,OK
20,48,FPL Pre-Deadline GW20 - 48h,2026-01-01 14:30,OK
20,24,FPL Pre-Deadline GW20 - 24h,2026-01-02 14:30,OK
20,12,FPL Pre-Deadline GW20 - 12h,2026-01-03 02:30,OK
20,6,FPL Pre-Deadline GW20 - 6h,2026-01-03 08:30,OK
20,1,FPL Pre-Deadline GW20 - 1h,2026-01-03 13:30,OK
21,48,FPL Pre-Deadline GW21 - 48h,2026-01-05 19:30,OK
21,24,FPL Pre-Deadline GW21 - 24h,2026-01-06 19:30,OK
21,12,FPL Pre-Deadline GW21 - 12h,2026-01-07 07:30,OK
21,6,FPL Pre-Deadline GW21 - 6h,2026-01-07 13:30,OK
21,1,FPL Pre-Deadline GW21 - 1h,2026-01-07 18:30,OK
22,48,FPL Pre-Deadline GW22 - 48h,2026-01-15 14:30,OK
22,24,FPL Pre-Deadline GW22 - 24h,2026-01-16 14:30,OK
22,12,FPL Pre-Deadline GW22 - 12h,2026-01-17 02:30,OK
22,6,FPL Pre-Deadline GW22 - 6h,2026-01-17 08:30,OK
22,1,FPL Pre-Deadline GW22 - 1h,2026-01-17 13:30,OK
23,48,FPL Pre-Deadline GW23 - 48h,2026-01-22 14:30,OK
23,24,FPL Pre-Deadline GW23 - 24h,2026-01-23 14:30,OK
23,12,FPL Pre-Deadline GW23 - 12h,2026-01-24 02:30,OK
23,6,FPL Pre-Deadline GW23 - 6h,2026-01-24 08:30,OK
23,1,FPL Pre-Deadline GW23 - 1h,2026-01-24 13:30,OK
24,48,FPL Pre-Deadline GW24 - 48h,2026-01-29 14:30,OK
24,24,FPL Pre-Deadline GW24 - 24h,2026-01-30 14:30,OK
24,12,FPL Pre-Deadline GW24 - 12h,2026-01-31 02:30,OK
24,6,FPL Pre-Deadline GW24 - 6h,2026-01-31 08:30,OK
24,1,FPL Pre-Deadline GW24 - 1h,2026-01-31 13:30,OK
25,48,FPL Pre-Deadline GW25 - 48h,2026-02-05 14:30,OK
25,24,FPL Pre-Deadline GW25 - 24h,2026-02-06 14:30,OK
25,12,FPL Pre-Deadline GW25 - 12h,2026-02-07 02:30,OK
25,6,FPL Pre-Deadline GW25 - 6h,2026-02-07 08:30,OK
25,1,FPL Pre-Deadline GW25 - 1h,2026-02-07 13:30,OK
26,48,FPL Pre-Deadline GW26 - 48h,2026-02-09 19:30,OK
26,24,FPL Pre-Deadline GW26 - 24h,2026-02-10 19:30,OK
26,12,FPL Pre-Deadline GW26 - 12h,2026-02-11 07:30,OK
26,6,FPL Pre-Deadline GW26 - 6h,2026-02-11 13:30,OK
26,1,FPL Pre-Deadline GW26 - 1h,2026-02-11 18:30,OK
