snapshot_time,source_file,id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
2025-08-24T01:11:35Z,price_change_forecast.csv,41,Pau,2,2,45,0.5,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,42,A.García,2,2,40,0.3,0.0,0.0,flat,d,1,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,43,Alex Moreno,2,2,40,9.2,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,44,Bogarde,2,2,40,0.3,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,45,Sousa,2,2,40,0.4,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,46,Yasin,2,2,40,0.2,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,47,Rogers,2,3,70,9.7,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,48,Tielemans,2,3,60,2.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,49,Bailey,2,3,55,0.4,0.0,0.0,flat,u,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,50,Buendía,2,3,54,0.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,51,Iling Jr,2,3,55,0.0,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,53,Malen,2,3,54,1.5,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,54,McGinn,2,3,55,0.7,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,55,Barkley,2,3,50,0.1,0.0,0.0,flat,d,1,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,56,Barrenechea,2,3,50,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,57,Dobbin,2,3,50,0.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,58,Kamara,2,3,50,0.2,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,59,Onana,2,3,50,1.9,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,60,Broggio,2,3,45,0.3,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,61,Dendoncker,2,3,45,0.3,0.0,0.0,flat,u,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,62,Jimoh-Aloba,2,3,45,0.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,63,Young,2,3,45,0.7,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,64,Watkins,2,4,90,25.3,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,65,Redmond,2,4,45,0.9,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,677,Guessand,2,3,65,0.1,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,688,Wright,2,1,40,0.5,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
2025-08-24T01:11:35Z,price_change_forecast.csv,183,Weiss,3,1,45,0.2,0.0,0.0,flat,a,0,stable,0.0,0.0,48h+
