id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
56,Barrenechea,2,3,50,0,0,0,2,0.0,u,0.0,Season-long loan to Benfica,0,0,0.0,0.0,0.0
57,Dobbin,2,3,50,0,0,0,315,0.0,u,0.0,Has joined Preston North End on loan for the rest of the season.,0,0,0.0,0.0,0.0
58,Kamara,2,3,49,0,-1,102,1394,0.1,a,0.0,,105,3,0.05,0.03,0.08
59,Onana,2,3,49,-1,-1,100,20908,0.9,i,0.0,Hamstring injury - Unknown return date,153,6,0.23,0.05,0.28
60,Broggio,2,3,45,0,0,2908,2330,0.3,a,,,0,0,0.0,0.0,0.0
61,Dendoncker,2,3,45,0,0,0,1419,0.2,u,0.0,Has joined Real Oviedo permanently.,0,0,0.0,0.0,0.0
62,Jimoh-Aloba,2,3,45,0,0,471,391,0.1,a,,,0,0,0.0,0.0,0.0
63,Young,2,3,45,0,0,3327,4169,0.6,a,,,0,0,0.0,0.0,0.0
64,Watkins,2,4,88,-1,-2,35757,152634,14.9,a,,,352,8,1.13,0.17,1.3
65,Redmond,2,4,45,0,0,0,6824,0.6,u,0.0,has joined Huddersfield Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
389,Elliott,2,3,54,0,-1,11459,4245,0.5,a,,,20,2,0.0,0.0,0.0
456,Sancho,2,3,59,0,-1,3908,2912,0.2,a,,,0,0,0.0,0.0,0.0
677,Guessand,2,3,64,0,-1,329,509,0.0,a,,,105,3,0.07,0.01,0.08
688,Wright,2,1,40,0,0,1013,1761,0.5,a,,,0,0,0.0,0.0,0.0
701,Rowe,2,2,40,0,0,457,901,0.1,a,,,0,0,0.0,0.0,0.0
702,Burrowes,2,3,45,0,0,490,593,0.1,a,,,16,1,0.0,0.0,0.0
703,Proctor,2,1,40,0,0,1239,1154,0.3,a,,,0,0,0.0,0.0,0.0
710,Patterson,2,2,40,0,0,598,774,0.1,a,,,0,0,0.0,0.0,0.0
719,Lindelöf,2,2,45,0,0,552,242,0.0,d,,Knock - 75% chance of playing,7,1,0.0,0.0,0.0
183,Weiss,3,1,44,-1,-1,381,731,0.1,a,,,0,0,0.0,0.0,0.0
184,Green,3,1,40,0,0,0,2582,0.3,u,0.0,has joined FC Fredericia permanently.,0,0,0.0,0.0,0.0
185,Hladký,3,1,40,0,0,700,661,0.2,a,,,0,0,0.0,0.0,0.0
186,Roberts,3,2,44,0,-1,20,393,0.0,d,0.0,Knock - 25% chance of playing,0,0,0.0,0.0,0.0
187,Walker,3,2,45,0,0,6999,8913,1.7,a,,,360,9,0.01,0.14,0.15
188,Delcroix,3,2,40,0,0,496,1242,0.2,a,,,0,0,0.0,0.0,0.0
189,Dodgson,3,2,40,0,0,0,84,0.0,u,0.0,Has joined Stockport County on loan for the rest of the season.,0,0,0.0,0.0,0.0
190,Ekdal,3,2,40,0,0,22078,5607,1.4,a,,,352,17,0.01,0.01,0.02
191,Estève,3,2,40,0,0,26760,46048,16.5,a,,,352,12,0.05,0.01,0.06
192,Hartman,3,2,40,0,0,3204,2018,0.5,a,,,360,12,0.09,0.09,0.18
193,Humphreys,3,2,40,0,0,202,261,0.1,a,100.0,,0,0,0.0,0.0,0.0
194,Jordan,3,2,40,0,0,17,705,0.1,d,0.0,Hamstring injury - 25% chance of playing,0,0,0.0,0.0,0.0
195,Lucas Pires,3,2,39,-1,-1,3417,1036,0.2,a,,,0,0,0.0,0.0,0.0
196,Sambo,3,2,40,0,0,0,388,0.1,u,0.0,Has joined Sparta Rotterdam on loan for the rest of the season.,0,0,0.0,0.0,0.0
197,Sonne,3,2,40,0,0,252,663,0.1,a,,,102,3,0.03,0.08,0.11
198,Tuanzebe,3,2,39,0,-1,17879,10623,2.0,a,100.0,,0,0,0.0,0.0,0.0
199,Worrall,3,2,40,0,0,270,491,0.1,a,,,18,3,0.0,0.0,0.0
200,Anthony,3,3,55,0,0,41673,9667,1.3,a,,,352,24,1.7,0.39,2.09
201,Benson,3,3,54,0,-1,185,251,0.0,a,,,0,0,0.0,0.0,0.0
202,Bruun Larsen,3,3,54,0,-1,99,516,0.0,d,,Knock - 75% chance of playing,176,9,0.05,0.34,0.39
203,Boateng,3,3,49,0,-1,121,266,0.0,a,,,0,0,0.0,0.0,0.0
204,Churlinov,3,3,49,0,-1,0,167,0.0,u,0.0,has joined Kocaelispor  permanently.,0,0,0.0,0.0,0.0
