id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,60,0,5,1934,1356,34.2,a,,,2610,115,0.0,0.06,0.06
2,Arrizabalaga,1,1,41,0,-4,10,18,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,8,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,39,0,-1,4,14,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,71,0,11,3087,723,43.1,a,100.0,,1985,153,1.87,1.59,3.46
6,Saliba,1,2,61,0,1,1306,482,13.6,a,100.0,,1984,96,0.88,0.61,1.49
7,Calafiori,1,2,56,0,1,80,446,6.1,a,100.0,,1347,86,2.77,0.4,3.17
8,J.Timber,1,2,63,0,8,3261,1406,27.9,a,100.0,,2325,135,4.71,1.45,6.16
9,Kiwior,1,2,54,0,-1,0,1,0.0,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,51,0,-4,43,61,1.4,a,,,311,12,0.05,0.06,0.11
11,White,1,2,51,0,-4,0,133,0.5,i,0.0,Knock - Unknown return date,409,30,0.43,0.49,0.92
13,Clarke,1,2,38,0,-2,7,15,0.4,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,2,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,37,0,-3,64,49,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,98,0,-2,1644,512,7.9,a,100.0,,1815,121,6.72,5.65,12.37
17,Ødegaard,1,3,78,0,-2,14,235,1.6,d,75.0,Knee injury - 75% chance of playing,1070,62,1.01,2.91,3.92
18,Madueke,1,3,68,0,-2,89,456,1.0,a,100.0,,829,51,0.96,1.98,2.94
19,Martinelli,1,3,68,0,-2,81,129,0.9,a,100.0,,751,42,3.42,0.91,4.33
