id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,56,25.7,16876.0,16876.0,up,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,43,0.6,-532.0,-532.0,down,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.4,-505.0,-505.0,down,u,1,stable,0.0,0.0,48h+
4,Setford,1,1,40,0.2,-176.0,-176.0,down,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,62,24.5,75581.0,75581.0,up,a,0,stable,0.0,0.0,12–24h
6,Saliba,1,2,60,12.5,-4904.0,-4904.0,down,a,0,stable,0.0,0.0,48h+
7,Calafiori,1,2,57,14.7,-3226.0,-3226.0,down,a,0,stable,0.0,0.0,48h+
8,J.Timber,1,2,58,14.4,17314.0,17314.0,up,a,0,stable,0.0,0.0,48h+
9,Kiwior,1,2,54,0.1,-60.0,-60.0,down,u,1,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,53,2.0,-2717.0,-2717.0,down,a,0,stable,0.0,0.0,48h+
11,White,1,2,54,0.5,-220.0,-220.0,down,a,0,stable,0.0,0.0,48h+
13,Clarke,1,2,40,0.5,-413.0,-413.0,down,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,39,0.2,-450.0,-450.0,down,u,1,stable,0.0,0.0,48h+
15,Nichols,1,2,39,0.2,326.0,326.0,up,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,98,5.6,32338.0,32338.0,up,a,0,stable,0.0,0.0,48h+
17,Ødegaard,1,3,79,1.8,-1228.0,-1228.0,down,a,0,stable,0.0,0.0,48h+
18,Madueke,1,3,70,1.0,-5992.0,-5992.0,down,i,1,stable,0.0,0.0,48h+
19,Martinelli,1,3,69,1.1,560.0,560.0,up,a,0,stable,0.0,0.0,48h+
20,Trossard,1,3,69,0.3,316.0,316.0,up,a,0,stable,0.0,0.0,48h+
21,Rice,1,3,65,8.0,4978.0,4978.0,up,a,0,stable,0.0,0.0,48h+
22,Merino,1,3,59,0.6,2025.0,2025.0,up,a,0,stable,0.0,0.0,48h+
23,Fábio Vieira,1,3,54,0.0,-21.0,-21.0,down,u,1,stable,0.0,0.0,48h+
24,Nørgaard,1,3,53,0.2,-156.0,-156.0,down,a,0,stable,0.0,0.0,48h+
25,Nwaneri,1,3,53,0.2,-290.0,-290.0,down,a,0,stable,0.0,0.0,48h+
26,Zubimendi,1,3,55,4.3,728.0,728.0,up,a,0,stable,0.0,0.0,48h+
28,Kabia,1,3,45,0.2,-301.0,-301.0,down,u,1,stable,0.0,0.0,48h+
29,Sambi,1,3,45,0.1,-122.0,-122.0,down,u,1,stable,0.0,0.0,48h+
30,Havertz,1,4,73,0.4,-278.0,-278.0,down,i,1,stable,0.0,0.0,48h+
31,G.Jesus,1,4,64,0.0,-25.0,-25.0,down,i,1,stable,0.0,0.0,48h+
266,Eze,1,3,75,12.6,15361.0,15361.0,up,a,0,stable,0.0,0.0,48h+
662,Mosquera,1,2,54,0.2,-206.0,-206.0,down,a,0,stable,0.0,0.0,48h+
666,Gyökeres,1,4,90,25.8,-310.0,-310.0,down,a,0,stable,0.0,0.0,48h+
700,Dowman,1,3,45,0.4,-683.0,-683.0,down,a,0,stable,0.0,0.0,48h+
711,Harriman-Annous,1,3,45,0.0,6.0,6.0,up,a,0,stable,0.0,0.0,48h+
725,Hincapie,1,2,54,0.0,-157.0,-157.0,down,d,1,stable,0.0,0.0,48h+
32,Martinez,2,1,50,2.0,-3716.0,-3716.0,down,a,0,stable,0.0,0.0,48h+
33,M.Bizot,2,1,44,0.6,-909.0,-909.0,down,a,0,stable,0.0,0.0,48h+
34,Gauci,2,1,40,0.1,-154.0,-154.0,down,u,1,stable,0.0,0.0,48h+
35,Marschall,2,1,40,0.0,-17.0,-17.0,down,u,1,stable,0.0,0.0,48h+
36,Cash,2,2,46,5.3,1582.0,1582.0,up,a,0,stable,0.0,0.0,48h+
37,Digne,2,2,45,1.9,173.0,173.0,up,a,0,stable,0.0,0.0,48h+
38,Konsa,2,2,45,11.3,-10648.0,-10648.0,down,a,0,stable,0.0,0.0,48h+
39,Maatsen,2,2,43,0.5,-592.0,-592.0,down,a,0,stable,0.0,0.0,48h+
40,Mings,2,2,45,1.6,-1923.0,-1923.0,down,d,1,stable,0.0,0.0,48h+
41,Pau,2,2,44,0.3,-205.0,-205.0,down,a,0,stable,0.0,0.0,48h+
42,A.García,2,2,39,0.2,740.0,740.0,up,a,0,stable,0.0,0.0,48h+
43,Alex Moreno,2,2,40,3.4,-6619.0,-6619.0,down,u,1,stable,0.0,0.0,48h+
44,Bogarde,2,2,40,0.7,1408.0,1408.0,up,a,0,stable,0.0,0.0,48h+
45,Sousa,2,2,40,0.3,-110.0,-110.0,down,a,0,stable,0.0,0.0,48h+
46,Yasin,2,2,40,0.2,-461.0,-461.0,down,u,1,stable,0.0,0.0,48h+
47,Rogers,2,3,69,5.8,-4591.0,-4591.0,down,a,0,stable,0.0,0.0,48h+
48,Tielemans,2,3,59,0.9,-2479.0,-2479.0,down,i,1,stable,0.0,0.0,48h+
49,Bailey,2,3,55,0.1,-115.0,-115.0,down,u,1,stable,0.0,0.0,48h+
50,Buendía,2,3,53,0.1,1039.0,1039.0,up,a,0,stable,0.0,0.0,48h+
51,Iling Jr,2,3,55,0.0,-85.0,-85.0,down,u,1,stable,0.0,0.0,48h+
53,Malen,2,3,51,0.6,-841.0,-841.0,down,a,0,stable,0.0,0.0,48h+
54,McGinn,2,3,54,0.6,1625.0,1625.0,up,a,0,stable,0.0,0.0,48h+
55,Barkley,2,3,48,0.0,-64.0,-64.0,down,i,1,stable,0.0,0.0,48h+
56,Barrenechea,2,3,50,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
57,Dobbin,2,3,50,0.0,-30.0,-30.0,down,u,1,stable,0.0,0.0,48h+
58,Kamara,2,3,49,0.1,176.0,176.0,up,a,0,stable,0.0,0.0,48h+
59,Onana,2,3,49,0.7,-1549.0,-1549.0,down,i,1,stable,0.0,0.0,48h+
60,Broggio,2,3,45,0.3,69.0,69.0,up,a,0,stable,0.0,0.0,48h+
61,Dendoncker,2,3,45,0.1,-184.0,-184.0,down,u,1,stable,0.0,0.0,48h+
62,Jimoh-Aloba,2,3,45,0.1,42.0,42.0,up,a,0,stable,0.0,0.0,48h+
63,Young,2,3,44,0.6,798.0,798.0,up,a,0,stable,0.0,0.0,48h+
64,Watkins,2,4,87,9.8,-3790.0,-3790.0,down,a,0,stable,0.0,0.0,48h+
65,Redmond,2,4,45,0.5,-847.0,-847.0,down,u,1,stable,0.0,0.0,48h+
389,Elliott,2,3,54,0.5,-1103.0,-1103.0,down,a,0,stable,0.0,0.0,48h+
456,Sancho,2,3,59,0.2,-391.0,-391.0,down,a,0,stable,0.0,0.0,48h+
677,Guessand,2,3,63,0.0,46.0,46.0,up,a,0,stable,0.0,0.0,48h+
688,Wright,2,1,40,0.5,-235.0,-235.0,down,a,0,stable,0.0,0.0,48h+
701,Rowe,2,2,40,0.1,-347.0,-347.0,down,u,1,stable,0.0,0.0,48h+
702,Burrowes,2,3,45,0.1,-30.0,-30.0,down,a,0,stable,0.0,0.0,48h+
703,Proctor,2,1,40,0.3,-128.0,-128.0,down,a,0,stable,0.0,0.0,48h+
710,Patterson,2,2,40,0.1,-94.0,-94.0,down,a,0,stable,0.0,0.0,48h+
719,Lindelöf,2,2,45,0.0,39.0,39.0,up,a,0,stable,0.0,0.0,48h+
183,Weiss,3,1,44,0.1,-101.0,-101.0,down,a,0,stable,0.0,0.0,48h+
184,Green,3,1,40,0.3,-365.0,-365.0,down,u,1,stable,0.0,0.0,48h+
185,Hladký,3,1,40,0.2,-67.0,-67.0,down,a,0,stable,0.0,0.0,48h+
186,Roberts,3,2,44,0.0,-56.0,-56.0,down,i,1,stable,0.0,0.0,48h+
