id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,59,32.3,966.0,966.0,up,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,42,0.4,1016.0,1016.0,up,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.3,766.0,766.0,up,u,1,stable,0.0,0.0,48h+
4,Setford,1,1,40,0.2,339.0,339.0,up,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,65,29.5,970474.0,970474.0,up,i,1,+0.1,1.0,0.0,0–6h
6,Saliba,1,2,60,12.6,-65713.0,-65713.0,down,a,0,stable,0.0,0.0,12–24h
7,Calafiori,1,2,58,14.8,96973.0,96973.0,up,d,1,stable,0.0,0.0,12–24h
8,J.Timber,1,2,63,29.5,-268968.0,-268968.0,down,a,0,stable,0.0,0.0,0–6h
9,Kiwior,1,2,54,0.1,70.0,70.0,up,u,1,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,51,1.6,3542.0,3542.0,up,a,0,stable,0.0,0.0,48h+
11,White,1,2,53,0.4,623.0,623.0,up,a,0,stable,0.0,0.0,48h+
13,Clarke,1,2,38,0.5,-104.0,-104.0,down,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,39,0.1,425.0,425.0,up,u,1,stable,0.0,0.0,48h+
15,Nichols,1,2,39,0.2,486.0,486.0,up,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,101,18.0,-79873.0,-79873.0,down,a,0,stable,0.0,0.0,12–24h
17,Ødegaard,1,3,78,1.3,2742.0,2742.0,up,d,1,stable,0.0,0.0,48h+
18,Madueke,1,3,68,0.6,1367.0,1367.0,up,d,1,stable,0.0,0.0,48h+
19,Martinelli,1,3,68,0.8,6947.0,6947.0,up,d,1,stable,0.0,0.0,48h+
20,Trossard,1,3,69,0.9,-25946.0,-25946.0,down,a,0,-0.1,0.0,1.0,6–12h
21,Rice,1,3,69,21.9,-186568.0,-186568.0,down,a,0,stable,0.0,0.0,0–6h
22,Merino,1,3,59,1.0,-429.0,-429.0,down,a,0,stable,0.0,0.0,48h+
23,Fábio Vieira,1,3,54,0.0,21.0,21.0,up,u,1,stable,0.0,0.0,48h+
24,Nørgaard,1,3,52,0.1,268.0,268.0,up,a,0,stable,0.0,0.0,48h+
25,Nwaneri,1,3,51,0.1,428.0,428.0,up,a,0,stable,0.0,0.0,48h+
26,Zubimendi,1,3,54,2.9,7486.0,7486.0,up,a,0,stable,0.0,0.0,48h+
28,Kabia,1,3,45,0.1,315.0,315.0,up,u,1,stable,0.0,0.0,48h+
29,Sambi,1,3,45,0.1,141.0,141.0,up,u,1,stable,0.0,0.0,48h+
30,Havertz,1,4,73,0.3,264.0,264.0,up,d,1,stable,0.0,0.0,48h+
31,G.Jesus,1,4,64,0.0,-18.0,-18.0,down,d,1,stable,0.0,0.0,48h+
266,Eze,1,3,76,13.1,78362.0,78362.0,up,a,0,stable,0.0,0.0,12–24h
662,Mosquera,1,2,54,0.2,-4683.0,-4683.0,down,a,0,stable,0.0,0.0,48h+
666,Gyökeres,1,4,88,11.9,289418.0,289418.0,up,d,1,stable,0.0,0.0,0–6h
700,Dowman,1,3,43,0.4,-5909.0,-5909.0,down,a,0,stable,0.0,0.0,48h+
711,Harriman-Annous,1,3,45,0.0,15.0,15.0,up,a,0,stable,0.0,0.0,48h+
725,Hincapie,1,2,54,0.1,-2115.0,-2115.0,down,a,0,stable,0.0,0.0,48h+
32,Martinez,2,1,50,2.9,-75956.0,-75956.0,down,a,0,-0.1,0.0,1.0,6–12h
33,M.Bizot,2,1,43,0.5,1427.0,1427.0,up,a,0,stable,0.0,0.0,48h+
34,Gauci,2,1,40,0.1,270.0,270.0,up,u,1,stable,0.0,0.0,48h+
35,Marschall,2,1,40,0.0,16.0,16.0,up,u,1,stable,0.0,0.0,48h+
36,Cash,2,2,46,5.7,-47926.0,-47926.0,down,d,1,stable,0.0,0.0,48h+
37,Digne,2,2,45,2.0,-28785.0,-28785.0,down,a,0,-0.1,0.0,1.0,6–12h
38,Konsa,2,2,44,7.9,30479.0,30479.0,up,d,1,stable,0.0,0.0,48h+
39,Maatsen,2,2,42,0.4,734.0,734.0,up,a,0,stable,0.0,0.0,48h+
40,Mings,2,2,44,0.7,7461.0,7461.0,up,i,1,stable,0.0,0.0,48h+
41,Pau,2,2,43,0.4,-6919.0,-6919.0,down,a,0,stable,0.0,0.0,48h+
42,A.García,2,2,39,0.2,1245.0,1245.0,up,d,1,stable,0.0,0.0,48h+
43,Alex Moreno,2,2,40,2.2,9723.0,9723.0,up,u,1,stable,0.0,0.0,48h+
44,Bogarde,2,2,40,0.6,2768.0,2768.0,up,d,1,stable,0.0,0.0,48h+
45,Sousa,2,2,39,0.3,199.0,199.0,up,a,0,stable,0.0,0.0,48h+
46,Yasin,2,2,40,0.1,415.0,415.0,up,u,1,stable,0.0,0.0,48h+
