id,event,kickoff_time,team_h,team_a,team_h_difficulty,team_a_difficulty,finished,finished_provisional,started,minutes
86,9,2025-10-26T16:30:00Z,9,18,3,3,False,False,False,0
91,10,2025-11-01T15:00:00Z,6,11,2,3,False,False,False,0
92,10,2025-11-01T15:00:00Z,3,1,4,2,False,False,False,0
93,10,2025-11-01T15:00:00Z,8,5,3,3,False,False,False,0
94,10,2025-11-01T15:00:00Z,10,20,2,3,False,False,False,0
95,10,2025-11-01T15:00:00Z,12,2,3,5,False,False,False,0
96,10,2025-11-01T15:00:00Z,13,4,3,4,False,False,False,0
97,10,2025-11-01T15:00:00Z,16,14,3,3,False,False,False,0
99,10,2025-11-01T15:00:00Z,18,7,3,3,False,False,False,0
98,10,2025-11-01T15:00:00Z,17,9,2,2,False,False,False,0
100,10,2025-11-01T15:00:00Z,19,15,3,2,False,False,False,0
101,11,2025-11-08T15:00:00Z,2,4,3,4,False,False,False,0
102,11,2025-11-08T15:00:00Z,5,15,3,3,False,False,False,0
103,11,2025-11-08T15:00:00Z,7,20,2,4,False,False,False,0
104,11,2025-11-08T15:00:00Z,8,6,3,3,False,False,False,0
105,11,2025-11-08T15:00:00Z,9,10,3,3,False,False,False,0
106,11,2025-11-08T15:00:00Z,13,12,4,4,False,False,False,0
107,11,2025-11-08T15:00:00Z,16,11,2,3,False,False,False,0
109,11,2025-11-08T15:00:00Z,18,14,3,3,False,False,False,0
108,11,2025-11-08T15:00:00Z,17,1,4,2,False,False,False,0
110,11,2025-11-08T15:00:00Z,19,3,2,2,False,False,False,0
111,12,2025-11-22T15:00:00Z,1,18,3,4,False,False,False,0
112,12,2025-11-22T15:00:00Z,4,19,2,3,False,False,False,0
113,12,2025-11-22T15:00:00Z,6,5,3,3,False,False,False,0
114,12,2025-11-22T15:00:00Z,3,7,3,2,False,False,False,0
115,12,2025-11-22T15:00:00Z,10,17,2,3,False,False,False,0
116,12,2025-11-22T15:00:00Z,11,2,3,2,False,False,False,0
117,12,2025-11-22T15:00:00Z,12,16,3,5,False,False,False,0
118,12,2025-11-22T15:00:00Z,14,9,2,3,False,False,False,0
119,12,2025-11-22T15:00:00Z,15,13,4,4,False,False,False,0
120,12,2025-11-22T15:00:00Z,20,8,3,3,False,False,False,0
121,13,2025-11-29T15:00:00Z,2,20,2,4,False,False,False,0
122,13,2025-11-29T15:00:00Z,5,3,2,3,False,False,False,0
