id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,60,34.7,15289.0,19791.0,up,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,41,0.4,-41.0,-60.0,down,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.2,-22.0,-28.0,down,u,1,stable,0.0,0.0,48h+
4,Setford,1,1,39,0.2,-34.0,-58.0,down,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,72,43.7,14794.0,19327.0,up,a,0,stable,0.0,0.0,48h+
6,Saliba,1,2,61,13.4,-1553.0,-1914.0,down,a,0,stable,0.0,0.0,48h+
7,Calafiori,1,2,56,6.0,-1400.0,-1792.0,down,a,0,stable,0.0,0.0,48h+
8,J.Timber,1,2,63,28.7,17698.0,22798.0,up,a,0,stable,0.0,0.0,48h+
9,Kiwior,1,2,54,0.0,-1.0,-1.0,down,u,1,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,51,1.4,-99.0,-122.0,down,a,0,stable,0.0,0.0,48h+
11,White,1,2,51,0.5,-69.0,-82.0,down,a,1,stable,0.0,0.0,48h+
13,Clarke,1,2,38,0.4,-67.0,-95.0,down,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,39,0.1,-3.0,-7.0,down,u,1,stable,0.0,0.0,48h+
15,Nichols,1,2,37,0.2,64.0,60.0,up,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,98,8.2,7260.0,9448.0,up,a,0,stable,0.0,0.0,48h+
17,Ødegaard,1,3,78,1.6,-853.0,-1118.0,down,d,1,stable,0.0,0.0,48h+
18,Madueke,1,3,68,0.9,-1763.0,-2153.0,down,a,0,stable,0.0,0.0,48h+
19,Martinelli,1,3,68,0.9,-8.0,-4.0,down,a,0,stable,0.0,0.0,48h+
20,Trossard,1,3,66,0.9,-5010.0,-6158.0,down,d,1,stable,0.0,0.0,48h+
21,Rice,1,3,74,29.9,-12769.0,-15106.0,down,a,0,stable,0.0,0.0,48h+
22,Merino,1,3,54,0.8,-350.0,-481.0,down,i,1,stable,0.0,0.0,48h+
23,Fábio Vieira,1,3,54,0.0,-1.0,-1.0,down,u,1,stable,0.0,0.0,48h+
24,Nørgaard,1,3,51,0.1,-12.0,-17.0,down,a,0,stable,0.0,0.0,48h+
25,Nwaneri,1,3,50,0.1,-8.0,-10.0,down,u,1,stable,0.0,0.0,48h+
26,Zubimendi,1,3,52,4.3,-11613.0,-14553.0,down,a,0,stable,0.0,0.0,48h+
28,Kabia,1,3,45,0.1,-5.0,-5.0,down,u,1,stable,0.0,0.0,48h+
29,Sambi,1,3,45,0.0,-1.0,-1.0,down,u,1,stable,0.0,0.0,48h+
30,Havertz,1,4,73,0.5,457.0,623.0,up,a,0,stable,0.0,0.0,48h+
31,G.Jesus,1,4,64,0.4,-886.0,-1108.0,down,a,0,stable,0.0,0.0,48h+
266,Eze,1,3,72,8.1,1690.0,2047.0,up,a,0,stable,0.0,0.0,48h+
662,Mosquera,1,2,53,0.1,59.0,95.0,up,a,0,stable,0.0,0.0,48h+
666,Gyökeres,1,4,88,12.0,-11344.0,-14249.0,down,a,0,stable,0.0,0.0,48h+
700,Dowman,1,3,42,0.5,1072.0,1348.0,up,a,0,stable,0.0,0.0,48h+
711,Harriman-Annous,1,3,44,0.0,6.0,2.0,up,a,0,stable,0.0,0.0,48h+
725,Hincapie,1,2,51,0.9,3061.0,4006.0,up,a,0,stable,0.0,0.0,48h+
759,Salmon,1,2,40,0.0,-1.0,0.0,down,a,0,stable,0.0,0.0,48h+
32,Martinez,2,1,51,4.4,-4630.0,-5656.0,down,a,0,stable,0.0,0.0,48h+
33,M.Bizot,2,1,42,0.4,-35.0,-41.0,down,a,0,stable,0.0,0.0,48h+
34,Gauci,2,1,40,0.1,-7.0,-13.0,down,u,1,stable,0.0,0.0,48h+
35,Marschall,2,1,40,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
36,Cash,2,2,48,9.0,-38116.0,-47410.0,down,d,1,stable,0.0,0.0,48h+
37,Digne,2,2,45,1.5,-744.0,-928.0,down,a,0,stable,0.0,0.0,48h+
38,Konsa,2,2,44,7.9,-3537.0,-4383.0,down,a,0,stable,0.0,0.0,48h+
39,Maatsen,2,2,42,0.6,-444.0,-565.0,down,a,0,stable,0.0,0.0,48h+
40,Mings,2,2,43,0.7,-295.0,-377.0,down,a,0,stable,0.0,0.0,48h+
41,Pau,2,2,43,0.3,-68.0,-96.0,down,a,0,stable,0.0,0.0,48h+
42,A.García,2,2,39,0.2,-14.0,-19.0,down,a,0,stable,0.0,0.0,48h+
43,Alex Moreno,2,2,40,1.6,-126.0,-160.0,down,u,1,stable,0.0,0.0,48h+
44,Bogarde,2,2,40,0.5,-43.0,-71.0,down,a,0,stable,0.0,0.0,48h+
45,Sousa,2,2,38,0.3,-89.0,-112.0,down,u,1,stable,0.0,0.0,48h+
46,Yasin,2,2,40,0.1,-8.0,-11.0,down,u,1,stable,0.0,0.0,48h+
47,Rogers,2,3,75,25.1,-94908.0,-117296.0,down,a,0,stable,0.0,0.0,12–24h
48,Tielemans,2,3,59,0.6,-152.0,-198.0,down,i,1,stable,0.0,0.0,48h+
49,Bailey,2,3,55,0.1,71.0,90.0,up,a,0,stable,0.0,0.0,48h+
50,Buendía,2,3,53,0.4,-1256.0,-1553.0,down,a,0,stable,0.0,0.0,48h+
51,Iling Jr,2,3,55,0.0,0.0,-1.0,flat,u,1,stable,0.0,0.0,48h+
53,Malen,2,3,51,0.4,-78.0,-108.0,down,u,1,stable,0.0,0.0,48h+
54,McGinn,2,3,53,0.5,132.0,177.0,up,a,1,stable,0.0,0.0,48h+
55,Barkley,2,3,48,0.0,9.0,13.0,up,a,0,stable,0.0,0.0,48h+
56,Barrenechea,2,3,50,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
57,Dobbin,2,3,50,0.0,-2.0,-2.0,down,u,1,stable,0.0,0.0,48h+
58,Kamara,2,3,49,0.2,-109.0,-139.0,down,i,1,stable,0.0,0.0,48h+
59,Onana,2,3,48,0.7,-195.0,-232.0,down,a,0,stable,0.0,0.0,48h+
60,Broggio,2,3,44,0.3,-44.0,-58.0,down,u,1,stable,0.0,0.0,48h+
61,Dendoncker,2,3,45,0.1,-3.0,-3.0,down,u,1,stable,0.0,0.0,48h+
62,Jimoh-Aloba,2,3,45,0.1,-16.0,-20.0,down,u,1,stable,0.0,0.0,48h+
63,Young,2,3,43,0.5,-253.0,-326.0,down,u,1,stable,0.0,0.0,48h+
64,Watkins,2,4,85,7.8,-10403.0,-13195.0,down,a,0,stable,0.0,0.0,48h+
65,Redmond,2,4,45,0.3,-11.0,-15.0,down,u,1,stable,0.0,0.0,48h+
389,Elliott,2,3,51,0.2,5.0,0.0,up,a,1,stable,0.0,0.0,48h+
456,Sancho,2,3,58,0.2,-392.0,-516.0,down,n,0,stable,0.0,0.0,48h+
688,Wright,2,1,39,0.6,-15.0,-22.0,down,a,0,stable,0.0,0.0,48h+
699,Douglas Luiz,2,3,49,0.1,101.0,138.0,up,a,0,stable,0.0,0.0,48h+
701,Rowe,2,2,40,0.1,-2.0,-3.0,down,u,1,stable,0.0,0.0,48h+
702,Burrowes,2,3,44,0.1,4.0,7.0,up,a,0,stable,0.0,0.0,48h+
703,Proctor,2,1,39,0.6,25.0,17.0,up,a,0,stable,0.0,0.0,48h+
710,Patterson,2,2,39,0.2,-22.0,-30.0,down,a,0,stable,0.0,0.0,48h+
