id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,60,0,5,80528,21388,34.7,a,,,2700,122,0.0,0.06,0.06
2,Arrizabalaga,1,1,41,0,-4,146,402,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,119,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,39,0,-1,136,427,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,72,1,12,83796,12794,43.7,a,100.0,,2075,164,1.87,1.59,3.46
6,Saliba,1,2,61,0,1,17085,44981,13.4,a,100.0,,1984,96,0.88,0.61,1.49
7,Calafiori,1,2,56,0,1,1809,12002,6.0,a,100.0,,1373,87,2.77,0.4,3.17
8,J.Timber,1,2,63,0,8,130838,18949,28.7,a,100.0,,2415,148,4.71,1.52,6.23
9,Kiwior,1,2,54,0,-1,0,14,0.0,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,51,0,-4,557,1281,1.4,a,,,311,12,0.05,0.06,0.11
11,White,1,2,51,0,-4,183,1913,0.5,a,0.0,,409,30,0.43,0.49,0.92
13,Clarke,1,2,38,0,-2,125,511,0.4,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,36,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,37,0,-3,1531,1027,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,98,0,-2,51159,11647,8.2,a,100.0,,1905,130,6.84,5.66,12.5
17,Ødegaard,1,3,78,0,-2,127,4663,1.6,d,75.0,Knee injury - 50% chance of playing,1070,62,1.01,2.91,3.92
18,Madueke,1,3,68,0,-2,2181,12083,0.9,a,100.0,,829,51,0.96,1.98,2.94
19,Martinelli,1,3,68,0,-2,1665,3140,0.9,a,100.0,,810,43,3.49,0.91,4.4
