id,first_name,second_name,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,news,chance_of_playing_next_round,chance_of_playing_this_round
677,Evann,Guessand,Guessand,2,3,65,0,0,359,1814,0.1,a,,,
688,James,Wright,Wright,2,1,40,0,0,11294,1410,0.5,a,,,
183,Max,Weiß,Weiss,3,1,45,0,0,613,1884,0.2,a,,,
184,Etienne,Green,Green,3,1,40,0,0,2253,2320,0.4,a,,,
185,Václav,Hladký,Hladký,3,1,40,0,0,719,1296,0.2,a,,,
186,Connor,Roberts,Roberts,3,2,45,0,0,420,1299,0.1,a,,,
187,Kyle,Walker,Walker,3,2,45,0,0,14730,18401,1.9,a,,,
188,Hannes,Delcroix,Delcroix,3,2,40,0,0,1071,2959,0.3,a,,,
189,Owen,Dodgson,Dodgson,3,2,40,0,0,0,809,0.0,u,Has joined Stockport County on loan for the rest of the season.,0.0,0.0
190,Hjalmar,Ekdal,Ekdal,3,2,40,0,0,4343,2297,0.3,a,,,
191,Maxime,Estève,Estève,3,2,40,0,0,75767,76466,19.5,a,,,
192,Quilindschy,Hartman,Hartman,3,2,40,0,0,6113,4115,0.6,a,,,
193,Bashir,Humphreys,Humphreys,3,2,40,0,0,117,986,0.1,d,Thigh injury - 25% chance of playing,25.0,25.0
194,Jordan,Beyer,Jordan,3,2,40,0,0,542,1731,0.2,a,,,
195,Lucas,Pires Silva,Lucas Pires,3,2,40,0,0,276,1578,0.2,a,,,
196,Shurandy,Sambo,Sambo,3,2,40,0,0,202,2017,0.1,u,Has joined Sparta Rotterdam on loan for the rest of the season.,0.0,
197,Oliver,Sonne,Sonne,3,2,40,0,0,1379,1271,0.2,a,,,
198,Axel,Tuanzebe,Tuanzebe,3,2,40,0,0,3203,19957,2.3,a,,,
199,Joe,Worrall,Worrall,3,2,40,0,0,323,1368,0.1,a,,,
200,Jaidon,Anthony,Anthony,3,3,55,0,0,2054,1748,0.1,a,,,
201,Manuel,Benson Hedilazio,Benson,3,3,55,0,0,111,431,0.0,a,,,
202,Jacob,Bruun Larsen,Bruun Larsen,3,3,55,0,0,226,774,0.0,a,,,
203,Enock,Agyei,Boateng,3,3,50,0,0,234,881,0.1,a,,,
