id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,60,0,5,1793,5676,34.7,a,,,2430,109,0.0,0.05,0.05
2,Arrizabalaga,1,1,41,0,-4,15,29,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,14,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,39,0,-1,25,16,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,71,0,11,3353,4757,42.9,a,100.0,,1805,142,1.84,1.01,2.85
6,Saliba,1,2,61,0,1,1357,5842,13.9,a,100.0,,1804,84,0.38,0.6,0.98
7,Calafiori,1,2,56,0,1,262,1903,6.4,a,100.0,,1347,86,2.77,0.4,3.17
8,J.Timber,1,2,64,0,9,2071,18951,29.7,a,100.0,,2179,124,4.3,1.24,5.54
9,Kiwior,1,2,54,0,-1,0,1,0.0,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,51,0,-4,74,121,1.4,a,,,311,12,0.05,0.06,0.11
11,White,1,2,51,0,-4,60,112,0.5,a,100.0,,409,30,0.43,0.49,0.92
13,Clarke,1,2,38,0,-2,23,43,0.4,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,8,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,37,0,-3,194,54,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,98,0,-2,1675,904,7.6,a,100.0,,1635,114,6.13,5.24,11.37
17,Ødegaard,1,3,78,0,-2,10,438,1.6,d,75.0,Knock - 75% chance of playing,1057,58,1.01,2.9,3.91
18,Madueke,1,3,68,0,-2,611,1179,1.3,a,100.0,,828,50,0.96,1.98,2.94
19,Martinelli,1,3,68,0,-2,92,463,1.0,a,100.0,,703,40,3.42,0.9,4.32
20,Trossard,1,3,68,0,-2,263,1260,1.1,a,100.0,,1515,95,4.58,2.51,7.09
21,Rice,1,3,76,0,11,5528,10156,34.2,a,100.0,,2235,148,2.95,5.94,8.89
22,Merino,1,3,54,0,-6,2,481,0.9,i,0.0,Foot injury - Unknown return date,996,66,2.99,1.45,4.44
23,Fábio Vieira,1,3,54,0,-1,0,0,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,51,0,-4,7,9,0.1,a,100.0,,32,4,0.05,0.0,0.05
25,Nwaneri,1,3,50,0,-5,0,7,0.1,u,0.0,has joined Marseille on loan for the rest of the season.,165,8,0.23,0.08,0.31
26,Zubimendi,1,3,53,0,-2,1484,3924,5.5,a,100.0,,2265,107,2.56,1.84,4.4
28,Kabia,1,3,45,0,0,0,6,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,0,0.0,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,41,1146,0.6,d,75.0,Muscle injury - 75% chance of playing,156,8,0.21,0.06,0.27
31,G.Jesus,1,4,64,0,-1,185,1096,0.6,a,100.0,,304,17,1.75,0.19,1.94
266,Eze,1,3,72,0,-3,168,1201,7.6,a,,,1148,72,2.8,1.71,4.51
662,Mosquera,1,2,53,0,-2,31,20,0.1,a,100.0,,519,21,0.0,0.44,0.44
666,Gyökeres,1,4,88,0,-2,594,8719,11.8,a,100.0,,1636,78,7.88,1.33,9.21
700,Dowman,1,3,42,0,-3,557,230,0.4,i,0.0,Ankle injury - Unknown return date,27,5,0.14,0.02,0.16
711,Harriman-Annous,1,3,44,0,-1,1,3,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,51,0,-4,757,273,0.7,a,100.0,,1213,57,0.31,1.08,1.39
759,Salmon,1,2,40,0,0,7,4,0.0,a,,,0,0,0.0,0.0,0.0
32,Martinez,2,1,51,1,1,4532,849,4.6,a,100.0,,2025,95,0.0,0.05,0.05
33,M.Bizot,2,1,42,0,-3,9,84,0.4,s,0.0,Suspended until 27 Feb,405,11,0.0,0.0,0.0
34,Gauci,2,1,40,0,0,0,6,0.1,u,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0.0,0.0,0.0
35,Marschall,2,1,40,0,0,0,0,0.0,u,0.0,Has joined Stevenage permanently.,0,0,0.0,0.0,0.0
36,Cash,2,2,49,0,4,3844,4890,11.0,a,100.0,,2217,101,1.04,2.37,3.41
37,Digne,2,2,45,0,0,202,898,1.6,a,100.0,,1309,72,0.54,2.21,2.75
38,Konsa,2,2,44,0,-1,3639,724,8.0,a,100.0,,2315,87,1.01,0.52,1.53
39,Maatsen,2,2,42,0,-3,409,177,0.6,a,,,1133,38,0.85,1.74,2.59
40,Mings,2,2,43,0,-2,349,156,0.7,a,100.0,,782,41,0.65,0.34,0.99
41,Pau,2,2,43,0,-2,32,161,0.3,a,100.0,,1206,49,0.59,0.33,0.92
42,A.García,2,2,39,0,-1,31,9,0.2,a,100.0,,33,2,0.0,0.01,0.01
43,Alex Moreno,2,2,40,0,0,0,79,1.6,u,0.0,Has joined Girona permanently.,0,0,0.0,0.0,0.0
44,Bogarde,2,2,40,0,0,96,124,0.5,a,100.0,,662,33,0.0,0.16,0.16
45,Sousa,2,2,38,0,-2,0,69,0.3,u,0.0,has joined Rotherham on loan for the rest of the season.,0,0,0.0,0.0,0.0
46,Yasin,2,2,40,0,0,0,2,0.1,u,0.0,has joined Anderlecht on loan for the rest of the season.,0,0,0.0,0.0,0.0
47,Rogers,2,3,77,0,7,8127,10606,31.6,a,100.0,,2407,127,4.93,3.1,8.03
48,Tielemans,2,3,59,0,-1,8,184,0.7,i,0.0,Ankle injury - Expected back 11 Apr,1295,52,0.97,2.53,3.5
49,Bailey,2,3,55,0,0,56,20,0.1,a,100.0,,190,6,0.21,0.61,0.82
50,Buendía,2,3,53,0,-2,308,455,0.6,a,100.0,,1224,76,2.71,1.46,4.17
51,Iling Jr,2,3,55,0,0,0,3,0.0,u,0.0,has joined Pisa on loan for the rest of the season.,0,0,0.0,0.0,0.0
53,Malen,2,3,51,0,-4,0,81,0.4,u,0.0,has joined Roma on loan for the rest of the season.,640,55,4.03,0.35,4.38
54,McGinn,2,3,54,0,-1,5,195,0.5,i,0.0,Knee injury - Expected back 21 Mar,1591,71,2.52,1.96,4.48
55,Barkley,2,3,48,0,-2,16,6,0.0,a,100.0,,186,18,0.57,0.29,0.86
56,Barrenechea,2,3,50,0,0,0,0,0.0,u,0.0,Season-long loan to Benfica,0,0,0.0,0.0,0.0
57,Dobbin,2,3,50,0,0,0,1,0.0,u,0.0,Has joined Preston North End on loan for the rest of the season.,0,0,0.0,0.0,0.0
58,Kamara,2,3,49,0,-1,3,69,0.2,i,0.0,Knee injury - Expected back 01 Jun,1410,61,0.53,0.84,1.36
59,Onana,2,3,48,0,-2,223,109,0.7,a,100.0,,1198,60,0.84,0.27,1.11
60,Broggio,2,3,44,0,-1,0,39,0.3,u,0.0,has joined Falkirk on loan for the rest of the season.,0,0,0.0,0.0,0.0
61,Dendoncker,2,3,45,0,0,0,4,0.1,u,0.0,Has joined Real Oviedo permanently.,0,0,0.0,0.0,0.0
62,Jimoh-Aloba,2,3,45,0,0,0,11,0.1,u,0.0,has joined West Brom on loan for the rest of the season.,8,1,0.0,0.0,0.0
63,Young,2,3,43,0,-2,0,162,0.6,u,0.0,has joined Reading on loan for the rest of the season.,0,0,0.0,0.0,0.0
64,Watkins,2,4,86,0,-4,1797,5543,9.1,a,100.0,,1989,97,9.72,1.0,10.72
65,Redmond,2,4,45,0,0,0,19,0.3,u,0.0,has joined Huddersfield Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
389,Elliott,2,3,51,0,-4,1,66,0.2,i,0.0,Knock - Unknown return date,110,5,0.29,0.08,0.37
456,Sancho,2,3,58,0,-2,108,116,0.2,a,100.0,,600,24,0.58,1.44,2.02
688,Wright,2,1,39,0,-1,34,45,0.6,a,,,0,0,0.0,0.0,0.0
699,Douglas Luiz,2,3,49,0,-1,99,47,0.1,a,100.0,,649,20,0.23,1.23,1.46
701,Rowe,2,2,40,0,0,0,2,0.1,u,0.0,has joined Annecy on loan for the rest of the season.,0,0,0.0,0.0,0.0
702,Burrowes,2,3,44,0,-1,9,9,0.1,a,,,16,1,0.0,0.0,0.0
703,Proctor,2,1,39,0,-1,189,113,0.6,a,,,0,0,0.0,0.0,0.0
710,Patterson,2,2,39,0,-1,12,22,0.2,a,,,0,0,0.0,0.0,0.0
719,Lindelöf,2,2,45,0,0,15,63,0.1,a,100.0,,572,22,0.03,0.07,0.1
754,George Hemmings,2,3,45,0,0,5,2,0.0,a,,,25,2,0.04,0.01,0.05
757,Hollingshead,2,1,40,0,0,2,2,0.0,a,,,0,0,0.0,0.0,0.0
768,Leon Routh,2,2,40,0,0,1,7,0.0,a,,,0,0,0.0,0.0,0.0
781,Carroll,2,2,40,0,0,2,9,0.0,a,,,0,0,0.0,0.0,0.0
792,Alysson,2,3,50,0,0,2,2,0.0,i,0.0,Knock - Unknown return date,16,1,0.0,0.01,0.01
808,Abraham,2,4,60,0,0,2695,261,0.3,a,,,124,11,0.89,0.08,0.97
183,Weiss,3,1,43,0,-2,20,12,0.1,a,,,0,0,0.0,0.0,0.0
184,Green,3,1,40,0,0,0,6,0.2,u,0.0,has joined FC Fredericia permanently.,0,0,0.0,0.0,0.0
185,Hladký,3,1,39,0,-1,9,5,0.2,a,,,0,0,0.0,0.0,0.0
186,Roberts,3,2,44,0,-1,4,3,0.0,i,0.0,Achilles injury - Unknown return date,0,0,0.0,0.0,0.0
187,Walker,3,2,44,0,-1,88,149,1.1,a,100.0,,2281,52,0.12,0.97,1.09
188,Delcroix,3,2,38,0,-2,0,39,0.2,u,0.0,has joined Lugano permanently.,0,0,0.0,0.0,0.0
189,Dodgson,3,2,40,0,0,0,0,0.0,u,0.0,Has joined Stockport County on loan for the rest of the season.,0,0,0.0,0.0,0.0
190,Ekdal,3,2,39,0,-1,21,160,0.8,a,,,1179,44,0.21,0.24,0.45
191,Estève,3,2,39,0,-1,470,822,7.9,a,100.0,,2059,59,0.58,0.53,1.11
192,Hartman,3,2,40,0,0,23,170,0.7,a,,,1337,46,0.19,1.51,1.7
193,Humphreys,3,2,39,0,-1,27,34,0.1,a,100.0,,879,32,0.22,0.47,0.69
194,Jordan,3,2,39,0,-1,5,6,0.1,i,0.0,Hamstring injury - Unknown return date,0,0,0.0,0.0,0.0
195,Lucas Pires,3,2,38,0,-2,51,75,0.3,a,100.0,,906,17,0.31,0.97,1.28
196,Sambo,3,2,40,0,0,0,2,0.0,u,0.0,has joined Sparta Rotterdam on loan for the rest of the season.,0,0,0.0,0.0,0.0
197,Sonne,3,2,38,0,-2,0,73,0.2,u,0.0,has joined Sparta Prague on loan for the rest of the season.,164,13,0.55,0.08,0.63
198,Tuanzebe,3,2,39,0,-1,3,202,1.0,i,0.0,Achilles injury - Expected back 14 Mar,931,27,0.61,0.11,0.72
199,Worrall,3,2,38,0,-2,169,18,0.2,a,100.0,,334,14,0.0,0.02,0.02
200,Anthony,3,3,50,0,-5,260,241,1.8,a,100.0,,1748,86,3.19,1.8,4.99
