element,web_name,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type
1,Raya,Arsenal,GK,9,90,6,0,0,1,0,0,0,0,0,0,1,0,25,15.0,0.1,0.0,1.5,2,10,0,0,1,0.00,0.00,0.00,0.47,False,1,1
2,Arrizabalaga,Arsenal,GK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
3,Hein,Arsenal,GK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
4,Setford,Arsenal,GK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
5,Gabriel,Arsenal,DEF,9,90,9,0,0,1,0,0,0,0,0,0,0,3,32,27.2,11.2,9.0,4.7,9,0,0,9,1,0.10,0.03,0.13,0.47,False,1,2
6,Saliba,Arsenal,DEF,9,45,1,0,0,0,0,0,0,0,0,0,0,0,10,7.4,1.5,0.0,0.9,1,1,0,1,1,0.00,0.02,0.02,0.08,False,1,2
7,Calafiori,Arsenal,DEF,9,81,6,0,0,1,0,0,0,0,0,0,0,0,26,4.6,3.8,2.0,1.0,1,6,0,1,1,0.07,0.02,0.09,0.46,False,1,2
8,J.Timber,Arsenal,DEF,9,90,6,0,0,1,0,0,0,0,0,0,0,0,25,11.8,16.7,2.0,3.1,2,4,2,4,1,0.00,0.04,0.04,0.47,False,1,2
9,Kiwior,Arsenal,DEF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
10,Lewis-Skelly,Arsenal,DEF,9,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,1,0,0,0,0.00,0.00,0.00,0.01,False,1,2
11,White,Arsenal,DEF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
12,Zinchenko,Nott'm Forest,DEF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,16,2
13,Clarke,Arsenal,DEF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
14,Kacurri,Arsenal,DEF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
15,Nichols,Arsenal,DEF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
16,Saka,Arsenal,MID,9,65,3,0,0,1,0,0,0,0,0,0,0,0,8,2.2,1.9,3.0,0.7,0,5,2,7,1,0.02,0.01,0.03,0.08,False,1,3
17,Ødegaard,Arsenal,MID,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
18,Madueke,Arsenal,MID,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
19,Martinelli,Arsenal,MID,9,24,1,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.3,2.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.39,False,1,3
20,Trossard,Arsenal,MID,9,90,3,0,0,1,0,0,0,0,0,0,0,0,4,4.8,7.7,33.0,4.6,1,6,0,7,1,0.34,0.05,0.39,0.47,False,1,3
21,Rice,Arsenal,MID,9,81,7,0,1,1,0,0,0,0,0,0,0,1,27,21.2,40.8,29.0,9.1,3,3,3,9,1,0.37,0.61,0.98,0.46,False,1,3
22,Merino,Arsenal,MID,9,8,1,0,0,0,0,0,0,0,0,0,0,0,4,4.0,0.3,0.0,0.4,2,0,0,2,0,0.00,0.00,0.00,0.01,False,1,3
23,Fábio Vieira,Arsenal,MID,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
24,Nørgaard,Arsenal,MID,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
25,Nwaneri,Arsenal,MID,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
26,Zubimendi,Arsenal,MID,9,90,5,0,0,1,0,0,0,0,0,0,0,0,15,18.2,15.5,0.0,3.4,9,4,2,15,1,0.00,0.03,0.03,0.47,False,1,3
27,Nelson,Brentford,MID,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,5,3
28,Kabia,Arsenal,MID,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
29,Sambi,Arsenal,MID,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
30,Havertz,Arsenal,FWD,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,4
31,G.Jesus,Arsenal,FWD,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,4
32,Martinez,Aston Villa,GK,9,90,8,0,0,1,0,0,0,0,0,0,3,1,32,27.2,0.0,0.0,2.7,0,16,0,0,1,0.00,0.00,0.00,1.18,True,2,1
33,M.Bizot,Aston Villa,GK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,1
34,Gauci,Aston Villa,GK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,1
35,Marschall,Aston Villa,GK,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,1
36,Cash,Aston Villa,DEF,9,90,15,1,0,1,0,0,0,0,0,0,0,3,44,48.0,19.8,7.0,7.5,5,2,2,7,1,0.06,0.07,0.13,1.18,True,2,2
37,Digne,Aston Villa,DEF,9,85,6,0,0,1,0,0,0,0,0,0,0,0,28,11.2,16.7,11.0,3.9,1,0,3,4,1,0.06,0.06,0.12,0.98,False,2,2
38,Konsa,Aston Villa,DEF,9,90,8,0,0,1,0,0,0,0,0,0,0,0,31,30.8,0.5,2.0,3.3,11,4,1,12,1,0.00,0.00,0.00,1.18,False,2,2
39,Maatsen,Aston Villa,DEF,9,4,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.20,False,2,2
40,Mings,Aston Villa,DEF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
41,Pau,Aston Villa,DEF,9,90,8,0,0,1,0,0,0,0,0,0,0,2,35,20.4,1.3,0.0,2.2,6,1,0,6,1,0.00,0.01,0.01,1.18,False,2,2
42,A.García,Aston Villa,DEF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
43,Alex Moreno,Aston Villa,DEF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
44,Bogarde,Aston Villa,DEF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,2,2
