id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,59,33.6,8584.0,8759.0,up,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,41,0.4,513.0,491.0,up,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.2,335.0,330.0,up,u,1,stable,0.0,0.0,48h+
4,Setford,1,1,39,0.2,574.0,541.0,up,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,68,34.8,-593769.0,-570468.0,down,a,0,-0.1,0.0,1.0,0–6h
6,Saliba,1,2,60,12.0,-36529.0,-35060.0,down,a,0,stable,0.0,0.0,48h+
7,Calafiori,1,2,56,6.4,71595.0,69291.0,up,i,1,stable,0.0,0.0,12–24h
8,J.Timber,1,2,63,28.1,-80237.0,-75123.0,down,a,0,stable,0.0,0.0,12–24h
9,Kiwior,1,2,54,0.0,22.0,22.0,up,u,1,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,51,1.5,2720.0,2616.0,up,a,0,stable,0.0,0.0,48h+
11,White,1,2,51,0.6,652.0,870.0,up,a,0,stable,0.0,0.0,48h+
13,Clarke,1,2,38,0.5,1216.0,1178.0,up,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,39,0.1,101.0,101.0,up,u,1,stable,0.0,0.0,48h+
15,Nichols,1,2,38,0.2,336.0,325.0,up,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,101,19.2,59721.0,54807.0,up,a,0,stable,0.0,0.0,48h+
17,Ødegaard,1,3,78,2.5,-5313.0,-5326.0,down,a,0,stable,0.0,0.0,48h+
18,Madueke,1,3,68,0.7,1730.0,1644.0,up,a,0,stable,0.0,0.0,48h+
19,Martinelli,1,3,68,0.9,-1279.0,-1254.0,down,a,0,stable,0.0,0.0,48h+
20,Trossard,1,3,69,1.6,16573.0,15553.0,up,a,0,stable,0.0,0.0,48h+
21,Rice,1,3,74,29.5,-474512.0,-454113.0,down,a,0,-0.1,0.0,1.0,0–6h
22,Merino,1,3,56,1.6,38346.0,36855.0,up,a,0,stable,0.0,0.0,48h+
23,Fábio Vieira,1,3,54,0.0,12.0,12.0,up,u,1,stable,0.0,0.0,48h+
24,Nørgaard,1,3,51,0.1,124.0,121.0,up,a,0,stable,0.0,0.0,48h+
25,Nwaneri,1,3,50,0.1,146.0,143.0,up,a,0,stable,0.0,0.0,48h+
26,Zubimendi,1,3,52,2.2,1415.0,1554.0,up,a,0,stable,0.0,0.0,48h+
28,Kabia,1,3,45,0.1,83.0,82.0,up,u,1,stable,0.0,0.0,48h+
29,Sambi,1,3,45,0.1,33.0,33.0,up,u,1,stable,0.0,0.0,48h+
30,Havertz,1,4,73,0.3,-847.0,-821.0,down,a,0,stable,0.0,0.0,48h+
31,G.Jesus,1,4,64,0.3,1675.0,1592.0,up,a,0,stable,0.0,0.0,48h+
266,Eze,1,3,73,8.7,88706.0,85326.0,up,a,0,stable,0.0,0.0,12–24h
662,Mosquera,1,2,53,0.1,244.0,243.0,up,i,1,stable,0.0,0.0,48h+
666,Gyökeres,1,4,87,9.4,12681.0,12548.0,up,a,0,stable,0.0,0.0,48h+
700,Dowman,1,3,42,0.3,1237.0,1341.0,up,i,1,stable,0.0,0.0,48h+
711,Harriman-Annous,1,3,44,0.0,18.0,15.0,up,a,0,stable,0.0,0.0,48h+
725,Hincapie,1,2,52,1.0,51383.0,47965.0,up,d,1,stable,0.0,0.0,48h+
759,Salmon,1,2,40,0.0,23.0,22.0,up,a,0,stable,0.0,0.0,48h+
32,Martinez,2,1,50,3.3,29218.0,27455.0,up,d,1,stable,0.0,0.0,48h+
33,M.Bizot,2,1,42,0.4,-107.0,-95.0,down,a,0,stable,0.0,0.0,48h+
34,Gauci,2,1,40,0.1,190.0,186.0,up,u,1,stable,0.0,0.0,48h+
35,Marschall,2,1,40,0.0,15.0,14.0,up,u,1,stable,0.0,0.0,48h+
36,Cash,2,2,48,11.3,-91863.0,-87582.0,down,a,0,stable,0.0,0.0,12–24h
37,Digne,2,2,45,1.6,-5136.0,-4931.0,down,a,0,stable,0.0,0.0,48h+
38,Konsa,2,2,44,7.5,-8070.0,-7916.0,down,a,0,stable,0.0,0.0,48h+
39,Maatsen,2,2,42,0.5,355.0,333.0,up,a,0,stable,0.0,0.0,48h+
