element,web_name,name,position,team,team_name,team_short,gw,event,fixture,kickoff_time,opponent_team,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,clearances_blocks_interceptions,defensive_contribution,element_type,in_dreamteam,recoveries,starts,tackles
92,Faivre,Romain Faivre,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
93,H.Traorè,Hamed Traorè,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,16,4,0,1,0,2,0,0,0,0,0,0,0,12,21.2,10.0,0.0,3.1,0.0,0.0,0.0,0.4,1,4,3,False,2,0,1
94,Sadi,Dominic Sadi,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
95,Silcott-Duberry,Zain Silcott-Duberry,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
96,Winterburn,Ben Winterburn,MID,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,6,1,0,0,0,2,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0,0,3,False,0,0,0
97,Evanilson,Francisco Evanilson de Lima Barbosa,FWD,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,90,1,0,0,0,4,0,0,0,1,0,0,0,-1,0.0,0.6,17.0,1.6,0.29,0.0,0.29,2.21,3,5,4,False,2,1,0
98,Enes Ünal,Enes Ünal,FWD,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,False,0,0,0
99,Adu-Adjei,Daniel Adu-Adjei,FWD,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,False,0,0,0
100,Kroupi.Jr,Eli Junior Kroupi,FWD,4,Bournemouth,,1,1,1,2025-08-15T19:00:00Z,12,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0,0,4,False,0,0,0
101,Kelleher,Caoimhín Kelleher,GK,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,90,1,0,0,0,3,0,0,0,0,0,2,0,4,11.8,0.0,0.0,1.2,0.0,0.0,0.0,1.86,4,0,1,False,14,1,0
102,Balcombe,Ellery Balcombe,GK,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
103,Cox,Matthew Cox,GK,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
104,Eyestone,Julian Eyestone,GK,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
105,Valdimarsson,Hákon Rafn Valdimarsson,GK,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
106,Collins,Nathan Collins,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,90,0,0,0,0,3,0,0,0,1,0,0,0,0,9.8,0.2,5.0,1.5,0.02,0.0,0.02,1.86,5,5,2,False,5,1,0
107,Lewis-Potter,Keane Lewis-Potter,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,68,1,0,0,0,3,0,0,0,0,0,0,0,-8,5.4,4.5,7.0,1.7,0.12,0.0,0.12,1.86,3,5,2,False,2,1,2
108,Ajer,Kristoffer Ajer,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
109,Henry,Rico Henry,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,87,1,0,0,0,3,0,0,0,0,0,0,0,1,8.6,11.5,6.0,2.6,0.0,0.04,0.04,1.86,2,3,2,False,2,1,1
110,Kayode,Michael Kayode,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,90,1,0,0,0,3,0,0,0,0,0,0,0,3,17.8,20.5,0.0,3.8,0.0,0.08,0.08,1.86,4,6,2,False,2,1,2
111,Pinnock,Ethan Pinnock,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
112,Roerslev,Mads Roerslev Rasmussen,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
113,Van den Berg,Sepp van den Berg,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,90,3,0,0,0,3,0,0,0,0,0,0,0,6,34.4,0.6,24.0,5.9,0.21,0.0,0.21,1.86,12,14,2,False,4,1,2
114,Arthur,Benjamin Arthur,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
115,Fredrick,Benjamin Fredrick,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
116,Hickey,Aaron Hickey,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1,2,2,False,0,0,1
117,Ji-soo,Kim Ji-soo,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
118,Meghoma,Jayden Meghoma,DEF,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
119,Mbeumo,Bryan Mbeumo,MID,14,Man Utd,,1,1,9,2025-08-17T15:30:00Z,1,90,2,0,0,0,1,0,0,0,0,0,0,0,17,10.6,21.4,49.0,8.1,0.42,0.05,0.47,1.31,1,6,3,False,5,1,0
120,Schade,Kevin Schade,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,45,1,0,0,0,0,0,0,0,0,0,0,0,1,4.6,0.9,6.0,1.2,0.0,0.04,0.04,0.37,2,7,3,False,3,0,2
121,Damsgaard,Mikkel Damsgaard,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
122,Milambo,Antoni Milambo,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,45,1,0,0,0,3,0,0,0,0,0,0,0,5,4.0,1.8,0.0,0.6,0.0,0.01,0.01,1.49,0,4,3,False,2,1,2
123,Carvalho,Fábio Freitas Gouveia Carvalho,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,90,2,0,0,0,3,0,0,0,0,0,0,0,7,5.4,5.0,3.0,1.3,0.03,0.03,0.06,1.86,0,7,3,False,4,1,3
124,Henderson,Jordan Henderson,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,21,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.1,0.0,0.1,0.0,0.0,0.0,0.0,0,3,3,False,3,0,0
125,Janelt,Vitaly Janelt,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
126,Jensen,Mathias Jensen,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,68,2,0,0,0,3,0,0,0,0,0,0,0,10,9.0,25.4,8.0,4.2,0.13,0.03,0.16,1.86,2,5,3,False,1,1,2
127,Nunes,Gustavo Nunes Fernandes Gomes,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
128,Onyeka,Frank Onyeka,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,21,4,0,1,0,0,0,0,0,0,0,0,0,9,0.0,0.1,2.0,0.1,0.0,0.0,0.0,0.0,0,1,3,False,1,0,0
129,Yarmoliuk,Yehor Yarmoliuk,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,90,2,0,0,0,3,0,0,0,0,0,0,0,10,3.6,10.8,7.0,2.1,0.08,0.01,0.09,1.86,0,9,3,False,9,1,0
130,Donovan,Romelle Donovan,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
131,Konak,Yunus Emre Konak,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
132,Maghoma,Paris Maghoma,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
133,Peart-Harris,Myles Peart-Harris,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
134,Trevitt,Ryan Trevitt,MID,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
135,Wissa,Yoane Wissa,FWD,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,False,0,0,0
136,Thiago,Igor Thiago Nascimento Rodrigues,FWD,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,90,6,1,0,0,3,0,0,0,0,0,0,0,17,36.4,10.7,22.0,6.9,0.91,0.01,0.92,1.86,1,2,4,False,0,1,1
137,Morgan,Iwan Morgan,FWD,5,Brentford,,1,1,4,2025-08-17T13:00:00Z,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,False,0,0,0
138,Steele,Jason Steele,GK,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
139,Verbruggen,Bart Verbruggen,GK,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,90,2,0,0,0,1,0,0,0,0,0,1,0,9,14.4,0.0,0.0,1.4,0.0,0.0,0.0,0.76,1,0,1,False,6,1,0
140,McGill,Tom McGill,GK,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
141,Rushworth,Carl Rushworth,GK,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
142,Scherpen,Kjell Scherpen,GK,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
143,Boscagli,Olivier Boscagli,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
144,Coppola,Diego Coppola,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
145,De Cuyper,Maxim De Cuyper,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,90,2,0,0,0,1,0,0,0,0,0,0,0,8,15.0,26.7,4.0,4.6,0.0,0.09,0.09,0.76,4,6,2,False,3,1,2
146,Dunk,Lewis Dunk,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,90,2,0,0,0,1,0,0,0,0,0,0,0,16,16.6,1.8,7.0,2.5,0.09,0.0,0.09,0.76,7,8,2,False,5,1,1
147,Estupiñan,Pervis Estupiñán Tenorio,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
148,F.Kadıoğlu,Ferdi Kadıoğlu,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,21,0,0,0,0,1,0,0,0,1,0,0,0,-5,0.0,1.3,0.0,0.1,0.0,0.0,0.0,0.24,1,1,2,False,0,0,0
149,Igor,Igor Julio dos Santos de Paulo,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
150,Lamptey,Tariq Lamptey,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
151,Van Hecke,Jan Paul van Hecke,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,90,2,0,0,0,1,0,0,0,0,0,0,0,15,28.0,1.3,0.0,2.9,0.0,0.13,0.13,0.76,7,8,2,False,4,1,1
152,Veltman,Joël Veltman,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
153,Webster,Adam Webster,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
154,Cashin,Eiran Cashin,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
155,Slater,Jacob Slater,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
156,Tasker,Charlie Tasker,DEF,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
157,Mitoma,Mitoma Kaoru,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,82,2,0,0,1,0,0,0,0,1,0,0,0,-2,0.0,2.4,8.0,0.6,0.07,0.04,0.11,0.52,0,0,3,False,0,1,0
158,Georginio,Georginio Rutter,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,68,6,0,1,1,0,0,0,0,0,0,0,0,15,2.2,1.2,15.0,1.8,0.07,0.0,0.07,0.52,0,2,3,False,1,1,1
159,March,Solly March,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
160,Minteh,Yankuba Minteh,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,68,3,0,0,1,0,0,0,0,0,0,0,0,7,0.4,2.9,12.0,1.5,0.09,0.02,0.11,0.52,1,4,3,False,3,1,0
161,Enciso,Julio Enciso Espínola,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
162,Gruda,Brajan Gruda,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,7,1,0,0,0,1,0,0,0,0,0,0,0,-2,0.2,0.3,4.0,0.5,0.31,0.0,0.31,0.24,0,2,3,False,1,0,1
163,Hinshelwood,Jack Hinshelwood,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
164,O'Riley,Matt O'Riley,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,87,10,1,0,1,0,0,0,0,0,0,0,2,24,45.8,44.3,25.0,11.5,0.79,0.14,0.93,0.52,0,3,3,True,0,1,3
165,Sima,Abdallah Sima,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
166,Ayari,Yasin Ayari,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,90,3,0,0,0,1,0,0,0,0,0,0,1,20,7.2,3.2,2.0,1.2,0.0,0.12,0.12,0.76,3,10,3,False,6,1,1
167,Baleba,Carlos Baleba,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,68,3,0,0,1,0,0,0,0,0,0,0,0,10,4.0,11.9,1.0,1.7,0.02,0.01,0.03,0.52,4,11,3,False,6,1,1
168,Buonanotte,Facundo Buonanotte,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
169,Gomez,Diego Gómez Amarilla,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,21,0,0,0,0,1,0,0,0,1,0,0,0,7,7.6,11.3,7.0,2.6,0.03,0.03,0.06,0.24,1,5,3,False,2,0,2
170,Milner,James Milner,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,2,1,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.24,0,0,3,False,0,0,0
171,Sarmiento,Jeremy Sarmiento Morante,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
172,Watson,Tom Watson,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
173,Wieffer,Mats Wieffer,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,90,4,0,0,0,1,0,0,0,0,0,0,0,17,24.8,2.8,21.0,4.9,0.02,0.02,0.04,0.76,8,18,3,False,5,1,5
174,Yalcouye,Malick Yalcouyé,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
175,Knight,Joe Knight,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
176,Mazilu,Adrian Mazilu,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
177,Moran,Andrew Moran,MID,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
178,Welbeck,Danny Welbeck,FWD,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,21,1,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.6,2.0,0.5,0.0,0.0,0.0,0.24,0,1,4,False,0,0,1
179,Ferguson,Evan Ferguson,FWD,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,False,0,0,0
180,Tzimas,Stefanos Tzimas,FWD,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,False,0,0,0
181,Kostoulas,Charalampos Kostoulas,FWD,6,Brighton,,1,1,3,2025-08-16T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,False,0,0,0
182,Trafford,James Trafford,GK,13,Man City,,1,1,7,2025-08-16T16:30:00Z,20,90,7,0,0,1,0,0,0,0,0,0,3,0,31,28.8,0.0,0.0,2.9,0.0,0.0,0.0,0.56,2,0,1,False,10,1,0
183,Weiss,Max Weiß,GK,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
184,Green,Etienne Green,GK,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
185,Hladký,Václav Hladký,GK,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
186,Roberts,Connor Roberts,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
187,Walker,Kyle Walker,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,90,1,0,0,0,3,0,0,0,0,0,0,0,-3,8.2,0.9,1.0,1.0,0.01,0.02,0.03,2.32,5,5,2,False,4,1,0
188,Delcroix,Hannes Delcroix,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
189,Dodgson,Owen Dodgson,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
190,Ekdal,Hjalmar Ekdal,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,90,1,0,0,0,3,0,0,0,0,0,0,0,-5,9.8,0.5,8.0,1.8,0.0,0.0,0.0,2.32,5,5,2,False,1,1,0
191,Estève,Maxime Estève,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,90,1,0,0,0,3,0,0,0,0,0,0,0,0,19.4,0.5,17.0,3.7,0.05,0.0,0.05,2.32,8,8,2,False,2,1,0
192,Hartman,Quilindschy Hartman,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,90,1,0,0,0,3,0,0,0,0,0,0,0,-2,13.4,11.7,2.0,2.7,0.0,0.04,0.04,2.32,5,6,2,False,2,1,1
193,Humphreys,Bashir Humphreys,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
194,Jordan,Jordan Beyer,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
195,Lucas Pires,Lucas Pires Silva,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
196,Sambo,Shurandy Sambo,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
197,Sonne,Oliver Sonne,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,73,1,0,0,0,3,0,0,0,0,0,0,0,-4,4.6,15.9,6.0,2.7,0.03,0.08,0.11,2.09,0,0,2,False,1,1,0
198,Tuanzebe,Axel Tuanzebe,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
199,Worrall,Joe Worrall,DEF,3,Burnley,,1,1,6,2025-08-16T14:00:00Z,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
