element,web_name,name,position,team,team_name,team_short,gw,event,fixture,kickoff_time,opponent_team,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,clearances_blocks_interceptions,defensive_contribution,element_type,in_dreamteam,recoveries,starts,tackles
24,Nørgaard,Christian Nørgaard,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
25,Nwaneri,Ethan Nwaneri,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
26,Zubimendi,Martín Zubimendi Ibáñez,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,90,5,0,0,1,0,0,0,0,0,0,0,0,15,16.0,1.9,2.0,2.0,0.0,0.01,0.01,1.52,4,12,3,False,5,1,3
27,Nelson,Reiss Nelson,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
28,Kabia,Ismeal Kabia,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
29,Sambi,Albert Sambi Lokonga,MID,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,False,0,0,0
30,Havertz,Kai Havertz,FWD,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,30,1,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,0.0,0.01,0.01,0.82,1,3,4,False,2,0,0
31,G.Jesus,Gabriel Fernando de Jesus,FWD,1,Arsenal,,1,1,9,2025-08-17T15:30:00Z,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,False,0,0,0
32,Martinez,Emiliano Martínez Romero,GK,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
33,M.Bizot,Marco Bizot,GK,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,90,7,0,0,1,0,0,0,0,0,0,3,0,29,19.6,0.0,0.0,2.0,0.0,0.0,0.0,1.43,1,0,1,False,12,1,0
34,Gauci,Joe Gauci,GK,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
35,Marschall,Filip Marschall,GK,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,False,0,0,0
36,Cash,Matty Cash,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,90,8,0,0,1,0,0,0,0,0,0,0,0,25,37.6,1.1,2.0,4.1,0.0,0.0,0.0,1.43,9,11,2,False,2,1,2
37,Digne,Lucas Digne,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,90,6,0,0,1,0,0,0,0,0,0,0,0,22,11.6,5.8,0.0,1.7,0.0,0.01,0.01,1.43,5,7,2,False,3,1,2
38,Konsa,Ezri Konsa Ngoyo,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,65,3,0,0,1,0,0,0,0,0,1,0,0,15,1.8,1.1,0.0,0.3,0.0,0.01,0.01,1.11,3,3,2,False,1,1,0
39,Maatsen,Ian Maatsen,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
40,Mings,Tyrone Mings,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,90,6,0,0,1,0,0,0,0,0,0,0,0,25,13.0,3.7,0.0,1.7,0.0,0.0,0.0,1.43,5,5,2,False,2,1,0
41,Pau,Pau Torres,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
42,A.García,Andrés García,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
43,Alex Moreno,Álex Moreno Lopera,DEF,2,Aston Villa,,1,1,2,2025-08-16T11:30:00Z,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,False,0,0,0
