id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,61,35.3,16281.0,16281.0,up,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,40,0.4,-14.0,-14.0,down,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.2,-19.0,-19.0,down,u,1,stable,0.0,0.0,48h+
4,Setford,1,1,39,0.2,-63.0,-63.0,down,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,72,45.0,24204.0,24204.0,up,a,0,stable,0.0,0.0,48h+
6,Saliba,1,2,62,15.6,15189.0,15189.0,up,a,0,stable,0.0,0.0,48h+
7,Calafiori,1,2,56,5.9,3534.0,3534.0,up,a,0,stable,0.0,0.0,48h+
8,J.Timber,1,2,60,16.3,-46870.0,-46870.0,down,i,1,stable,0.0,0.0,48h+
9,Kiwior,1,2,54,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,50,1.4,2300.0,2300.0,up,a,0,stable,0.0,0.0,48h+
11,White,1,2,51,0.6,4921.0,4921.0,up,a,0,stable,0.0,0.0,48h+
13,Clarke,1,2,37,0.4,272.0,272.0,up,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,39,0.1,-3.0,-3.0,down,u,1,stable,0.0,0.0,48h+
15,Nichols,1,2,37,0.2,-91.0,-91.0,down,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,99,10.4,185618.0,185618.0,up,a,0,stable,0.0,0.0,0–6h
17,Ødegaard,1,3,78,1.6,-619.0,-619.0,down,a,0,stable,0.0,0.0,48h+
18,Madueke,1,3,68,0.8,-1106.0,-1106.0,down,a,0,stable,0.0,0.0,48h+
19,Martinelli,1,3,68,0.9,-491.0,-491.0,down,a,0,stable,0.0,0.0,48h+
20,Trossard,1,3,65,0.8,2744.0,2744.0,up,a,0,stable,0.0,0.0,48h+
21,Rice,1,3,72,24.0,-4954.0,-4954.0,down,a,0,stable,0.0,0.0,48h+
22,Merino,1,3,53,0.8,-132.0,-132.0,down,i,1,stable,0.0,0.0,48h+
23,Fábio Vieira,1,3,54,0.0,-1.0,-1.0,down,u,1,stable,0.0,0.0,48h+
24,Nørgaard,1,3,51,0.1,-5.0,-5.0,down,a,0,stable,0.0,0.0,48h+
25,Nwaneri,1,3,50,0.1,-8.0,-8.0,down,u,1,stable,0.0,0.0,48h+
26,Zubimendi,1,3,50,3.0,-6438.0,-6438.0,down,a,0,stable,0.0,0.0,48h+
