id,web_name,team_name,position,price_m,transfers_in,transfers_out,transfers_in_event,transfers_out_event,selected_by_percent,status,minutes,total_points,event_points,form,ict_index,first_name,second_name,team,now_cost,chance_of_playing_next_round,cost_change_event,cost_change_start,cost_change_event_fall,cost_change_start_fall,in_dreamteam,element_type
1,Raya,Arsenal,GK,5.5,226067,48288,226067,48288,20.4,a,90,10,10,10.0,4.9,David,Raya Martín,1,55,,0,0,0,0,True,1
2,Arrizabalaga,Arsenal,GK,4.5,1957,10241,1957,10241,0.9,a,0,0,0,0.0,0.0,Kepa,Arrizabalaga Revuelta,1,45,,0,0,0,0,False,1
3,Hein,Arsenal,GK,4.0,3381,4286,3381,4286,0.6,a,0,0,0,0.0,0.0,Karl,Hein,1,40,,0,0,0,0,False,1
4,Setford,Arsenal,GK,4.0,853,1273,853,1273,0.2,a,0,0,0,0.0,0.0,Tommy,Setford,1,40,,0,0,0,0,False,1
5,Gabriel,Arsenal,DEF,6.0,237077,67121,237077,67121,20.3,a,90,6,6,6.0,2.7,Gabriel,dos Santos Magalhães,1,60,,0,0,0,0,False,2
6,Saliba,Arsenal,DEF,6.0,226221,52425,226221,52425,17.0,a,90,9,9,9.0,3.2,William,Saliba,1,60,,0,0,0,0,False,2
7,Calafiori,Arsenal,DEF,5.5,188193,20032,188193,20032,3.6,a,71,13,13,13.0,7.3,Riccardo,Calafiori,1,55,,0,0,0,0,True,2
8,J.Timber,Arsenal,DEF,5.5,11603,31377,11603,31377,2.1,a,19,0,0,0.0,0.3,Jurriën,Timber,1,55,,0,0,0,0,False,2
9,Kiwior,Arsenal,DEF,5.5,327,1788,327,1788,0.1,a,0,0,0,0.0,0.0,Jakub,Kiwior,1,55,,0,0,0,0,False,2
10,Lewis-Skelly,Arsenal,DEF,5.5,17459,62026,17459,62026,3.9,a,18,0,0,0.0,0.0,Myles,Lewis-Skelly,1,55,,0,0,0,0,False,2
11,White,Arsenal,DEF,5.5,17396,6549,17396,6549,1.0,a,70,6,6,6.0,2.8,Benjamin,White,1,55,,0,0,0,0,False,2
12,Zinchenko,Arsenal,DEF,5.0,2781,5808,2781,5808,0.4,a,0,0,0,0.0,0.0,Oleksandr,Zinchenko,1,50,,0,0,0,0,False,2
13,Clarke,Arsenal,DEF,4.0,5539,6793,5539,6793,0.6,a,0,0,0,0.0,0.0,Brayden,Clarke,1,40,,0,0,0,0,False,2
14,Kacurri,Arsenal,DEF,4.0,1297,2287,1297,2287,0.2,a,0,0,0,0.0,0.0,Maldini,Kacurri,1,40,,0,0,0,0,False,2
15,Nichols,Arsenal,DEF,4.0,989,1954,989,1954,0.2,a,0,0,0,0.0,0.0,Josh,Nichols,1,40,,0,0,0,0,False,2
16,Saka,Arsenal,MID,10.0,108420,90179,108420,90179,17.0,a,90,3,3,3.0,3.5,Bukayo,Saka,1,100,,0,0,0,0,False,3
17,Ødegaard,Arsenal,MID,8.0,38426,28920,38426,28920,3.8,a,90,5,5,5.0,5.5,Martin,Ødegaard,1,80,,0,0,0,0,False,3
18,Madueke,Arsenal,MID,7.0,3028,16235,3028,16235,1.0,a,30,1,1,1.0,1.4,Noni,Madueke,1,70,,0,0,0,0,False,3
19,Martinelli,Arsenal,MID,7.0,7817,15600,7817,15600,1.4,a,59,1,1,1.0,3.8,Gabriel,Martinelli Silva,1,70,,0,0,0,0,False,3
20,Trossard,Arsenal,MID,7.0,686,6188,686,6188,0.3,a,0,0,0,0.0,0.0,Leandro,Trossard,1,70,100.0,0,0,0,0,False,3
21,Rice,Arsenal,MID,6.5,72363,57227,72363,57227,8.3,a,82,6,6,6.0,1.2,Declan,Rice,1,65,,0,0,0,0,False,3
22,Merino,Arsenal,MID,6.0,4022,14483,4022,14483,0.6,a,7,1,1,1.0,0.1,Mikel,Merino Zazón,1,60,,0,0,0,0,False,3
23,Fábio Vieira,Arsenal,MID,5.5,423,854,423,854,0.0,a,0,0,0,0.0,0.0,Fábio,Ferreira Vieira,1,55,,0,0,0,0,False,3
24,Nørgaard,Arsenal,MID,5.5,1108,16108,1108,16108,0.5,d,0,0,0,0.0,0.0,Christian,Nørgaard,1,55,75.0,0,0,0,0,False,3
25,Nwaneri,Arsenal,MID,5.5,1523,6128,1523,6128,0.3,a,0,0,0,0.0,0.0,Ethan,Nwaneri,1,55,,0,0,0,0,False,3
26,Zubimendi,Arsenal,MID,5.5,29790,27846,29790,27846,2.3,a,90,5,5,5.0,2.0,Martín,Zubimendi Ibáñez,1,55,,0,0,0,0,False,3
27,Nelson,Arsenal,MID,5.0,1353,2522,1353,2522,0.1,a,0,0,0,0.0,0.0,Reiss,Nelson,1,50,,0,0,0,0,False,3
28,Kabia,Arsenal,MID,4.5,3342,4612,3342,4612,0.3,a,0,0,0,0.0,0.0,Ismeal,Kabia,1,45,,0,0,0,0,False,3
29,Sambi,Arsenal,MID,4.5,1444,2112,1444,2112,0.1,a,0,0,0,0.0,0.0,Albert,Sambi Lokonga,1,45,,0,0,0,0,False,3
30,Havertz,Arsenal,FWD,7.5,7861,31439,7861,31439,1.1,d,30,1,1,1.0,0.6,Kai,Havertz,1,75,25.0,0,0,0,0,False,4
31,G.Jesus,Arsenal,FWD,6.5,213,929,213,929,0.0,i,0,0,0,0.0,0.0,Gabriel,Fernando de Jesus,1,65,0.0,0,0,0,0,False,4
662,Mosquera,Arsenal,DEF,5.5,364,1891,364,1891,0.1,a,0,0,0,0.0,0.0,Cristhian,Mosquera,1,55,,0,0,0,0,False,2
666,Gyökeres,Arsenal,FWD,9.0,157024,230165,157024,230165,24.8,a,59,1,1,1.0,1.2,Viktor,Gyökeres,1,90,,0,0,0,0,False,4
32,Martinez,Aston Villa,GK,5.0,18334,6307,18334,6307,1.1,a,0,0,0,0.0,0.0,Emiliano,Martínez Romero,2,50,100.0,0,0,0,0,False,1
33,M.Bizot,Aston Villa,GK,4.5,42910,11796,42910,11796,0.9,a,90,7,7,7.0,2.0,Marco,Bizot,2,45,,0,0,0,0,False,1
34,Gauci,Aston Villa,GK,4.0,0,3596,0,3596,0.2,u,0,0,0,0.0,0.0,Joe,Gauci,2,40,0.0,0,0,0,0,False,1
35,Marschall,Aston Villa,GK,4.0,0,304,0,304,0.0,u,0,0,0,0.0,0.0,Filip,Marschall,2,40,0.0,0,0,0,0,False,1
36,Cash,Aston Villa,DEF,4.5,215100,32472,215100,32472,4.5,a,90,8,8,8.0,4.1,Matty,Cash,2,45,,0,0,0,0,False,2
37,Digne,Aston Villa,DEF,4.5,42741,11370,42741,11370,2.3,a,90,6,6,6.0,1.7,Lucas,Digne,2,45,,0,0,0,0,False,2
38,Konsa,Aston Villa,DEF,4.5,18347,441486,18347,441486,17.0,s,65,3,3,3.0,0.3,Ezri,Konsa Ngoyo,2,45,0.0,0,0,0,0,False,2
39,Maatsen,Aston Villa,DEF,4.5,3199,12765,3199,12765,0.8,a,0,0,0,0.0,0.0,Ian,Maatsen,2,45,,0,0,0,0,False,2
40,Mings,Aston Villa,DEF,4.5,36665,7841,36665,7841,1.3,a,90,6,6,6.0,1.7,Tyrone,Mings,2,45,,0,0,0,0,False,2
41,Pau,Aston Villa,DEF,4.5,3091,6469,3091,6469,0.5,a,0,0,0,0.0,0.0,Pau,Torres,2,45,,0,0,0,0,False,2
42,A.García,Aston Villa,DEF,4.0,406,4705,406,4705,0.3,d,0,0,0,0.0,0.0,Andrés,García,2,40,25.0,0,0,0,0,False,2
43,Alex Moreno,Aston Villa,DEF,4.0,28322,74001,28322,74001,9.2,a,0,0,0,0.0,0.0,Álex,Moreno Lopera,2,40,,0,0,0,0,False,2
44,Bogarde,Aston Villa,DEF,4.0,1581,2759,1581,2759,0.3,a,0,0,0,0.0,0.0,Lamare,Bogarde,2,40,,0,0,0,0,False,2
45,Sousa,Aston Villa,DEF,4.0,1853,2858,1853,2858,0.4,a,0,0,0,0.0,0.0,Lino,da Cruz Sousa,2,40,,0,0,0,0,False,2
46,Yasin,Aston Villa,DEF,4.0,1038,2015,1038,2015,0.2,a,0,0,0,0.0,0.0,Yasin,Özcan,2,40,,0,0,0,0,False,2
47,Rogers,Aston Villa,MID,7.0,79463,101838,79463,101838,9.7,a,90,3,3,3.0,3.1,Morgan,Rogers,2,70,100.0,0,0,0,0,False,3
48,Tielemans,Aston Villa,MID,6.0,15188,29724,15188,29724,2.2,a,90,3,3,3.0,0.5,Youri,Tielemans,2,60,,0,0,0,0,False,3
49,Bailey,Aston Villa,MID,5.5,2168,16051,2168,16051,0.4,u,0,0,0,0.0,0.0,Leon,Bailey,2,55,0.0,0,0,0,0,False,3
