fixture,kickoff_time,minutes,event,finished,finished_provisional,started,team_a,team_a_difficulty,team_h,team_h_difficulty
86,2025-10-26T16:30:00Z,0,9,False,False,False,18,3,9,3
91,2025-11-01T15:00:00Z,0,10,False,False,False,11,3,6,2
92,2025-11-01T15:00:00Z,0,10,False,False,False,1,2,3,4
93,2025-11-01T15:00:00Z,0,10,False,False,False,5,3,8,3
94,2025-11-01T15:00:00Z,0,10,False,False,False,20,3,10,2
95,2025-11-01T15:00:00Z,0,10,False,False,False,2,5,12,3
96,2025-11-01T15:00:00Z,0,10,False,False,False,4,4,13,3
97,2025-11-01T15:00:00Z,0,10,False,False,False,14,3,16,3
99,2025-11-01T15:00:00Z,0,10,False,False,False,7,3,18,3
98,2025-11-01T15:00:00Z,0,10,False,False,False,9,2,17,2
100,2025-11-01T15:00:00Z,0,10,False,False,False,15,2,19,3
101,2025-11-08T15:00:00Z,0,11,False,False,False,4,4,2,3
102,2025-11-08T15:00:00Z,0,11,False,False,False,15,3,5,3
103,2025-11-08T15:00:00Z,0,11,False,False,False,20,4,7,2
104,2025-11-08T15:00:00Z,0,11,False,False,False,6,3,8,3
105,2025-11-08T15:00:00Z,0,11,False,False,False,10,3,9,3
106,2025-11-08T15:00:00Z,0,11,False,False,False,12,4,13,4
107,2025-11-08T15:00:00Z,0,11,False,False,False,11,3,16,2
109,2025-11-08T15:00:00Z,0,11,False,False,False,14,3,18,3
108,2025-11-08T15:00:00Z,0,11,False,False,False,1,2,17,4
110,2025-11-08T15:00:00Z,0,11,False,False,False,3,2,19,2
111,2025-11-22T15:00:00Z,0,12,False,False,False,18,4,1,3
112,2025-11-22T15:00:00Z,0,12,False,False,False,19,3,4,2
113,2025-11-22T15:00:00Z,0,12,False,False,False,5,3,6,3
114,2025-11-22T15:00:00Z,0,12,False,False,False,7,2,3,3
115,2025-11-22T15:00:00Z,0,12,False,False,False,17,3,10,2
116,2025-11-22T15:00:00Z,0,12,False,False,False,2,2,11,3
117,2025-11-22T15:00:00Z,0,12,False,False,False,16,5,12,3
118,2025-11-22T15:00:00Z,0,12,False,False,False,9,3,14,2
119,2025-11-22T15:00:00Z,0,12,False,False,False,13,4,15,4
120,2025-11-22T15:00:00Z,0,12,False,False,False,8,3,20,3
121,2025-11-29T15:00:00Z,0,13,False,False,False,20,4,2,2
122,2025-11-29T15:00:00Z,0,13,False,False,False,3,3,5,2
123,2025-11-29T15:00:00Z,0,13,False,False,False,1,4,7,4
124,2025-11-29T15:00:00Z,0,13,False,False,False,14,3,8,3
125,2025-11-29T15:00:00Z,0,13,False,False,False,15,3,9,3
126,2025-11-29T15:00:00Z,0,13,False,False,False,11,4,13,2
127,2025-11-29T15:00:00Z,0,13,False,False,False,6,3,16,3
129,2025-11-29T15:00:00Z,0,13,False,False,False,10,3,18,3
128,2025-11-29T15:00:00Z,0,13,False,False,False,4,2,17,3
130,2025-11-29T15:00:00Z,0,13,False,False,False,12,2,19,4
131,2025-12-03T20:00:00Z,0,14,False,False,False,5,4,1,3
132,2025-12-03T20:00:00Z,0,14,False,False,False,9,3,4,2
133,2025-12-03T20:00:00Z,0,14,False,False,False,2,3,6,3
134,2025-12-03T20:00:00Z,0,14,False,False,False,8,2,3,3
135,2025-12-03T20:00:00Z,0,14,False,False,False,13,3,10,4
136,2025-12-03T20:00:00Z,0,14,False,False,False,7,2,11,3
137,2025-12-03T20:00:00Z,0,14,False,False,False,17,5,12,2
138,2025-12-03T20:00:00Z,0,14,False,False,False,19,3,14,2
139,2025-12-03T20:00:00Z,0,14,False,False,False,18,4,15,3
140,2025-12-03T20:00:00Z,0,14,False,False,False,16,3,20,3
141,2025-12-06T15:00:00Z,0,15,False,False,False,1,4,2,4
142,2025-12-06T15:00:00Z,0,15,False,False,False,7,3,4,3
143,2025-12-06T15:00:00Z,0,15,False,False,False,19,3,6,2
144,2025-12-06T15:00:00Z,0,15,False,False,False,16,3,9,3
145,2025-12-06T15:00:00Z,0,15,False,False,False,8,3,10,3
146,2025-12-06T15:00:00Z,0,15,False,False,False,12,2,11,4
147,2025-12-06T15:00:00Z,0,15,False,False,False,17,4,13,2
148,2025-12-06T15:00:00Z,0,15,False,False,False,3,4,15,2
149,2025-12-06T15:00:00Z,0,15,False,False,False,5,3,18,3
150,2025-12-06T15:00:00Z,0,15,False,False,False,14,3,20,3
151,2025-12-13T15:00:00Z,0,16,False,False,False,20,4,1,2
152,2025-12-13T15:00:00Z,0,16,False,False,False,11,3,5,2
153,2025-12-13T15:00:00Z,0,16,False,False,False,10,2,3,3
154,2025-12-13T15:00:00Z,0,16,False,False,False,9,4,7,2
155,2025-12-13T15:00:00Z,0,16,False,False,False,13,3,8,4
156,2025-12-13T15:00:00Z,0,16,False,False,False,6,5,12,3
157,2025-12-13T15:00:00Z,0,16,False,False,False,4,3,14,3
158,2025-12-13T15:00:00Z,0,16,False,False,False,18,3,16,3
159,2025-12-13T15:00:00Z,0,16,False,False,False,15,2,17,3
160,2025-12-13T15:00:00Z,0,16,False,False,False,2,2,19,3
161,2025-12-20T15:00:00Z,0,17,False,False,False,14,4,2,3
162,2025-12-20T15:00:00Z,0,17,False,False,False,3,3,4,2
163,2025-12-20T15:00:00Z,0,17,False,False,False,17,3,6,2
164,2025-12-20T15:00:00Z,0,17,False,False,False,1,3,9,4
165,2025-12-20T15:00:00Z,0,17,False,False,False,16,3,10,3
166,2025-12-20T15:00:00Z,0,17,False,False,False,8,2,11,3
167,2025-12-20T15:00:00Z,0,17,False,False,False,19,4,13,2
168,2025-12-20T15:00:00Z,0,17,False,False,False,7,4,15,3
169,2025-12-20T15:00:00Z,0,17,False,False,False,12,3,18,4
170,2025-12-20T15:00:00Z,0,17,False,False,False,5,3,20,3
171,2025-12-27T15:00:00Z,0,18,False,False,False,6,4,1,3
172,2025-12-27T15:00:00Z,0,18,False,False,False,4,3,5,3
173,2025-12-27T15:00:00Z,0,18,False,False,False,9,2,3,2
174,2025-12-27T15:00:00Z,0,18,False,False,False,2,4,7,3
175,2025-12-27T15:00:00Z,0,18,False,False,False,18,3,8,3
176,2025-12-27T15:00:00Z,0,18,False,False,False,20,5,12,2
177,2025-12-27T15:00:00Z,0,18,False,False,False,15,3,14,3
178,2025-12-27T15:00:00Z,0,18,False,False,False,13,3,16,4
179,2025-12-27T15:00:00Z,0,18,False,False,False,11,2,17,2
180,2025-12-27T15:00:00Z,0,18,False,False,False,10,2,19,3
181,2025-12-30T20:00:00Z,0,19,False,False,False,2,4,1,3
182,2025-12-30T20:00:00Z,0,19,False,False,False,18,3,5,3
183,2025-12-30T20:00:00Z,0,19,False,False,False,15,2,3,3
184,2025-12-30T20:00:00Z,0,19,False,False,False,4,4,7,3
185,2025-12-30T20:00:00Z,0,19,False,False,False,10,3,8,3
186,2025-12-30T20:00:00Z,0,19,False,False,False,11,5,12,2
187,2025-12-30T20:00:00Z,0,19,False,False,False,20,3,14,2
188,2025-12-30T20:00:00Z,0,19,False,False,False,9,3,16,2
189,2025-12-30T20:00:00Z,0,19,False,False,False,13,2,17,4
190,2025-12-30T20:00:00Z,0,19,False,False,False,6,2,19,3
191,2026-01-03T15:00:00Z,0,20,False,False,False,16,4,2,3
192,2026-01-03T15:00:00Z,0,20,False,False,False,1,3,4,4
193,2026-01-03T15:00:00Z,0,20,False,False,False,3,3,6,2
194,2026-01-03T15:00:00Z,0,20,False,False,False,5,3,9,3
195,2026-01-03T15:00:00Z,0,20,False,False,False,12,3,10,4
196,2026-01-03T15:00:00Z,0,20,False,False,False,14,2,11,3
197,2026-01-03T15:00:00Z,0,20,False,False,False,7,4,13,3
198,2026-01-03T15:00:00Z,0,20,False,False,False,8,4,15,3
199,2026-01-03T15:00:00Z,0,20,False,False,False,17,3,18,2
200,2026-01-03T15:00:00Z,0,20,False,False,False,19,3,20,2
201,2026-01-07T20:00:00Z,0,21,False,False,False,12,4,1,4
202,2026-01-07T20:00:00Z,0,21,False,False,False,18,3,4,3
203,2026-01-07T20:00:00Z,0,21,False,False,False,17,3,5,2
204,2026-01-07T20:00:00Z,0,21,False,False,False,14,2,3,3
205,2026-01-07T20:00:00Z,0,21,False,False,False,2,3,8,3
206,2026-01-07T20:00:00Z,0,21,False,False,False,20,3,9,2
207,2026-01-07T20:00:00Z,0,21,False,False,False,7,3,10,3
208,2026-01-07T20:00:00Z,0,21,False,False,False,6,4,13,3
209,2026-01-07T20:00:00Z,0,21,False,False,False,11,4,15,2
210,2026-01-07T20:00:00Z,0,21,False,False,False,16,2,19,3
211,2026-01-17T15:00:00Z,0,22,False,False,False,9,4,2,2
212,2026-01-17T15:00:00Z,0,22,False,False,False,4,3,6,3
213,2026-01-17T15:00:00Z,0,22,False,False,False,5,4,7,3
214,2026-01-17T15:00:00Z,0,22,False,False,False,10,2,11,3
215,2026-01-17T15:00:00Z,0,22,False,False,False,3,5,12,2
216,2026-01-17T15:00:00Z,0,22,False,False,False,13,3,14,4
217,2026-01-17T15:00:00Z,0,22,False,False,False,1,3,16,4
219,2026-01-17T15:00:00Z,0,22,False,False,False,19,3,18,2
218,2026-01-17T15:00:00Z,0,22,False,False,False,8,2,17,3
220,2026-01-17T15:00:00Z,0,22,False,False,False,15,3,20,3
221,2026-01-24T15:00:00Z,0,23,False,False,False,14,4,1,3
222,2026-01-24T15:00:00Z,0,23,False,False,False,12,3,4,4
223,2026-01-24T15:00:00Z,0,23,False,False,False,16,3,5,3
224,2026-01-24T15:00:00Z,0,23,False,False,False,18,2,3,3
225,2026-01-24T15:00:00Z,0,23,False,False,False,7,3,8,3
226,2026-01-24T15:00:00Z,0,23,False,False,False,11,3,9,2
227,2026-01-24T15:00:00Z,0,23,False,False,False,6,3,10,3
228,2026-01-24T15:00:00Z,0,23,False,False,False,20,4,13,2
229,2026-01-24T15:00:00Z,0,23,False,False,False,2,4,15,3
230,2026-01-24T15:00:00Z,0,23,False,False,False,17,2,19,2
231,2026-01-31T15:00:00Z,0,24,False,False,False,5,4,2,3
232,2026-01-31T15:00:00Z,0,24,False,False,False,9,3,6,2
233,2026-01-31T15:00:00Z,0,24,False,False,False,19,4,7,2
234,2026-01-31T15:00:00Z,0,24,False,False,False,1,2,11,4
235,2026-01-31T15:00:00Z,0,24,False,False,False,15,5,12,3
236,2026-01-31T15:00:00Z,0,24,False,False,False,10,3,14,3
237,2026-01-31T15:00:00Z,0,24,False,False,False,8,3,16,3
239,2026-01-31T15:00:00Z,0,24,False,False,False,13,3,18,4
238,2026-01-31T15:00:00Z,0,24,False,False,False,3,2,17,2
240,2026-01-31T15:00:00Z,0,24,False,False,False,4,3,20,3
241,2026-02-07T15:00:00Z,0,25,False,False,False,17,4,1,2
242,2026-02-07T15:00:00Z,0,25,False,False,False,2,3,4,3
243,2026-02-07T15:00:00Z,0,25,False,False,False,8,3,6,3
244,2026-02-07T15:00:00Z,0,25,False,False,False,19,2,3,2
245,2026-02-07T15:00:00Z,0,25,False,False,False,9,3,10,2
246,2026-02-07T15:00:00Z,0,25,False,False,False,16,2,11,3
247,2026-02-07T15:00:00Z,0,25,False,False,False,13,5,12,4
248,2026-02-07T15:00:00Z,0,25,False,False,False,18,3,14,3
249,2026-02-07T15:00:00Z,0,25,False,False,False,5,4,15,3
250,2026-02-07T15:00:00Z,0,25,False,False,False,7,3,20,3
251,2026-02-11T20:00:00Z,0,26,False,False,False,6,4,2,3
252,2026-02-11T20:00:00Z,0,26,False,False,False,1,3,5,4
253,2026-02-11T20:00:00Z,0,26,False,False,False,11,4,7,2
254,2026-02-11T20:00:00Z,0,26,False,False,False,3,3,8,2
255,2026-02-11T20:00:00Z,0,26,False,False,False,4,3,9,3
256,2026-02-11T20:00:00Z,0,26,False,False,False,10,4,13,3
257,2026-02-11T20:00:00Z,0,26,False,False,False,20,3,16,2
259,2026-02-11T20:00:00Z,0,26,False,False,False,15,3,18,3
258,2026-02-11T20:00:00Z,0,26,False,False,False,12,2,17,4
260,2026-02-11T20:00:00Z,0,26,False,False,False,14,2,19,3
261,2026-02-21T15:00:00Z,0,27,False,False,False,11,4,2,2
262,2026-02-21T15:00:00Z,0,27,False,False,False,6,3,5,3
263,2026-02-21T15:00:00Z,0,27,False,False,False,3,4,7,2
264,2026-02-21T15:00:00Z,0,27,False,False,False,20,3,8,2
265,2026-02-21T15:00:00Z,0,27,False,False,False,14,3,9,3
266,2026-02-21T15:00:00Z,0,27,False,False,False,15,4,13,3
267,2026-02-21T15:00:00Z,0,27,False,False,False,12,3,16,4
269,2026-02-21T15:00:00Z,0,27,False,False,False,1,3,18,4
268,2026-02-21T15:00:00Z,0,27,False,False,False,10,2,17,3
270,2026-02-21T15:00:00Z,0,27,False,False,False,4,2,19,3
271,2026-02-28T15:00:00Z,0,28,False,False,False,7,4,1,3
272,2026-02-28T15:00:00Z,0,28,False,False,False,17,3,4,2
273,2026-02-28T15:00:00Z,0,28,False,False,False,16,3,6,3
274,2026-02-28T15:00:00Z,0,28,False,False,False,5,2,3,3
275,2026-02-28T15:00:00Z,0,28,False,False,False,18,3,10,3
276,2026-02-28T15:00:00Z,0,28,False,False,False,13,2,11,4
277,2026-02-28T15:00:00Z,0,28,False,False,False,19,5,12,2
278,2026-02-28T15:00:00Z,0,28,False,False,False,8,3,14,3
279,2026-02-28T15:00:00Z,0,28,False,False,False,9,4,15,2
280,2026-02-28T15:00:00Z,0,28,False,False,False,2,3,20,3
281,2026-03-04T20:00:00Z,0,29,False,False,False,7,4,2,3
282,2026-03-04T20:00:00Z,0,29,False,False,False,5,3,4,3
283,2026-03-04T20:00:00Z,0,29,False,False,False,1,3,6,4
284,2026-03-04T20:00:00Z,0,29,False,False,False,3,3,9,2
285,2026-03-04T20:00:00Z,0,29,False,False,False,19,3,10,2
286,2026-03-04T20:00:00Z,0,29,False,False,False,17,2,11,2
287,2026-03-04T20:00:00Z,0,29,False,False,False,16,4,13,3
288,2026-03-04T20:00:00Z,0,29,False,False,False,14,4,15,3
289,2026-03-04T20:00:00Z,0,29,False,False,False,8,3,18,3
290,2026-03-04T20:00:00Z,0,29,False,False,False,12,3,20,4
291,2026-03-14T15:00:00Z,0,30,False,False,False,9,4,1,2
292,2026-03-14T15:00:00Z,0,30,False,False,False,20,3,5,2
293,2026-03-14T15:00:00Z,0,30,False,False,False,4,2,3,3
294,2026-03-14T15:00:00Z,0,30,False,False,False,15,4,7,3
295,2026-03-14T15:00:00Z,0,30,False,False,False,11,3,8,2
296,2026-03-14T15:00:00Z,0,30,False,False,False,18,5,12,3
297,2026-03-14T15:00:00Z,0,30,False,False,False,2,3,14,3
298,2026-03-14T15:00:00Z,0,30,False,False,False,10,3,16,3
299,2026-03-14T15:00:00Z,0,30,False,False,False,6,2,17,3
300,2026-03-14T15:00:00Z,0,30,False,False,False,13,2,19,4
301,2026-03-21T15:00:00Z,0,31,False,False,False,19,4,2,2
302,2026-03-21T15:00:00Z,0,31,False,False,False,14,3,4,3
303,2026-03-21T15:00:00Z,0,31,False,False,False,12,3,6,4
304,2026-03-21T15:00:00Z,0,31,False,False,False,7,3,9,3
305,2026-03-21T15:00:00Z,0,31,False,False,False,3,3,10,2
306,2026-03-21T15:00:00Z,0,31,False,False,False,5,2,11,3
307,2026-03-21T15:00:00Z,0,31,False,False,False,8,4,13,3
308,2026-03-21T15:00:00Z,0,31,False,False,False,17,4,15,2
309,2026-03-21T15:00:00Z,0,31,False,False,False,16,3,18,3
310,2026-03-21T15:00:00Z,0,31,False,False,False,1,3,20,4
311,2026-04-11T14:00:00Z,0,32,False,False,False,4,4,1,3
312,2026-04-11T14:00:00Z,0,32,False,False,False,9,3,5,2
313,2026-04-11T14:00:00Z,0,32,False,False,False,6,2,3,3
314,2026-04-11T14:00:00Z,0,32,False,False,False,13,4,7,4
315,2026-04-11T14:00:00Z,0,32,False,False,False,15,3,8,3
316,2026-04-11T14:00:00Z,0,32,False,False,False,10,5,12,3
317,2026-04-11T14:00:00Z,0,32,False,False,False,11,3,14,2
318,2026-04-11T14:00:00Z,0,32,False,False,False,2,3,16,3
319,2026-04-11T14:00:00Z,0,32,False,False,False,18,2,17,3
320,2026-04-11T14:00:00Z,0,32,False,False,False,20,2,19,2
321,2026-04-18T14:00:00Z,0,33,False,False,False,17,4,2,2
322,2026-04-18T14:00:00Z,0,33,False,False,False,10,3,5,3
323,2026-04-18T14:00:00Z,0,33,False,False,False,14,4,7,3
324,2026-04-18T14:00:00Z,0,33,False,False,False,19,3,8,2
325,2026-04-18T14:00:00Z,0,33,False,False,False,12,3,9,4
326,2026-04-18T14:00:00Z,0,33,False,False,False,20,2,11,2
327,2026-04-18T14:00:00Z,0,33,False,False,False,1,4,13,4
328,2026-04-18T14:00:00Z,0,33,False,False,False,4,4,15,3
329,2026-04-18T14:00:00Z,0,33,False,False,False,3,3,16,2
330,2026-04-18T14:00:00Z,0,33,False,False,False,6,3,18,3
331,2026-04-25T14:00:00Z,0,34,False,False,False,15,4,1,3
332,2026-04-25T14:00:00Z,0,34,False,False,False,11,3,4,2
333,2026-04-25T14:00:00Z,0,34,False,False,False,7,3,6,3
334,2026-04-25T14:00:00Z,0,34,False,False,False,13,2,3,4
335,2026-04-25T14:00:00Z,0,34,False,False,False,2,3,10,3
336,2026-04-25T14:00:00Z,0,34,False,False,False,8,5,12,3
337,2026-04-25T14:00:00Z,0,34,False,False,False,5,3,14,3
338,2026-04-25T14:00:00Z,0,34,False,False,False,16,2,17,3
339,2026-04-25T14:00:00Z,0,34,False,False,False,9,2,19,2
340,2026-04-25T14:00:00Z,0,34,False,False,False,18,3,20,3
341,2026-05-02T14:00:00Z,0,35,False,False,False,10,4,1,3
342,2026-05-02T14:00:00Z,0,35,False,False,False,18,4,2,3
343,2026-05-02T14:00:00Z,0,35,False,False,False,8,3,4,3
344,2026-05-02T14:00:00Z,0,35,False,False,False,19,3,5,2
345,2026-05-02T14:00:00Z,0,35,False,False,False,16,4,7,3
346,2026-05-02T14:00:00Z,0,35,False,False,False,13,3,9,4
347,2026-05-02T14:00:00Z,0,35,False,False,False,3,2,11,2
348,2026-05-02T14:00:00Z,0,35,False,False,False,12,3,14,4
349,2026-05-02T14:00:00Z,0,35,False,False,False,6,4,15,3
350,2026-05-02T14:00:00Z,0,35,False,False,False,17,3,20,2
351,2026-05-09T14:00:00Z,0,36,False,False,False,20,3,6,2
352,2026-05-09T14:00:00Z,0,36,False,False,False,2,2,3,3
353,2026-05-09T14:00:00Z,0,36,False,False,False,9,3,8,2
354,2026-05-09T14:00:00Z,0,36,False,False,False,4,3,10,3
355,2026-05-09T14:00:00Z,0,36,False,False,False,7,5,12,3
356,2026-05-09T14:00:00Z,0,36,False,False,False,5,4,13,3
357,2026-05-09T14:00:00Z,0,36,False,False,False,15,3,16,3
359,2026-05-09T14:00:00Z,0,36,False,False,False,11,3,18,2
358,2026-05-09T14:00:00Z,0,36,False,False,False,14,2,17,3
360,2026-05-09T14:00:00Z,0,36,False,False,False,1,2,19,4
361,2026-05-17T14:00:00Z,0,37,False,False,False,3,4,1,2
362,2026-05-17T14:00:00Z,0,37,False,False,False,12,4,2,4
363,2026-05-17T14:00:00Z,0,37,False,False,False,13,3,4,4
364,2026-05-17T14:00:00Z,0,37,False,False,False,8,3,5,3
365,2026-05-17T14:00:00Z,0,37,False,False,False,18,4,7,3
366,2026-05-17T14:00:00Z,0,37,False,False,False,17,3,9,2
367,2026-05-17T14:00:00Z,0,37,False,False,False,6,2,11,3
368,2026-05-17T14:00:00Z,0,37,False,False,False,16,3,14,3
369,2026-05-17T14:00:00Z,0,37,False,False,False,19,4,15,2
370,2026-05-17T14:00:00Z,0,37,False,False,False,10,3,20,3
371,2026-05-24T15:00:00Z,0,38,False,False,False,14,3,6,3
372,2026-05-24T15:00:00Z,0,38,False,False,False,20,2,3,2
373,2026-05-24T15:00:00Z,0,38,False,False,False,1,3,8,4
374,2026-05-24T15:00:00Z,0,38,False,False,False,15,3,10,3
375,2026-05-24T15:00:00Z,0,38,False,False,False,5,5,12,3
376,2026-05-24T15:00:00Z,0,38,False,False,False,2,4,13,3
377,2026-05-24T15:00:00Z,0,38,False,False,False,4,3,16,3
379,2026-05-24T15:00:00Z,0,38,False,False,False,9,3,18,2
378,2026-05-24T15:00:00Z,0,38,False,False,False,7,2,17,3
380,2026-05-24T15:00:00Z,0,38,False,False,False,11,2,19,2
