fixture,event,kickoff_time,minutes,finished,finished_provisional,started,team_a,team_a_difficulty,team_h,team_h_difficulty
94,10,2025-11-01T15:00:00Z,0,False,False,False,20,3,10,2
95,10,2025-11-01T15:00:00Z,0,False,False,False,2,5,12,3
96,10,2025-11-01T15:00:00Z,0,False,False,False,4,4,13,3
97,10,2025-11-01T15:00:00Z,0,False,False,False,14,3,16,3
99,10,2025-11-01T15:00:00Z,0,False,False,False,7,3,18,3
98,10,2025-11-01T15:00:00Z,0,False,False,False,9,2,17,2
100,10,2025-11-01T15:00:00Z,0,False,False,False,15,2,19,3
101,11,2025-11-08T15:00:00Z,0,False,False,False,4,4,2,3
102,11,2025-11-08T15:00:00Z,0,False,False,False,15,3,5,3
103,11,2025-11-08T15:00:00Z,0,False,False,False,20,4,7,2
104,11,2025-11-08T15:00:00Z,0,False,False,False,6,3,8,3
105,11,2025-11-08T15:00:00Z,0,False,False,False,10,3,9,3
106,11,2025-11-08T15:00:00Z,0,False,False,False,12,4,13,4
107,11,2025-11-08T15:00:00Z,0,False,False,False,11,3,16,2
109,11,2025-11-08T15:00:00Z,0,False,False,False,14,3,18,3
108,11,2025-11-08T15:00:00Z,0,False,False,False,1,2,17,4
110,11,2025-11-08T15:00:00Z,0,False,False,False,3,2,19,2
111,12,2025-11-22T15:00:00Z,0,False,False,False,18,4,1,3
112,12,2025-11-22T15:00:00Z,0,False,False,False,19,3,4,2
113,12,2025-11-22T15:00:00Z,0,False,False,False,5,3,6,3
114,12,2025-11-22T15:00:00Z,0,False,False,False,7,2,3,3
115,12,2025-11-22T15:00:00Z,0,False,False,False,17,3,10,2
116,12,2025-11-22T15:00:00Z,0,False,False,False,2,2,11,3
117,12,2025-11-22T15:00:00Z,0,False,False,False,16,5,12,3
118,12,2025-11-22T15:00:00Z,0,False,False,False,9,3,14,2
119,12,2025-11-22T15:00:00Z,0,False,False,False,13,4,15,4
120,12,2025-11-22T15:00:00Z,0,False,False,False,8,3,20,3
121,13,2025-11-29T15:00:00Z,0,False,False,False,20,4,2,2
122,13,2025-11-29T15:00:00Z,0,False,False,False,3,3,5,2
123,13,2025-11-29T15:00:00Z,0,False,False,False,1,4,7,4
124,13,2025-11-29T15:00:00Z,0,False,False,False,14,3,8,3
125,13,2025-11-29T15:00:00Z,0,False,False,False,15,3,9,3
126,13,2025-11-29T15:00:00Z,0,False,False,False,11,4,13,2
127,13,2025-11-29T15:00:00Z,0,False,False,False,6,3,16,3
129,13,2025-11-29T15:00:00Z,0,False,False,False,10,3,18,3
128,13,2025-11-29T15:00:00Z,0,False,False,False,4,2,17,3
130,13,2025-11-29T15:00:00Z,0,False,False,False,12,2,19,4
131,14,2025-12-03T20:00:00Z,0,False,False,False,5,4,1,3
132,14,2025-12-03T20:00:00Z,0,False,False,False,9,3,4,2
133,14,2025-12-03T20:00:00Z,0,False,False,False,2,3,6,3
134,14,2025-12-03T20:00:00Z,0,False,False,False,8,2,3,3
135,14,2025-12-03T20:00:00Z,0,False,False,False,13,3,10,4
136,14,2025-12-03T20:00:00Z,0,False,False,False,7,2,11,3
137,14,2025-12-03T20:00:00Z,0,False,False,False,17,5,12,2
138,14,2025-12-03T20:00:00Z,0,False,False,False,19,3,14,2
139,14,2025-12-03T20:00:00Z,0,False,False,False,18,4,15,3
140,14,2025-12-03T20:00:00Z,0,False,False,False,16,3,20,3
141,15,2025-12-06T15:00:00Z,0,False,False,False,1,4,2,4
142,15,2025-12-06T15:00:00Z,0,False,False,False,7,3,4,3
143,15,2025-12-06T15:00:00Z,0,False,False,False,19,3,6,2
144,15,2025-12-06T15:00:00Z,0,False,False,False,16,3,9,3
145,15,2025-12-06T15:00:00Z,0,False,False,False,8,3,10,3
146,15,2025-12-06T15:00:00Z,0,False,False,False,12,2,11,4
147,15,2025-12-06T15:00:00Z,0,False,False,False,17,4,13,2
148,15,2025-12-06T15:00:00Z,0,False,False,False,3,4,15,2
149,15,2025-12-06T15:00:00Z,0,False,False,False,5,3,18,3
150,15,2025-12-06T15:00:00Z,0,False,False,False,14,3,20,3
151,16,2025-12-13T15:00:00Z,0,False,False,False,20,4,1,2
152,16,2025-12-13T15:00:00Z,0,False,False,False,11,3,5,2
153,16,2025-12-13T15:00:00Z,0,False,False,False,10,2,3,3
154,16,2025-12-13T15:00:00Z,0,False,False,False,9,4,7,2
155,16,2025-12-13T15:00:00Z,0,False,False,False,13,3,8,4
156,16,2025-12-13T15:00:00Z,0,False,False,False,6,5,12,3
157,16,2025-12-13T15:00:00Z,0,False,False,False,4,3,14,3
158,16,2025-12-13T15:00:00Z,0,False,False,False,18,3,16,3
159,16,2025-12-13T15:00:00Z,0,False,False,False,15,2,17,3
160,16,2025-12-13T15:00:00Z,0,False,False,False,2,2,19,3
161,17,2025-12-20T15:00:00Z,0,False,False,False,14,4,2,3
162,17,2025-12-20T15:00:00Z,0,False,False,False,3,3,4,2
163,17,2025-12-20T15:00:00Z,0,False,False,False,17,3,6,2
164,17,2025-12-20T15:00:00Z,0,False,False,False,1,3,9,4
165,17,2025-12-20T15:00:00Z,0,False,False,False,16,3,10,3
166,17,2025-12-20T15:00:00Z,0,False,False,False,8,2,11,3
167,17,2025-12-20T15:00:00Z,0,False,False,False,19,4,13,2
168,17,2025-12-20T15:00:00Z,0,False,False,False,7,4,15,3
169,17,2025-12-20T15:00:00Z,0,False,False,False,12,3,18,4
170,17,2025-12-20T15:00:00Z,0,False,False,False,5,3,20,3
171,18,2025-12-27T15:00:00Z,0,False,False,False,6,4,1,3
172,18,2025-12-27T15:00:00Z,0,False,False,False,4,3,5,3
173,18,2025-12-27T15:00:00Z,0,False,False,False,9,2,3,2
174,18,2025-12-27T15:00:00Z,0,False,False,False,2,4,7,3
175,18,2025-12-27T15:00:00Z,0,False,False,False,18,3,8,3
176,18,2025-12-27T15:00:00Z,0,False,False,False,20,5,12,2
177,18,2025-12-27T15:00:00Z,0,False,False,False,15,3,14,3
178,18,2025-12-27T15:00:00Z,0,False,False,False,13,3,16,4
179,18,2025-12-27T15:00:00Z,0,False,False,False,11,2,17,2
180,18,2025-12-27T15:00:00Z,0,False,False,False,10,2,19,3
181,19,2025-12-30T20:00:00Z,0,False,False,False,2,4,1,3
182,19,2025-12-30T20:00:00Z,0,False,False,False,18,3,5,3
183,19,2025-12-30T20:00:00Z,0,False,False,False,15,2,3,3
184,19,2025-12-30T20:00:00Z,0,False,False,False,4,4,7,3
185,19,2025-12-30T20:00:00Z,0,False,False,False,10,3,8,3
186,19,2025-12-30T20:00:00Z,0,False,False,False,11,5,12,2
187,19,2025-12-30T20:00:00Z,0,False,False,False,20,3,14,2
188,19,2025-12-30T20:00:00Z,0,False,False,False,9,3,16,2
189,19,2025-12-30T20:00:00Z,0,False,False,False,13,2,17,4
190,19,2025-12-30T20:00:00Z,0,False,False,False,6,2,19,3
191,20,2026-01-03T15:00:00Z,0,False,False,False,16,4,2,3
192,20,2026-01-03T15:00:00Z,0,False,False,False,1,3,4,4
193,20,2026-01-03T15:00:00Z,0,False,False,False,3,3,6,2
194,20,2026-01-03T15:00:00Z,0,False,False,False,5,3,9,3
195,20,2026-01-03T15:00:00Z,0,False,False,False,12,3,10,4
196,20,2026-01-03T15:00:00Z,0,False,False,False,14,2,11,3
197,20,2026-01-03T15:00:00Z,0,False,False,False,7,4,13,3
198,20,2026-01-03T15:00:00Z,0,False,False,False,8,4,15,3
199,20,2026-01-03T15:00:00Z,0,False,False,False,17,3,18,2
200,20,2026-01-03T15:00:00Z,0,False,False,False,19,3,20,2
201,21,2026-01-07T20:00:00Z,0,False,False,False,12,4,1,4
202,21,2026-01-07T20:00:00Z,0,False,False,False,18,3,4,3
203,21,2026-01-07T20:00:00Z,0,False,False,False,17,3,5,2
204,21,2026-01-07T20:00:00Z,0,False,False,False,14,2,3,3
205,21,2026-01-07T20:00:00Z,0,False,False,False,2,3,8,3
206,21,2026-01-07T20:00:00Z,0,False,False,False,20,3,9,2
207,21,2026-01-07T20:00:00Z,0,False,False,False,7,3,10,3
208,21,2026-01-07T20:00:00Z,0,False,False,False,6,4,13,3
209,21,2026-01-07T20:00:00Z,0,False,False,False,11,4,15,2
210,21,2026-01-07T20:00:00Z,0,False,False,False,16,2,19,3
211,22,2026-01-17T15:00:00Z,0,False,False,False,9,4,2,2
212,22,2026-01-17T15:00:00Z,0,False,False,False,4,3,6,3
213,22,2026-01-17T15:00:00Z,0,False,False,False,5,4,7,3
214,22,2026-01-17T15:00:00Z,0,False,False,False,10,2,11,3
215,22,2026-01-17T15:00:00Z,0,False,False,False,3,5,12,2
216,22,2026-01-17T15:00:00Z,0,False,False,False,13,3,14,4
217,22,2026-01-17T15:00:00Z,0,False,False,False,1,3,16,4
219,22,2026-01-17T15:00:00Z,0,False,False,False,19,3,18,2
