id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,59,33.6,-523.0,-687.0,down,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,41,0.4,-34.0,-48.0,down,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.2,-11.0,-30.0,down,u,1,stable,0.0,0.0,48h+
4,Setford,1,1,39,0.3,-26.0,-37.0,down,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,67,31.7,19052.0,38818.0,up,a,0,stable,0.0,0.0,48h+
6,Saliba,1,2,59,11.8,1224.0,2677.0,up,a,0,stable,0.0,0.0,48h+
7,Calafiori,1,2,56,6.7,-2723.0,-5859.0,down,i,1,stable,0.0,0.0,48h+
8,J.Timber,1,2,63,27.5,4389.0,8647.0,up,a,0,stable,0.0,0.0,48h+
9,Kiwior,1,2,54,0.0,-1.0,-2.0,down,u,1,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,51,1.5,-55.0,-117.0,down,a,0,stable,0.0,0.0,48h+
11,White,1,2,51,0.5,-82.0,-151.0,down,a,0,stable,0.0,0.0,48h+
13,Clarke,1,2,38,0.5,-60.0,-95.0,down,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,39,0.1,-1.0,-10.0,down,u,1,stable,0.0,0.0,48h+
15,Nichols,1,2,38,0.2,-13.0,-26.0,down,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,102,20.1,-4023.0,-7410.0,down,a,0,stable,0.0,0.0,48h+
17,Ødegaard,1,3,78,2.5,27.0,-2.0,up,a,0,stable,0.0,0.0,48h+
18,Madueke,1,3,68,0.7,-73.0,-146.0,down,a,0,stable,0.0,0.0,48h+
19,Martinelli,1,3,68,0.8,338.0,846.0,up,a,0,stable,0.0,0.0,48h+
20,Trossard,1,3,69,1.8,-542.0,-1104.0,down,a,0,stable,0.0,0.0,48h+
21,Rice,1,3,73,26.9,15712.0,29965.0,up,a,0,stable,0.0,0.0,48h+
22,Merino,1,3,56,1.8,-1262.0,-2669.0,down,a,0,stable,0.0,0.0,48h+
23,Fábio Vieira,1,3,54,0.0,-2.0,-2.0,down,u,1,stable,0.0,0.0,48h+
24,Nørgaard,1,3,51,0.1,-6.0,-17.0,down,a,0,stable,0.0,0.0,48h+
25,Nwaneri,1,3,50,0.1,-4.0,-6.0,down,a,0,stable,0.0,0.0,48h+
26,Zubimendi,1,3,52,2.2,-158.0,-334.0,down,a,0,stable,0.0,0.0,48h+
28,Kabia,1,3,45,0.1,-8.0,-11.0,down,u,1,stable,0.0,0.0,48h+
29,Sambi,1,3,45,0.1,-2.0,-5.0,down,u,1,stable,0.0,0.0,48h+
30,Havertz,1,4,73,0.3,123.0,226.0,up,a,0,stable,0.0,0.0,48h+
31,G.Jesus,1,4,64,0.3,20.0,75.0,up,a,0,stable,0.0,0.0,48h+
266,Eze,1,3,73,9.2,-3315.0,-7071.0,down,a,0,stable,0.0,0.0,48h+
