id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,56,0,1,40680,8529,27.4,a,,,630,34,0.0,0.04,0.04
2,Arrizabalaga,1,1,43,0,-2,85,703,0.5,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,397,0.3,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,129,297,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,62,0,2,46361,36171,28.0,a,75.0,,630,47,0.48,0.09,0.57
6,Saliba,1,2,60,0,0,16725,7063,12.7,a,100.0,,409,25,0.13,0.12,0.25
7,Calafiori,1,2,57,0,2,15492,10356,14.8,a,,,524,42,1.85,0.15,2.0
8,J.Timber,1,2,59,1,4,67357,6331,16.2,a,,,521,48,1.84,0.41,2.25
9,Kiwior,1,2,54,0,-1,0,59,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,52,-1,-3,691,2821,1.9,a,,,83,4,0.0,0.0,0.0
11,White,1,2,54,0,-1,347,658,0.4,a,100.0,,70,6,0.01,0.01,0.02
13,Clarke,1,2,39,0,-1,573,588,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,311,0.2,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,0,-1,118,268,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,99,1,-1,64066,3615,8.7,a,100.0,,346,20,1.22,1.45,2.67
17,Ødegaard,1,3,79,0,-1,2767,3159,2.0,d,100.0,Knee injury - 75% chance of playing,201,13,0.14,0.8,0.94
18,Madueke,1,3,69,0,-1,18,3603,0.8,i,0.0,Knee injury - Unknown return date,304,10,0.29,0.86,1.15
19,Martinelli,1,3,69,0,-1,2612,2512,1.2,a,,,181,14,0.23,0.08,0.31
20,Trossard,1,3,69,0,-1,530,390,0.3,a,100.0,,292,12,0.65,0.57,1.22
21,Rice,1,3,65,0,0,23044,7051,8.7,d,,Back injury - 75% chance of playing,542,40,0.41,1.17,1.58
22,Merino,1,3,59,0,-1,1411,1928,0.6,a,,,242,15,0.33,0.12,0.45
23,Fábio Vieira,1,3,54,0,-1,0,33,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,53,0,-2,78,281,0.2,a,100.0,,0,0,0.0,0.0,0.0
25,Nwaneri,1,3,53,0,-2,130,355,0.2,a,,,145,6,0.18,0.08,0.26
26,Zubimendi,1,3,55,0,0,7486,12060,4.5,a,,,591,32,0.26,0.8,1.06
28,Kabia,1,3,45,0,0,0,255,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,146,0.1,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,26,302,0.4,i,0.0,Knee injury - Unknown return date,30,1,0.0,0.01,0.01
31,G.Jesus,1,4,64,0,-1,16,59,0.0,i,0.0,Knee injury - Expected back 30 Dec,0,0,0.0,0.0,0.0
266,Eze,1,3,76,0,1,19644,14188,13.3,a,,,394,22,1.46,0.84,2.3
662,Mosquera,1,2,54,0,-1,492,756,0.2,a,,,247,12,0.0,0.04,0.04
666,Gyökeres,1,4,91,1,1,30414,53793,27.6,a,,,576,26,3.01,0.45,3.46
700,Dowman,1,3,45,0,0,289,1251,0.4,a,,,27,5,0.14,0.02,0.16
711,Harriman-Annous,1,3,45,0,0,16,23,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,54,0,-1,10,103,0.0,d,0.0,Groin Injury - 75% chance of playing,0,0,0.0,0.0,0.0
32,Martinez,2,1,50,0,0,300,6010,2.1,d,75.0,Calf injury - 75% chance of playing,360,14,0.0,0.03,0.03
33,M.Bizot,2,1,44,0,-1,209,779,0.6,a,,,180,7,0.0,0.0,0.0
34,Gauci,2,1,40,0,0,0,157,0.1,u,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0.0,0.0,0.0
