id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,59,33.1,27233.0,27233.0,up,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,42,0.4,-147.0,-147.0,down,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.3,-119.0,-119.0,down,u,1,stable,0.0,0.0,48h+
4,Setford,1,1,39,0.2,126.0,126.0,up,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,63,17.9,-57579.0,-57579.0,down,i,1,stable,0.0,0.0,48h+
6,Saliba,1,2,60,11.9,-21344.0,-21344.0,down,d,1,stable,0.0,0.0,48h+
7,Calafiori,1,2,58,15.0,15380.0,15380.0,up,a,0,stable,0.0,0.0,48h+
8,J.Timber,1,2,64,34.5,11682.0,11682.0,up,a,0,stable,0.0,0.0,48h+
9,Kiwior,1,2,54,0.1,-4.0,-4.0,down,u,1,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,51,1.5,-619.0,-619.0,down,a,0,stable,0.0,0.0,48h+
11,White,1,2,53,0.4,2491.0,2491.0,up,a,0,stable,0.0,0.0,48h+
13,Clarke,1,2,38,0.5,66.0,66.0,up,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,39,0.1,-38.0,-38.0,down,u,1,stable,0.0,0.0,48h+
15,Nichols,1,2,38,0.2,-16.0,-16.0,down,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,101,18.0,8966.0,8966.0,up,a,0,stable,0.0,0.0,48h+
17,Ødegaard,1,3,78,1.4,886.0,886.0,up,a,0,stable,0.0,0.0,48h+
18,Madueke,1,3,68,0.6,504.0,504.0,up,a,0,stable,0.0,0.0,48h+
19,Martinelli,1,3,68,0.8,368.0,368.0,up,a,0,stable,0.0,0.0,48h+
20,Trossard,1,3,69,0.8,-4863.0,-4863.0,down,d,1,stable,0.0,0.0,48h+
21,Rice,1,3,71,23.7,-67348.0,-67348.0,down,d,1,stable,0.0,0.0,12–24h
22,Merino,1,3,60,2.2,60227.0,60227.0,up,a,0,stable,0.0,0.0,12–24h
23,Fábio Vieira,1,3,54,0.0,-5.0,-5.0,down,u,1,stable,0.0,0.0,48h+
24,Nørgaard,1,3,52,0.1,-49.0,-49.0,down,a,0,stable,0.0,0.0,48h+
25,Nwaneri,1,3,51,0.1,-42.0,-42.0,down,a,0,stable,0.0,0.0,48h+
26,Zubimendi,1,3,53,2.5,-2399.0,-2399.0,down,a,0,stable,0.0,0.0,48h+
28,Kabia,1,3,45,0.1,-38.0,-38.0,down,u,1,stable,0.0,0.0,48h+
29,Sambi,1,3,45,0.1,-16.0,-16.0,down,u,1,stable,0.0,0.0,48h+
30,Havertz,1,4,73,0.3,-45.0,-45.0,down,i,1,stable,0.0,0.0,48h+
31,G.Jesus,1,4,64,0.1,98.0,98.0,up,a,0,stable,0.0,0.0,48h+
266,Eze,1,3,78,19.8,-11300.0,-11300.0,down,a,0,stable,0.0,0.0,48h+
662,Mosquera,1,2,54,0.2,-1003.0,-1003.0,down,d,1,stable,0.0,0.0,48h+
666,Gyökeres,1,4,88,10.5,-5954.0,-5954.0,down,a,0,stable,0.0,0.0,48h+
700,Dowman,1,3,43,0.5,237.0,237.0,up,a,0,stable,0.0,0.0,48h+
711,Harriman-Annous,1,3,45,0.0,5.0,5.0,up,a,0,stable,0.0,0.0,48h+
725,Hincapie,1,2,54,0.2,1999.0,1999.0,up,a,0,stable,0.0,0.0,48h+
32,Martinez,2,1,51,3.5,-13874.0,-13874.0,down,d,1,stable,0.0,0.0,48h+
33,M.Bizot,2,1,43,0.4,28.0,28.0,up,a,0,stable,0.0,0.0,48h+
34,Gauci,2,1,40,0.1,-39.0,-39.0,down,u,1,stable,0.0,0.0,48h+
35,Marschall,2,1,40,0.0,-3.0,-3.0,down,u,1,stable,0.0,0.0,48h+
36,Cash,2,2,47,6.7,1620.0,1620.0,up,a,0,stable,0.0,0.0,48h+
37,Digne,2,2,45,2.1,-1600.0,-1600.0,down,a,0,stable,0.0,0.0,48h+
38,Konsa,2,2,44,7.9,-3212.0,-3212.0,down,a,0,stable,0.0,0.0,48h+
39,Maatsen,2,2,42,0.4,-92.0,-92.0,down,a,0,stable,0.0,0.0,48h+
40,Mings,2,2,43,0.7,-628.0,-628.0,down,i,1,stable,0.0,0.0,48h+
41,Pau,2,2,43,0.5,-345.0,-345.0,down,a,0,stable,0.0,0.0,48h+
42,A.García,2,2,39,0.2,8.0,8.0,up,a,0,stable,0.0,0.0,48h+
43,Alex Moreno,2,2,40,2.1,-1088.0,-1088.0,down,u,1,stable,0.0,0.0,48h+
44,Bogarde,2,2,40,0.6,-204.0,-204.0,down,a,0,stable,0.0,0.0,48h+
45,Sousa,2,2,39,0.3,-36.0,-36.0,down,a,0,stable,0.0,0.0,48h+
46,Yasin,2,2,40,0.1,-43.0,-43.0,down,u,1,stable,0.0,0.0,48h+
47,Rogers,2,3,69,9.6,-2411.0,-2411.0,down,a,0,stable,0.0,0.0,48h+
48,Tielemans,2,3,59,0.6,-211.0,-211.0,down,a,0,stable,0.0,0.0,48h+
49,Bailey,2,3,55,0.1,-11.0,-11.0,down,u,1,stable,0.0,0.0,48h+
50,Buendía,2,3,53,0.5,-2572.0,-2572.0,down,a,0,stable,0.0,0.0,48h+
51,Iling Jr,2,3,55,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
53,Malen,2,3,51,1.0,796.0,796.0,up,a,0,stable,0.0,0.0,48h+
54,McGinn,2,3,54,0.7,-439.0,-439.0,down,a,0,stable,0.0,0.0,48h+
55,Barkley,2,3,48,0.1,-174.0,-174.0,down,i,1,stable,0.0,0.0,48h+
56,Barrenechea,2,3,50,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
57,Dobbin,2,3,50,0.0,-4.0,-4.0,down,u,1,stable,0.0,0.0,48h+
58,Kamara,2,3,49,0.2,65.0,65.0,up,a,0,stable,0.0,0.0,48h+
59,Onana,2,3,48,0.7,902.0,902.0,up,a,0,stable,0.0,0.0,48h+
60,Broggio,2,3,45,0.3,-133.0,-133.0,down,a,0,stable,0.0,0.0,48h+
61,Dendoncker,2,3,45,0.1,-39.0,-39.0,down,u,1,stable,0.0,0.0,48h+
62,Jimoh-Aloba,2,3,45,0.1,-14.0,-14.0,down,a,0,stable,0.0,0.0,48h+
63,Young,2,3,44,0.6,-316.0,-316.0,down,a,0,stable,0.0,0.0,48h+
64,Watkins,2,4,85,6.6,5287.0,5287.0,up,a,0,stable,0.0,0.0,48h+
65,Redmond,2,4,45,0.3,-92.0,-92.0,down,u,1,stable,0.0,0.0,48h+
389,Elliott,2,3,53,0.2,-182.0,-182.0,down,a,0,stable,0.0,0.0,48h+
456,Sancho,2,3,58,0.2,-72.0,-72.0,down,a,0,stable,0.0,0.0,48h+
677,Guessand,2,3,62,0.0,49.0,49.0,up,a,0,stable,0.0,0.0,48h+
688,Wright,2,1,39,0.6,1844.0,1844.0,up,a,0,stable,0.0,0.0,48h+
701,Rowe,2,2,40,0.1,-29.0,-29.0,down,u,1,stable,0.0,0.0,48h+
702,Burrowes,2,3,44,0.1,-4.0,-4.0,down,a,0,stable,0.0,0.0,48h+
703,Proctor,2,1,40,0.2,-50.0,-50.0,down,a,0,stable,0.0,0.0,48h+
710,Patterson,2,2,39,0.2,-126.0,-126.0,down,a,0,stable,0.0,0.0,48h+
719,Lindelöf,2,2,45,0.0,-11.0,-11.0,down,a,0,stable,0.0,0.0,48h+
754,George Hemmings,2,3,45,0.0,9.0,9.0,up,a,0,stable,0.0,0.0,48h+
757,Hollingshead,2,1,40,0.0,27.0,27.0,up,a,0,stable,0.0,0.0,48h+
183,Weiss,3,1,43,0.1,-63.0,-63.0,down,a,0,stable,0.0,0.0,48h+
184,Green,3,1,40,0.2,-86.0,-86.0,down,u,1,stable,0.0,0.0,48h+
185,Hladký,3,1,39,0.2,48.0,48.0,up,a,0,stable,0.0,0.0,48h+
186,Roberts,3,2,44,0.0,-25.0,-25.0,down,i,1,stable,0.0,0.0,48h+
187,Walker,3,2,44,1.5,-976.0,-976.0,down,a,0,stable,0.0,0.0,48h+
188,Delcroix,3,2,38,0.3,320.0,320.0,up,a,0,stable,0.0,0.0,48h+
189,Dodgson,3,2,40,0.0,-4.0,-4.0,down,u,1,stable,0.0,0.0,48h+
190,Ekdal,3,2,40,0.9,-558.0,-558.0,down,a,0,stable,0.0,0.0,48h+
191,Estève,3,2,39,11.6,-352.0,-352.0,down,a,0,stable,0.0,0.0,48h+
192,Hartman,3,2,40,1.0,-515.0,-515.0,down,a,0,stable,0.0,0.0,48h+
193,Humphreys,3,2,39,0.1,-49.0,-49.0,down,a,0,stable,0.0,0.0,48h+
194,Jordan,3,2,40,0.1,-30.0,-30.0,down,i,1,stable,0.0,0.0,48h+
195,Lucas Pires,3,2,38,0.2,316.0,316.0,up,a,0,stable,0.0,0.0,48h+
196,Sambo,3,2,40,0.0,-9.0,-9.0,down,u,1,stable,0.0,0.0,48h+
197,Sonne,3,2,39,0.1,-31.0,-31.0,down,a,0,stable,0.0,0.0,48h+
198,Tuanzebe,3,2,39,1.7,-2779.0,-2779.0,down,i,1,stable,0.0,0.0,48h+
199,Worrall,3,2,39,0.2,-96.0,-96.0,down,a,0,stable,0.0,0.0,48h+
200,Anthony,3,3,54,3.8,-10113.0,-10113.0,down,a,0,stable,0.0,0.0,48h+
201,Benson,3,3,54,0.0,-3.0,-3.0,down,u,1,stable,0.0,0.0,48h+
202,Bruun Larsen,3,3,53,0.0,-20.0,-20.0,down,a,0,stable,0.0,0.0,48h+
203,Boateng,3,3,48,0.0,-3.0,-3.0,down,a,0,stable,0.0,0.0,48h+
204,Churlinov,3,3,49,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
205,Cullen,3,3,50,2.3,-1691.0,-1691.0,down,a,0,stable,0.0,0.0,48h+
206,Edwards,3,3,47,0.1,-32.0,-32.0,down,a,0,stable,0.0,0.0,48h+
207,Hannibal,3,3,48,0.1,-70.0,-70.0,down,a,0,stable,0.0,0.0,48h+
208,Koleosho,3,3,50,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
209,Laurent,3,3,48,0.0,-10.0,-10.0,down,a,0,stable,0.0,0.0,48h+
210,Tchaouna,3,3,49,0.0,-37.0,-37.0,down,a,0,stable,0.0,0.0,48h+
211,A.Ramsey,3,3,44,1.8,-1024.0,-1024.0,down,u,1,stable,0.0,0.0,48h+
212,Adewumi,3,3,45,0.0,-4.0,-4.0,down,u,1,stable,0.0,0.0,48h+
213,Banel,3,3,45,0.0,-11.0,-11.0,down,a,0,stable,0.0,0.0,48h+
214,Trésor,3,3,44,0.1,-47.0,-47.0,down,a,0,stable,0.0,0.0,48h+
215,Flemming,3,4,53,0.4,-456.0,-456.0,down,a,0,stable,0.0,0.0,48h+
216,Amdouni,3,4,48,0.0,-11.0,-11.0,down,i,1,stable,0.0,0.0,48h+
217,Foster,3,4,50,1.3,-1248.0,-1248.0,down,a,0,stable,0.0,0.0,48h+
218,Barnes,3,4,43,1.2,-390.0,-390.0,down,a,0,stable,0.0,0.0,48h+
219,Obafemi,3,4,44,0.1,-62.0,-62.0,down,u,1,stable,0.0,0.0,48h+
470,Dúbravka,3,1,40,33.8,-2014.0,-2014.0,down,a,0,stable,0.0,0.0,48h+
676,Ugochukwu,3,3,50,0.1,-288.0,-288.0,down,a,0,stable,0.0,0.0,48h+
680,Broja,3,4,52,0.1,6.0,6.0,up,a,0,stable,0.0,0.0,48h+
722,Florentino,3,3,50,0.1,-73.0,-73.0,down,a,0,stable,0.0,0.0,48h+
66,Neto,4,1,45,0.1,-31.0,-31.0,down,u,1,stable,0.0,0.0,48h+
67,Petrović,4,1,45,5.7,-3758.0,-3758.0,down,a,0,stable,0.0,0.0,48h+
68,Dennis,4,1,40,1.0,-114.0,-114.0,down,a,0,stable,0.0,0.0,48h+
