id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,58,0,3,85399,10852,31.4,a,,,900,52,0.0,0.04,0.04
2,Arrizabalaga,1,1,42,0,-3,190,974,0.5,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,697,0.3,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,136,604,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,66,1,6,218377,2069,41.2,a,100.0,,900,80,0.82,0.66,1.48
6,Saliba,1,2,60,0,0,11339,16857,11.6,a,75.0,,634,38,0.13,0.2,0.33
7,Calafiori,1,2,58,0,3,29716,27757,16.0,a,,,766,60,2.01,0.2,2.21
8,J.Timber,1,2,61,0,6,61427,26795,25.2,a,,,791,66,2.08,0.61,2.69
9,Kiwior,1,2,54,0,-1,0,46,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,52,0,-3,677,4225,1.7,a,,,86,6,0.0,0.0,0.0
11,White,1,2,53,-1,-2,307,1280,0.4,a,100.0,,70,6,0.01,0.01,0.02
13,Clarke,1,2,39,0,-1,181,1166,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,347,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,0,-1,52,471,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,101,0,1,18576,58708,17.1,a,100.0,,591,33,1.89,2.07,3.96
17,Ødegaard,1,3,78,-1,-2,38,2322,1.4,i,0.0,Knee injury - Expected back 23 Nov,201,13,0.14,0.81,0.95
18,Madueke,1,3,68,0,-2,23,1151,0.6,i,0.0,Knee injury - Expected back 23 Nov,304,10,0.29,0.86,1.15
