id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,62,36.5,928.0,2792.0,up,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,40,0.4,402.0,778.0,up,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.2,-4.0,-10.0,down,u,1,stable,0.0,0.0,48h+
4,Setford,1,1,39,0.2,-6.0,-7.0,down,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,73,46.0,-6324.0,-11960.0,down,a,0,stable,0.0,0.0,48h+
6,Saliba,1,2,63,17.2,316.0,2155.0,up,a,0,stable,0.0,0.0,48h+
7,Calafiori,1,2,56,5.9,736.0,1708.0,up,a,0,stable,0.0,0.0,48h+
8,J.Timber,1,2,60,15.3,-3420.0,-8025.0,down,d,1,stable,0.0,0.0,48h+
9,Kiwior,1,2,54,0.0,0.0,-3.0,flat,u,1,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,50,1.9,249.0,382.0,up,a,0,stable,0.0,0.0,48h+
11,White,1,2,51,0.5,-296.0,-643.0,down,i,1,stable,0.0,0.0,48h+
13,Clarke,1,2,37,0.5,201.0,436.0,up,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,39,0.1,0.0,-2.0,flat,u,1,stable,0.0,0.0,48h+
15,Nichols,1,2,37,0.2,28.0,80.0,up,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,100,13.0,-4692.0,-6791.0,down,a,0,stable,0.0,0.0,48h+
17,Ødegaard,1,3,78,1.7,-72.0,-134.0,down,a,0,stable,0.0,0.0,48h+
18,Madueke,1,3,68,0.8,370.0,595.0,up,a,0,stable,0.0,0.0,48h+
19,Martinelli,1,3,68,0.9,229.0,424.0,up,a,0,stable,0.0,0.0,48h+
20,Trossard,1,3,66,2.0,-1097.0,-2119.0,down,a,0,stable,0.0,0.0,48h+
21,Rice,1,3,72,24.0,-11238.0,-23578.0,down,a,0,stable,0.0,0.0,48h+
22,Merino,1,3,53,0.7,-16.0,-42.0,down,d,1,stable,0.0,0.0,48h+
23,Fábio Vieira,1,3,54,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
24,Nørgaard,1,3,51,0.1,42.0,81.0,up,a,0,stable,0.0,0.0,48h+
25,Nwaneri,1,3,50,0.1,-3.0,-9.0,down,u,1,stable,0.0,0.0,48h+
26,Zubimendi,1,3,49,2.8,-1147.0,-2636.0,down,a,0,stable,0.0,0.0,48h+
28,Kabia,1,3,45,0.1,-4.0,-5.0,down,u,1,stable,0.0,0.0,48h+
29,Sambi,1,3,45,0.0,-1.0,-1.0,down,u,1,stable,0.0,0.0,48h+
30,Havertz,1,4,73,0.6,1297.0,2998.0,up,a,0,stable,0.0,0.0,48h+
31,G.Jesus,1,4,64,0.3,327.0,633.0,up,a,0,stable,0.0,0.0,48h+
266,Eze,1,3,73,8.9,-1721.0,-3543.0,down,a,0,stable,0.0,0.0,48h+
662,Mosquera,1,2,53,0.3,549.0,1103.0,up,a,0,stable,0.0,0.0,48h+
666,Gyökeres,1,4,91,17.7,-17593.0,-36509.0,down,a,0,stable,0.0,0.0,48h+
700,Dowman,1,3,42,0.8,1149.0,2575.0,up,a,0,stable,0.0,0.0,48h+
711,Harriman-Annous,1,3,44,0.0,2.0,6.0,up,a,0,stable,0.0,0.0,48h+
725,Hincapie,1,2,51,0.9,-117.0,-291.0,down,a,0,stable,0.0,0.0,48h+
759,Salmon,1,2,40,0.0,29.0,58.0,up,a,0,stable,0.0,0.0,48h+
32,Martinez,2,1,50,4.5,-1485.0,-3147.0,down,a,0,stable,0.0,0.0,48h+
33,M.Bizot,2,1,42,0.4,-5.0,-17.0,down,a,0,stable,0.0,0.0,48h+
34,Gauci,2,1,40,0.1,-1.0,-10.0,down,u,1,stable,0.0,0.0,48h+
35,Marschall,2,1,40,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
36,Cash,2,2,46,7.6,-3438.0,-7420.0,down,a,0,stable,0.0,0.0,48h+
37,Digne,2,2,45,1.5,-256.0,-535.0,down,a,0,stable,0.0,0.0,48h+
38,Konsa,2,2,44,7.1,-2206.0,-4831.0,down,a,0,stable,0.0,0.0,48h+
39,Maatsen,2,2,42,0.5,-112.0,-233.0,down,a,0,stable,0.0,0.0,48h+
40,Mings,2,2,43,0.6,-55.0,-130.0,down,a,0,stable,0.0,0.0,48h+
41,Pau,2,2,43,0.3,-6.0,-4.0,down,a,0,stable,0.0,0.0,48h+
42,A.García,2,2,39,0.2,-2.0,-16.0,down,a,0,stable,0.0,0.0,48h+
43,Alex Moreno,2,2,40,1.5,-40.0,-103.0,down,u,1,stable,0.0,0.0,48h+
44,Bogarde,2,2,40,0.5,-14.0,-79.0,down,a,0,stable,0.0,0.0,48h+
45,Sousa,2,2,38,0.2,-19.0,-39.0,down,u,1,stable,0.0,0.0,48h+
46,Yasin,2,2,40,0.1,-3.0,-5.0,down,u,1,stable,0.0,0.0,48h+
47,Rogers,2,3,73,20.9,-9320.0,-19362.0,down,a,0,stable,0.0,0.0,48h+
48,Tielemans,2,3,59,0.7,79.0,91.0,up,a,0,stable,0.0,0.0,48h+
49,Bailey,2,3,55,0.1,-13.0,-28.0,down,a,0,stable,0.0,0.0,48h+
50,Buendía,2,3,53,0.4,-32.0,-97.0,down,a,0,stable,0.0,0.0,48h+
51,Iling Jr,2,3,55,0.0,-1.0,-1.0,down,u,1,stable,0.0,0.0,48h+
53,Malen,2,3,51,0.4,-10.0,-23.0,down,u,1,stable,0.0,0.0,48h+
54,McGinn,2,3,53,0.7,-13.0,-10.0,down,a,0,stable,0.0,0.0,48h+
55,Barkley,2,3,48,0.1,-60.0,-127.0,down,a,0,stable,0.0,0.0,48h+
56,Barrenechea,2,3,50,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
57,Dobbin,2,3,50,0.0,0.0,0.0,flat,u,1,stable,0.0,0.0,48h+
58,Kamara,2,3,49,0.2,-2.0,-9.0,down,i,1,stable,0.0,0.0,48h+
59,Onana,2,3,48,0.6,-28.0,-152.0,down,a,1,stable,0.0,0.0,48h+
60,Broggio,2,3,44,0.2,-7.0,-17.0,down,u,1,stable,0.0,0.0,48h+
61,Dendoncker,2,3,45,0.1,-2.0,-5.0,down,u,1,stable,0.0,0.0,48h+
62,Jimoh-Aloba,2,3,45,0.1,-3.0,-7.0,down,u,1,stable,0.0,0.0,48h+
63,Young,2,3,43,0.5,-35.0,-104.0,down,u,1,stable,0.0,0.0,48h+
64,Watkins,2,4,87,13.4,-2909.0,-1993.0,down,a,0,stable,0.0,0.0,48h+
65,Redmond,2,4,45,0.3,-5.0,-9.0,down,u,1,stable,0.0,0.0,48h+
389,Elliott,2,3,51,0.2,7.0,13.0,up,a,1,stable,0.0,0.0,48h+
456,Sancho,2,3,58,0.2,5.0,11.0,up,a,0,stable,0.0,0.0,48h+
688,Wright,2,1,39,0.6,-29.0,-59.0,down,a,0,stable,0.0,0.0,48h+
699,Douglas Luiz,2,3,49,0.1,-16.0,-49.0,down,a,0,stable,0.0,0.0,48h+
701,Rowe,2,2,40,0.1,-1.0,-4.0,down,u,1,stable,0.0,0.0,48h+
702,Burrowes,2,3,43,0.1,120.0,240.0,up,a,0,stable,0.0,0.0,48h+
703,Proctor,2,1,39,0.6,-64.0,-140.0,down,a,0,stable,0.0,0.0,48h+
710,Patterson,2,2,39,0.2,-7.0,-23.0,down,a,0,stable,0.0,0.0,48h+
719,Lindelöf,2,2,45,0.1,12.0,21.0,up,a,0,stable,0.0,0.0,48h+
754,George Hemmings,2,3,45,0.0,0.0,3.0,flat,a,0,stable,0.0,0.0,48h+
757,Hollingshead,2,1,40,0.0,-1.0,0.0,down,a,0,stable,0.0,0.0,48h+
768,Leon Routh,2,2,40,0.0,2.0,-1.0,up,a,0,stable,0.0,0.0,48h+
