id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,60,0,5,12023,49308,33.3,a,,,2880,130,0.0,0.06,0.06
2,Arrizabalaga,1,1,40,0,-5,90,115,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,20,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,39,0,-1,26,116,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,72,0,12,24167,53894,42.2,a,100.0,,2255,177,1.98,1.66,3.64
6,Saliba,1,2,61,0,1,14447,21728,13.7,a,100.0,,2164,108,0.88,0.7,1.58
7,Calafiori,1,2,56,0,1,691,7892,6.0,d,100.0,Knock - 75% chance of playing,1446,93,2.92,0.49,3.41
8,J.Timber,1,2,62,-1,7,1815,173722,23.3,d,75.0,Ankle injury - 75% chance of playing,2452,149,4.71,1.53,6.24
9,Kiwior,1,2,54,0,-1,0,3,0.0,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,50,0,-5,278,311,1.4,a,,,401,13,0.1,0.08,0.18
11,White,1,2,51,0,-4,673,506,0.5,a,100.0,,484,31,0.45,0.51,0.96
13,Clarke,1,2,37,0,-3,615,241,0.4,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,10,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,37,0,-3,142,301,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,98,0,-2,419,26353,7.5,d,75.0,Achilles injury - 75% chance of playing,1995,133,6.99,5.75,12.74
17,Ødegaard,1,3,78,0,-2,75,948,1.5,d,75.0,Knock - 75% chance of playing,1070,62,1.01,2.91,3.92
18,Madueke,1,3,68,0,-2,415,1948,0.9,a,100.0,,942,55,1.03,2.13,3.16
19,Martinelli,1,3,68,0,-2,405,1051,0.9,a,100.0,,892,48,3.53,1.01,4.54
20,Trossard,1,3,65,0,-5,515,2063,0.8,a,100.0,,1711,100,4.96,2.71,7.67
21,Rice,1,3,72,-1,7,14140,85985,24.8,a,100.0,,2670,167,3.15,6.76,9.91
22,Merino,1,3,54,0,-6,10,466,0.8,i,0.0,Foot injury - Unknown return date,996,66,2.99,1.45,4.44
23,Fábio Vieira,1,3,54,0,-1,0,0,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,51,0,-4,25,37,0.1,a,100.0,,56,6,0.05,0.0,0.05
25,Nwaneri,1,3,50,0,-5,0,17,0.1,u,0.0,has joined Marseille on loan for the rest of the season.,165,8,0.23,0.08,0.31
26,Zubimendi,1,3,50,-1,-5,1505,15758,3.3,a,100.0,,2672,119,2.77,2.2,4.97
28,Kabia,1,3,45,0,0,0,5,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,8,0.0,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,471,1142,0.5,a,100.0,,314,13,1.27,0.1,1.37
31,G.Jesus,1,4,64,0,-1,138,767,0.3,a,100.0,,318,18,1.83,0.23,2.06
266,Eze,1,3,72,0,-3,1821,7264,7.7,a,100.0,,1530,95,3.88,2.31,6.19
662,Mosquera,1,2,53,0,-2,212,245,0.2,a,100.0,,681,29,0.0,0.5,0.5
666,Gyökeres,1,4,88,0,-2,13744,26462,11.7,a,100.0,,1978,106,10.25,1.77,12.01
700,Dowman,1,3,42,0,-3,5133,2143,0.7,a,100.0,,79,12,1.11,0.14,1.25
711,Harriman-Annous,1,3,44,0,-1,4,13,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,51,0,-4,384,4695,0.7,a,50.0,,1499,74,0.33,1.39,1.72
759,Salmon,1,2,40,0,0,13,22,0.0,a,,,0,0,0.0,0.0,0.0
32,Martinez,2,1,51,0,1,4891,20670,4.6,d,100.0,Calf injury - 75% chance of playing,2385,105,0.0,0.06,0.06
33,M.Bizot,2,1,42,0,-3,174,117,0.4,a,100.0,,495,14,0.0,0.0,0.0
34,Gauci,2,1,40,0,0,0,24,0.1,u,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0.0,0.0,0.0
35,Marschall,2,1,40,0,0,0,1,0.0,u,0.0,Has joined Stevenage permanently.,0,0,0.0,0.0,0.0
36,Cash,2,2,47,0,2,6796,15721,8.3,a,100.0,,2532,107,1.12,2.7,3.82
37,Digne,2,2,45,0,0,1893,1616,1.6,a,100.0,,1626,87,0.61,2.8,3.41
38,Konsa,2,2,44,0,-1,2500,12861,7.9,a,100.0,,2675,95,1.27,0.56,1.83
39,Maatsen,2,2,42,0,-3,178,1035,0.6,a,,,1263,41,1.2,1.85,3.05
40,Mings,2,2,43,0,-2,127,1434,0.7,d,100.0,Knock - 75% chance of playing,962,44,1.01,0.37,1.38
41,Pau,2,2,43,0,-2,317,195,0.3,a,100.0,,1476,58,0.63,0.37,1.0
42,A.García,2,2,39,0,-1,107,107,0.2,a,100.0,,38,4,0.0,0.01,0.01
43,Alex Moreno,2,2,40,0,0,0,243,1.6,u,0.0,Has joined Girona permanently.,0,0,0.0,0.0,0.0
44,Bogarde,2,2,40,0,0,332,525,0.5,a,100.0,,797,34,0.0,0.19,0.19
45,Sousa,2,2,38,0,-2,0,121,0.3,u,0.0,has joined Rotherham on loan for the rest of the season.,0,0,0.0,0.0,0.0
46,Yasin,2,2,40,0,0,0,12,0.1,u,0.0,has joined Anderlecht on loan for the rest of the season.,0,0,0.0,0.0,0.0
47,Rogers,2,3,74,0,4,27431,54721,22.3,a,100.0,,2830,143,5.97,3.51,9.48
48,Tielemans,2,3,59,0,-1,637,160,0.6,a,100.0,,1408,55,0.99,2.7,3.69
49,Bailey,2,3,55,0,0,98,192,0.1,a,100.0,,334,13,0.31,1.21,1.52
50,Buendía,2,3,53,0,-2,190,1281,0.4,a,100.0,,1465,84,2.9,1.93,4.83
51,Iling Jr,2,3,55,0,0,0,3,0.0,u,0.0,has joined Pisa on loan for the rest of the season.,0,0,0.0,0.0,0.0
53,Malen,2,3,51,0,-4,0,106,0.4,u,0.0,has joined Roma on loan for the rest of the season.,640,55,4.03,0.35,4.38
54,McGinn,2,3,53,0,-2,1723,898,0.6,a,100.0,,1807,84,2.72,2.32,5.04
55,Barkley,2,3,48,0,-2,1047,398,0.1,a,100.0,,466,37,0.75,1.1,1.85
56,Barrenechea,2,3,50,0,0,0,0,0.0,u,0.0,Season-long loan to Benfica,0,0,0.0,0.0,0.0
57,Dobbin,2,3,50,0,0,0,0,0.0,u,0.0,Has joined Preston North End on loan for the rest of the season.,0,0,0.0,0.0,0.0
58,Kamara,2,3,49,0,-1,2,139,0.2,i,0.0,Knee injury - Expected back 01 Jun,1410,61,0.53,0.84,1.36
59,Onana,2,3,48,0,-2,630,781,0.7,a,100.0,,1648,74,1.4,0.68,2.08
60,Broggio,2,3,44,0,-1,0,86,0.2,u,0.0,has joined Falkirk on loan for the rest of the season.,0,0,0.0,0.0,0.0
61,Dendoncker,2,3,45,0,0,0,7,0.1,u,0.0,Has joined Real Oviedo permanently.,0,0,0.0,0.0,0.0
62,Jimoh-Aloba,2,3,45,0,0,0,21,0.1,u,0.0,has joined West Brom on loan for the rest of the season.,8,1,0.0,0.0,0.0
63,Young,2,3,43,0,-2,0,430,0.5,u,0.0,has joined Reading on loan for the rest of the season.,0,0,0.0,0.0,0.0
64,Watkins,2,4,85,0,-5,13445,14517,8.2,a,100.0,,2375,111,10.87,1.06,11.93
65,Redmond,2,4,45,0,0,0,28,0.3,u,0.0,has joined Huddersfield Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
389,Elliott,2,3,51,0,-4,52,60,0.2,a,100.0,,110,5,0.29,0.08,0.37
456,Sancho,2,3,58,0,-2,18,426,0.2,d,50.0,Shoulder injury - 50% chance of playing,752,32,0.61,1.82,2.43
688,Wright,2,1,39,0,-1,47,195,0.6,a,,,0,0,0.0,0.0,0.0
699,Douglas Luiz,2,3,49,0,-1,70,374,0.1,a,100.0,,814,31,0.5,1.38,1.88
701,Rowe,2,2,40,0,0,0,9,0.1,u,0.0,has joined Annecy on loan for the rest of the season.,0,0,0.0,0.0,0.0
702,Burrowes,2,3,43,-1,-2,337,57,0.1,a,,,16,1,0.0,0.0,0.0
703,Proctor,2,1,39,0,-1,69,505,0.6,a,,,0,0,0.0,0.0,0.0
710,Patterson,2,2,39,0,-1,41,63,0.2,a,,,0,0,0.0,0.0,0.0
719,Lindelöf,2,2,45,0,0,126,108,0.1,a,100.0,,662,24,0.28,0.07,0.35
754,George Hemmings,2,3,45,0,0,17,10,0.0,a,,,25,2,0.04,0.01,0.05
757,Hollingshead,2,1,40,0,0,15,11,0.0,a,,,0,0,0.0,0.0,0.0
