id,first_name,second_name,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,news,chance_of_playing_next_round,chance_of_playing_this_round
1,David,Raya Martín,Raya,1,1,55,0,0,242927,51842,20.7,a,,,
2,Kepa,Arrizabalaga Revuelta,Arrizabalaga,1,1,45,0,0,2019,10854,0.8,a,,,
3,Karl,Hein,Hein,1,1,40,0,0,3531,4600,0.6,a,,,
4,Tommy,Setford,Setford,1,1,40,0,0,895,1362,0.2,a,,,
5,Gabriel,dos Santos Magalhães,Gabriel,1,2,60,0,0,271631,71590,20.6,a,,,
6,William,Saliba,Saliba,1,2,60,0,0,257225,56138,17.3,a,,,
7,Riccardo,Calafiori,Calafiori,1,2,55,0,0,216470,22180,4.0,a,,,
8,Jurriën,Timber,J.Timber,1,2,55,0,0,12302,33538,2.1,a,,,
9,Jakub,Kiwior,Kiwior,1,2,55,0,0,344,1906,0.1,a,,,
10,Myles,Lewis-Skelly,Lewis-Skelly,1,2,55,0,0,18013,65627,3.8,a,,,
11,Benjamin,White,White,1,2,55,0,0,19628,7065,1.1,a,,,
12,Oleksandr,Zinchenko,Zinchenko,1,2,50,0,0,2874,6084,0.4,a,,,
13,Brayden,Clarke,Clarke,1,2,40,0,0,5789,7260,0.6,a,,,
14,Maldini,Kacurri,Kacurri,1,2,40,0,0,1372,2444,0.2,a,,,
15,Josh,Nichols,Nichols,1,2,40,0,0,1026,2071,0.2,a,,,
16,Bukayo,Saka,Saka,1,3,100,0,0,121795,96165,17.1,a,,,
17,Martin,Ødegaard,Ødegaard,1,3,80,0,0,41599,30791,3.9,a,,,
18,Noni,Madueke,Madueke,1,3,70,0,0,3149,17394,1.0,a,,,
19,Gabriel,Martinelli Silva,Martinelli,1,3,70,0,0,8311,16816,1.4,a,,,
20,Leandro,Trossard,Trossard,1,3,70,0,0,754,6555,0.3,a,,100.0,75.0
21,Declan,Rice,Rice,1,3,65,0,0,78250,60710,8.3,a,,,
22,Mikel,Merino Zazón,Merino,1,3,60,0,0,4140,15335,0.6,a,,,
23,Fábio,Ferreira Vieira,Fábio Vieira,1,3,55,0,0,458,912,0.0,a,,,
24,Christian,Nørgaard,Nørgaard,1,3,55,0,0,1116,17386,0.5,d,Knock - 75% chance of playing,75.0,
25,Ethan,Nwaneri,Nwaneri,1,3,55,0,0,1569,6414,0.3,a,,,
26,Martín,Zubimendi Ibáñez,Zubimendi,1,3,55,0,0,31943,29603,2.3,a,,,
27,Reiss,Nelson,Nelson,1,3,50,0,0,1393,2645,0.1,a,,,
28,Ismeal,Kabia,Kabia,1,3,45,0,0,3461,4839,0.3,a,,,
29,Albert,Sambi Lokonga,Sambi,1,3,45,0,0,1513,2220,0.1,a,,,
30,Kai,Havertz,Havertz,1,4,75,0,0,7891,35182,1.0,d,Knee injury - 25% chance of playing,25.0,
31,Gabriel,Fernando de Jesus,G.Jesus,1,4,65,0,0,225,967,0.0,i,Knee injury - Unknown return date,0.0,0.0
662,Cristhian,Mosquera,Mosquera,1,2,55,0,0,386,2037,0.1,a,,,
666,Viktor,Gyökeres,Gyökeres,1,4,90,0,0,170206,241678,24.8,a,,,
32,Emiliano,Martínez Romero,Martinez,2,1,50,0,0,19572,6656,1.1,a,,100.0,0.0
33,Marco,Bizot,M.Bizot,2,1,45,0,0,45805,13069,0.9,a,,,
34,Joe,Gauci,Gauci,2,1,40,0,0,0,3699,0.2,u,Has joined Port Vale on loan for the rest of the season.,0.0,0.0
35,Filip,Marschall,Marschall,2,1,40,0,0,0,312,0.0,u,Has joined Stevenage permanently.,0.0,0.0
36,Matty,Cash,Cash,2,2,45,0,0,235521,35483,4.7,a,,,
37,Lucas,Digne,Digne,2,2,45,0,0,47284,12400,2.3,a,,,
38,Ezri,Konsa Ngoyo,Konsa,2,2,45,0,0,18644,471982,16.6,s,Suspended until 31 Aug,0.0,
39,Ian,Maatsen,Maatsen,2,2,45,0,0,3339,13680,0.8,a,,,
40,Tyrone,Mings,Mings,2,2,45,0,0,39240,8409,1.3,a,,,
41,Pau,Torres,Pau,2,2,45,0,0,3309,6910,0.5,a,,,
42,Andrés,García,A.García,2,2,40,0,0,433,4876,0.3,d,Knock - 25% chance of playing,25.0,25.0
43,Álex,Moreno Lopera,Alex Moreno,2,2,40,0,0,29589,79580,9.2,a,,,
44,Lamare,Bogarde,Bogarde,2,2,40,0,0,1664,2974,0.3,a,,,
45,Lino,da Cruz Sousa,Sousa,2,2,40,0,0,1936,3021,0.4,a,,,
46,Yasin,Özcan,Yasin,2,2,40,0,0,1088,2167,0.2,a,,,
47,Morgan,Rogers,Rogers,2,3,70,0,0,88112,108120,9.7,a,,100.0,100.0
48,Youri,Tielemans,Tielemans,2,3,60,0,0,16266,31984,2.2,a,,,
49,Leon,Bailey,Bailey,2,3,55,0,0,2168,17749,0.4,u,Has joined AS Roma on loan for the rest of the season.,0.0,
50,Emiliano,Buendía Stati,Buendía,2,3,54,-1,-1,423,4688,0.1,a,,,
51,Samuel,Iling-Junior,Iling Jr,2,3,55,0,0,160,521,0.0,a,,,
53,Donyell,Malen,Malen,2,3,54,-1,-1,4955,42929,1.5,a,,,
54,John,McGinn,McGinn,2,3,55,0,0,7857,9488,0.7,a,,,
55,Ross,Barkley,Barkley,2,3,50,0,0,86,2687,0.1,d,Knock - 25% chance of playing,25.0,25.0
56,Enzo,Barrenechea,Barrenechea,2,3,50,0,0,0,10,0.0,u,Season-long loan to Benfica,0.0,0.0
57,Lewis,Dobbin,Dobbin,2,3,50,0,0,524,1002,0.1,a,,,
58,Boubacar,Kamara,Kamara,2,3,50,0,0,2785,3238,0.2,a,,,
59,Amadou,Onana,Onana,2,3,50,0,0,36560,21881,1.9,a,,,
60,Ben,Broggio,Broggio,2,3,45,0,0,3030,4002,0.3,a,,,
61,Leander,Dendoncker,Dendoncker,2,3,45,0,0,2169,6442,0.3,u,Has joined Real Oviedo permanently.,0.0,
62,Jamaldeen,Jimoh-Aloba,Jimoh-Aloba,2,3,45,0,0,432,682,0.1,a,,,
63,Kadan,Young,Young,2,3,45,0,0,6036,9150,0.7,a,,,
64,Ollie,Watkins,Watkins,2,4,90,0,0,121309,250704,25.3,a,,,
65,Zépiqueno,Redmond,Redmond,2,4,45,0,0,9915,11177,0.9,a,,,
677,Evann,Guessand,Guessand,2,3,65,0,0,358,1799,0.1,a,,,
688,James,Wright,Wright,2,1,40,0,0,11225,1400,0.5,a,,,
183,Max,Weiß,Weiss,3,1,45,0,0,610,1867,0.2,a,,,
184,Etienne,Green,Green,3,1,40,0,0,2239,2304,0.4,a,,,
185,Václav,Hladký,Hladký,3,1,40,0,0,716,1286,0.2,a,,,
186,Connor,Roberts,Roberts,3,2,45,0,0,415,1284,0.1,a,,,
187,Kyle,Walker,Walker,3,2,45,0,0,14610,18277,1.9,a,,,
188,Hannes,Delcroix,Delcroix,3,2,40,0,0,1067,2932,0.3,a,,,
189,Owen,Dodgson,Dodgson,3,2,40,0,0,0,804,0.0,u,Has joined Stockport County on loan for the rest of the season.,0.0,0.0
190,Hjalmar,Ekdal,Ekdal,3,2,40,0,0,4312,2275,0.3,a,,,
191,Maxime,Estève,Estève,3,2,40,0,0,75049,75968,19.6,a,,,
192,Quilindschy,Hartman,Hartman,3,2,40,0,0,6054,4073,0.6,a,,,
193,Bashir,Humphreys,Humphreys,3,2,40,0,0,116,984,0.1,d,Thigh injury - 25% chance of playing,25.0,25.0
194,Jordan,Beyer,Jordan,3,2,40,0,0,540,1715,0.2,a,,,
195,Lucas,Pires Silva,Lucas Pires,3,2,40,0,0,274,1570,0.2,a,,,
