id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,selected_by_percent,status,chance_of_playing_this_round
77,Hill,4,2,40,0,0,0.7,a,
78,J.Araujo,4,2,40,0,0,1.2,a,
79,Mepham,4,2,40,0,0,0.2,a,
80,Soler,4,2,40,0,0,0.3,a,
81,Kluivert,4,3,70,0,0,0.6,a,50.0
82,Semenyo,4,3,72,1,2,20.7,a,
84,Tavernier,4,3,55,0,0,1.0,a,
85,Adams,4,3,50,0,0,0.3,a,
86,Brooks,4,3,50,0,0,0.3,a,
87,Christie,4,3,50,0,0,0.1,a,75.0
88,Cook,4,3,50,0,0,0.0,i,0.0
89,Philip,4,3,50,0,0,0.1,a,
90,Scott,4,3,50,0,0,0.1,a,
91,Sinisterra,4,3,50,0,0,0.0,u,100.0
92,Faivre,4,3,45,0,0,0.2,a,
93,H.Traorè,4,3,45,0,0,1.3,a,
94,Sadi,4,3,45,0,0,0.1,a,
95,Silcott-Duberry,4,3,45,0,0,0.1,a,
96,Winterburn,4,3,45,0,0,0.1,a,
97,Evanilson,4,4,70,0,0,2.2,a,
98,Enes Ünal,4,4,55,0,0,0.0,i,0.0
99,Adu-Adjei,4,4,45,0,0,0.3,a,
100,Kroupi.Jr,4,4,45,0,0,1.3,a,
391,Gannon-Doak,4,3,50,0,0,0.1,a,
685,Diakité,4,2,45,0,0,0.3,a,
687,Rees-Dottin,4,3,45,0,0,0.1,a,
697,Adli,4,3,55,0,0,0.0,a,
83,O.Dango,5,3,60,0,0,0.6,a,100.0
101,Kelleher,5,1,45,0,0,10.3,a,100.0
102,Balcombe,5,1,40,0,0,0.3,a,
103,Cox,5,1,40,0,0,0.1,a,
104,Eyestone,5,1,40,0,0,0.1,a,
105,Valdimarsson,5,1,40,0,0,0.9,a,
106,Collins,5,2,50,0,0,1.7,a,
107,Lewis-Potter,5,2,50,0,0,0.4,a,
108,Ajer,5,2,45,0,0,0.2,a,
109,Henry,5,2,45,0,0,0.2,a,
110,Kayode,5,2,45,0,0,0.4,a,
111,Pinnock,5,2,45,0,0,0.2,d,75.0
112,Roerslev,5,2,45,0,0,0.0,u,0.0
113,Van den Berg,5,2,45,0,0,0.6,a,
114,Arthur,5,2,40,0,0,0.3,a,
115,Fredrick,5,2,40,0,0,0.2,a,
116,Hickey,5,2,40,0,0,0.4,a,
117,Ji-soo,5,2,40,0,0,0.2,a,
118,Meghoma,5,2,40,0,0,0.1,u,0.0
120,Schade,5,3,70,0,0,0.3,a,100.0
121,Damsgaard,5,3,59,0,-1,0.8,a,
122,Milambo,5,3,55,0,0,0.1,a,
123,Carvalho,5,3,50,0,0,0.3,a,
124,Henderson,5,3,50,0,0,0.3,a,
125,Janelt,5,3,50,0,0,0.0,i,0.0
126,Jensen,5,3,50,0,0,0.1,a,
127,Nunes,5,3,50,0,0,0.0,i,0.0
128,Onyeka,5,3,50,0,0,0.1,a,
129,Yarmoliuk,5,3,50,0,0,0.1,a,
130,Donovan,5,3,45,0,0,0.1,a,
131,Konak,5,3,45,0,0,0.2,a,
132,Maghoma,5,3,45,0,0,0.0,d,75.0
133,Peart-Harris,5,3,45,0,0,0.0,a,
134,Trevitt,5,3,45,0,0,0.0,u,0.0
135,Wissa,5,4,75,0,0,1.3,d,75.0
136,Thiago,5,4,60,0,0,1.2,a,
137,Morgan,5,4,45,0,0,0.4,a,
138,Steele,6,1,45,0,0,0.4,a,
139,Verbruggen,6,1,45,0,0,6.8,a,
140,McGill,6,1,40,0,0,0.4,a,
141,Rushworth,6,1,40,0,0,0.0,u,0.0
142,Scherpen,6,1,40,0,0,0.0,u,0.0
143,Boscagli,6,2,45,0,0,0.1,a,
144,Coppola,6,2,45,0,0,0.1,a,
145,De Cuyper,6,2,45,0,0,5.3,a,
146,Dunk,6,2,45,0,0,1.3,a,
147,Estupiñan,6,2,45,0,0,0.0,u,0.0
148,F.Kadıoğlu,6,2,45,0,0,0.2,a,
149,Igor,6,2,45,0,0,0.1,a,100.0
150,Lamptey,6,2,45,0,0,0.3,a,
151,Van Hecke,6,2,45,0,0,1.1,a,
152,Veltman,6,2,44,-1,-1,0.2,a,
153,Webster,6,2,45,0,0,0.0,i,0.0
154,Cashin,6,2,40,0,0,0.0,u,0.0
155,Slater,6,2,40,0,0,0.2,a,
156,Tasker,6,2,40,0,0,0.2,a,
157,Mitoma,6,3,65,0,0,5.6,a,
158,Georginio,6,3,60,0,0,1.1,d,
159,March,6,3,59,0,-1,0.0,i,0.0
160,Minteh,6,3,59,-1,-1,0.9,a,
161,Enciso,6,3,54,-1,-1,0.0,i,0.0
162,Gruda,6,3,55,0,0,0.0,a,
163,Hinshelwood,6,3,54,0,-1,0.1,a,
164,O'Riley,6,3,55,0,0,1.6,a,
165,Sima,6,3,55,0,0,0.0,a,
166,Ayari,6,3,50,0,0,0.2,a,
167,Baleba,6,3,50,0,0,4.1,a,
168,Buonanotte,6,3,49,-1,-1,0.2,a,
169,Gomez,6,3,50,0,0,0.1,a,
170,Milner,6,3,50,0,0,0.1,a,
171,Sarmiento,6,3,50,0,0,0.0,a,
172,Watson,6,3,50,0,0,0.0,a,100.0
173,Wieffer,6,3,50,0,0,0.1,a,
174,Yalcouye,6,3,50,0,0,0.0,u,0.0
175,Knight,6,3,45,0,0,0.1,a,
176,Mazilu,6,3,45,0,0,0.0,a,
177,Moran,6,3,45,0,0,0.0,u,0.0
178,Welbeck,6,4,64,-1,-1,3.0,a,
179,Ferguson,6,4,55,0,0,0.0,u,0.0
180,Tzimas,6,4,55,0,0,0.1,a,
181,Kostoulas,6,4,50,0,0,0.4,a,
220,Sánchez,7,1,50,0,0,25.0,a,
221,Jörgensen,7,1,45,0,0,0.2,a,
222,Penders,7,1,40,0,0,0.0,u,0.0
223,Slonina,7,1,40,0,0,0.1,a,
224,Cucurella,7,2,61,1,1,25.4,a,
225,James,7,2,55,0,0,5.8,a,
226,Chalobah,7,2,50,0,0,3.0,a,
227,Colwill,7,2,49,0,-1,0.2,i,0.0
228,Gusto,7,2,50,0,0,1.5,a,
229,B.Badiashile,7,2,44,-1,-1,0.0,i,0.0
230,Fofana,7,2,45,0,0,0.2,a,100.0
231,M.Sarr,7,2,45,0,0,0.0,u,0.0
232,Tosin,7,2,45,0,0,1.1,a,100.0
233,Acheampong,7,2,40,0,0,2.4,a,
234,Anselmino,7,2,40,0,0,0.1,a,
235,Palmer,7,3,105,0,0,47.5,d,
236,Neto,7,3,70,0,0,4.8,a,
237,Enzo,7,3,65,0,0,4.5,a,
238,Estêvão,7,3,65,0,0,2.1,a,
239,Gittens,7,3,64,-1,-1,0.2,a,
240,Nkunku,7,3,60,0,0,0.2,n,0.0
241,Caicedo,7,3,55,0,0,6.2,a,
243,George,7,3,50,0,0,0.1,a,
244,Lavia,7,3,49,-1,-1,0.0,i,0.0
245,Mudryk,7,3,50,0,0,0.0,s,0.0
246,Andrey Santos,7,3,45,0,0,0.3,a,
247,D.Essugo,7,3,45,0,0,0.1,a,
248,Paez,7,3,45,0,0,0.0,u,0.0
249,João Pedro,7,4,76,1,1,57.1,a,
250,Delap,7,4,64,-1,-1,3.2,a,
251,N.Jackson,7,4,65,0,0,0.1,n,0.0
672,Hato,7,2,49,-1,-1,0.3,a,
253,Henderson,8,1,50,0,0,7.2,a,
254,Benitez,8,1,40,0,0,0.4,a,
255,Matthews,8,1,40,0,0,0.1,a,
