element,web_name,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type
1,Raya,Arsenal,GK,16,90,2,0,0,0,1,0,0,0,0,0,1,0,8,13.6,0.1,0.0,1.4,1,9,0,0,1,0.00,0.00,0.00,0.38,False,1,1
2,Arrizabalaga,Arsenal,GK,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
3,Hein,Arsenal,GK,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
4,Setford,Arsenal,GK,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
5,Gabriel,Arsenal,DEF,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
6,Saliba,Arsenal,DEF,16,90,2,0,0,0,1,0,0,0,0,0,0,0,14,16.4,5.1,4.0,2.6,4,4,1,5,1,0.00,0.02,0.02,0.38,False,1,2
7,Calafiori,Arsenal,DEF,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
8,J.Timber,Arsenal,DEF,16,90,2,0,0,0,1,0,0,0,0,0,0,0,7,8.0,16.5,10.0,3.5,2,2,0,2,1,0.19,0.02,0.21,0.38,False,1,2
9,Kiwior,Arsenal,DEF,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
10,Lewis-Skelly,Arsenal,DEF,16,59,1,0,0,0,1,0,0,0,0,0,0,0,8,8.0,23.7,10.0,4.2,1,1,1,2,0,0.05,0.03,0.08,0.23,False,1,2
