id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,59,0,4,45968,7244,34.1,a,,,2250,106,0.0,0.05,0.05
2,Arrizabalaga,1,1,41,0,-4,75,172,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,69,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,39,0,-1,43,204,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,71,0,11,42631,3533,41.2,a,100.0,,1625,135,1.72,0.84,2.56
6,Saliba,1,2,61,1,1,37600,3381,13.4,a,100.0,,1714,83,0.38,0.59,0.97
7,Calafiori,1,2,56,0,1,9260,1518,6.2,a,100.0,,1337,84,2.77,0.39,3.16
8,J.Timber,1,2,64,0,9,50169,9741,29.6,a,100.0,,1999,121,4.3,1.11,5.41
9,Kiwior,1,2,54,0,-1,0,6,0.0,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,51,0,-4,258,592,1.4,a,,,311,12,0.05,0.06,0.11
11,White,1,2,51,0,-4,442,1088,0.6,a,100.0,,409,30,0.43,0.49,0.92
13,Clarke,1,2,38,0,-2,64,248,0.4,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,15,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,37,-1,-3,633,114,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,99,0,-1,378,59609,9.6,d,50.0,Hip injury - 50% chance of playing,1543,101,5.58,5.11,10.69
17,Ødegaard,1,3,78,0,-2,104,9731,1.9,d,50.0,Muscle injury - 50% chance of playing,1012,57,0.97,2.83,3.8
18,Madueke,1,3,68,0,-2,9078,2526,1.2,a,100.0,,695,37,0.63,1.9,2.53
19,Martinelli,1,3,68,0,-2,2756,526,0.9,a,100.0,,604,37,2.72,0.78,3.5
20,Trossard,1,3,68,0,-2,13473,3531,1.6,d,100.0,Muscle injury - 75% chance of playing,1415,92,4.4,2.4,6.8
21,Rice,1,3,75,0,10,61322,25775,33.8,a,100.0,,2055,134,2.92,5.25,8.17
