id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,58,1,3,245419,37240,30.7,a,,,810,46,0.0,0.04,0.04
2,Arrizabalaga,1,1,42,-1,-3,390,2397,0.5,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,1759,0.3,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,378,1283,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,65,1,5,520811,49487,39.3,a,75.0,,810,68,0.82,0.14,0.96
6,Saliba,1,2,60,0,0,30390,141604,11.7,d,100.0,Knock - 75% chance of playing,544,32,0.13,0.19,0.32
7,Calafiori,1,2,58,0,3,138932,44136,16.0,a,,,695,54,1.95,0.19,2.14
8,J.Timber,1,2,61,1,6,352101,38434,24.9,a,,,701,60,1.89,0.6,2.49
9,Kiwior,1,2,54,0,-1,0,109,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,52,0,-3,3703,9581,1.7,a,,,85,5,0.0,0.0,0.0
11,White,1,2,54,0,-1,1392,2545,0.4,a,100.0,,70,6,0.01,0.01,0.02
13,Clarke,1,2,39,0,-1,849,3020,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,939,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,0,-1,187,1314,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,101,1,1,203965,67877,17.5,a,100.0,,501,30,1.31,2.01,3.32
17,Ødegaard,1,3,79,0,-1,106,9594,1.4,i,0.0,Knee injury - Expected back 23 Nov,201,13,0.14,0.81,0.95
18,Madueke,1,3,68,-1,-2,66,3885,0.6,i,0.0,Knee injury - Expected back 23 Nov,304,10,0.29,0.86,1.15
19,Martinelli,1,3,69,0,-1,3889,21483,1.0,d,,Knock - 25% chance of playing,214,16,0.75,0.08,0.83
20,Trossard,1,3,69,0,-1,13645,3673,0.5,a,100.0,,462,25,1.6,0.69,2.29
