id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,59,0,4,22827,37792,31.9,a,,,1080,55,0.0,0.04,0.04
2,Arrizabalaga,1,1,42,0,-3,138,774,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,399,0.3,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,146,368,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,64,-1,4,3022,622171,25.4,i,0.0,Thigh injury - Unknown return date,990,81,0.82,0.69,1.51
6,Saliba,1,2,60,0,0,48787,16588,12.8,a,100.0,,814,41,0.29,0.24,0.53
7,Calafiori,1,2,58,0,3,21683,55207,14.5,a,75.0,,946,63,2.31,0.28,2.59
8,J.Timber,1,2,63,1,8,216758,23154,30.5,a,,,971,72,2.58,0.68,3.26
9,Kiwior,1,2,54,0,-1,0,32,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,51,0,-4,792,3072,1.6,a,,,87,7,0.0,0.0,0.0
11,White,1,2,53,0,-2,522,804,0.4,a,100.0,,70,6,0.01,0.01,0.02
13,Clarke,1,2,38,0,-2,858,991,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,201,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,0,-1,94,355,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,101,0,1,43809,52802,17.6,a,100.0,,771,49,2.52,2.35,4.87
17,Ødegaard,1,3,78,0,-2,580,1269,1.3,a,50.0,,201,13,0.14,0.81,0.95
18,Madueke,1,3,68,0,-2,1125,481,0.6,a,50.0,,316,11,0.29,0.87,1.16
19,Martinelli,1,3,68,0,-2,752,1616,0.8,a,50.0,,214,16,0.75,0.08,0.83
20,Trossard,1,3,69,0,-1,31228,6622,1.1,d,100.0,Knock - 75% chance of playing,719,52,2.14,1.23,3.37
21,Rice,1,3,69,0,4,110673,37455,22.3,a,100.0,,983,71,1.44,2.76,4.2
22,Merino,1,3,59,0,-1,4857,4778,1.0,a,,,500,28,0.78,0.67,1.45
23,Fábio Vieira,1,3,54,0,-1,0,12,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,52,0,-3,78,293,0.1,a,100.0,,14,2,0.05,0.0,0.05
25,Nwaneri,1,3,51,0,-4,103,331,0.1,a,,,165,8,0.23,0.08,0.31
26,Zubimendi,1,3,54,0,-1,3774,15703,2.8,a,100.0,,1027,50,0.59,1.01,1.6
28,Kabia,1,3,45,0,0,0,147,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,76,0.1,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,106,215,0.3,d,50.0,Knee injury - 50% chance of playing,30,1,0.0,0.01,0.01
31,G.Jesus,1,4,64,0,-1,85,123,0.0,d,50.0,Knee injury - 50% chance of playing,0,0,0.0,0.0,0.0
266,Eze,1,3,77,1,2,366486,13408,16.1,a,,,790,61,2.54,1.32,3.86
662,Mosquera,1,2,54,0,-1,893,1470,0.2,a,,,296,15,0.0,0.09,0.09
666,Gyökeres,1,4,88,0,-2,2229,74106,11.3,d,50.0,Muscle injury - 50% chance of playing,801,37,4.45,0.66,5.11
700,Dowman,1,3,43,0,-2,2738,3077,0.5,a,,,27,5,0.14,0.02,0.16
711,Harriman-Annous,1,3,45,0,0,21,43,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,54,0,-1,2740,388,0.1,a,100.0,,113,4,0.0,0.01,0.01
32,Martinez,2,1,50,0,0,28468,5343,3.6,a,100.0,,900,43,0.0,0.03,0.03
33,M.Bizot,2,1,43,0,-2,104,669,0.5,a,,,180,7,0.0,0.0,0.0
34,Gauci,2,1,40,0,0,0,137,0.1,u,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0.0,0.0,0.0
35,Marschall,2,1,40,0,0,0,13,0.0,u,0.0,Has joined Stevenage permanently.,0,0,0.0,0.0,0.0
36,Cash,2,2,46,0,1,36361,14116,6.5,a,75.0,,1056,54,0.31,0.97,1.28
37,Digne,2,2,45,0,0,10474,3520,2.0,a,100.0,,862,43,0.27,1.39,1.66
38,Konsa,2,2,44,0,-1,6821,14430,7.9,a,75.0,,965,35,0.04,0.15,0.19
39,Maatsen,2,2,42,0,-3,425,730,0.4,a,,,214,7,0.25,0.21,0.46
40,Mings,2,2,44,0,-1,21,2920,0.7,i,0.0,Hamstring injury - Expected back 23 Nov,497,24,0.33,0.09,0.42
41,Pau,2,2,43,0,-2,4511,866,0.5,a,,,687,29,0.1,0.17,0.27
42,A.García,2,2,39,0,-1,36,549,0.2,a,25.0,,0,0,0.0,0.0,0.0
43,Alex Moreno,2,2,40,0,0,0,3758,2.2,u,0.0,Has joined Girona permanently.,0,0,0.0,0.0,0.0
44,Bogarde,2,2,40,0,0,346,2043,0.6,a,75.0,,297,17,0.0,0.09,0.09
45,Sousa,2,2,39,0,-1,181,491,0.3,a,,,0,0,0.0,0.0,0.0
46,Yasin,2,2,40,0,0,0,182,0.1,u,0.0,has joined Anderlecht on loan for the rest of the season.,0,0,0.0,0.0,0.0
