id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
62,Jimoh-Aloba,2,3,45,0.1,-10.0,14.0,down,a,0,stable,0.0,0.0,48h+
63,Young,2,3,45,0.6,-44.0,-152.0,down,a,0,stable,0.0,0.0,48h+
64,Watkins,2,4,88,14.9,-10912.0,-20320.0,down,a,0,stable,0.0,0.0,48h+
65,Redmond,2,4,45,0.6,-527.0,-1073.0,down,u,1,stable,0.0,0.0,48h+
389,Elliott,2,3,54,0.5,1882.0,3799.0,up,a,0,stable,0.0,0.0,48h+
456,Sancho,2,3,59,0.2,142.0,281.0,up,a,0,stable,0.0,0.0,48h+
677,Guessand,2,3,64,0.0,-24.0,-53.0,down,a,0,stable,0.0,0.0,48h+
688,Wright,2,1,40,0.5,-47.0,-114.0,down,a,0,stable,0.0,0.0,48h+
701,Rowe,2,2,40,0.1,-48.0,-82.0,down,a,0,stable,0.0,0.0,48h+
702,Burrowes,2,3,45,0.1,-5.0,-10.0,down,a,0,stable,0.0,0.0,48h+
703,Proctor,2,1,40,0.3,54.0,68.0,up,a,0,stable,0.0,0.0,48h+
710,Patterson,2,2,40,0.1,-29.0,-50.0,down,a,0,stable,0.0,0.0,48h+
719,Lindelöf,2,2,45,0.0,-50.0,-31.0,down,d,1,stable,0.0,0.0,48h+
183,Weiss,3,1,44,0.1,-67.0,-97.0,down,a,0,stable,0.0,0.0,48h+
184,Green,3,1,40,0.3,-242.0,-476.0,down,u,1,stable,0.0,0.0,48h+
185,Hladký,3,1,40,0.2,17.0,10.0,up,a,0,stable,0.0,0.0,48h+
186,Roberts,3,2,44,0.0,-31.0,-68.0,down,d,1,stable,0.0,0.0,48h+
187,Walker,3,2,45,1.7,-134.0,-310.0,down,a,0,stable,0.0,0.0,48h+
188,Delcroix,3,2,40,0.2,-104.0,-187.0,down,a,0,stable,0.0,0.0,48h+
189,Dodgson,3,2,40,0.0,-10.0,-18.0,down,u,1,stable,0.0,0.0,48h+
190,Ekdal,3,2,40,1.4,3684.0,6291.0,up,a,0,stable,0.0,0.0,48h+
191,Estève,3,2,40,16.5,-2030.0,-4021.0,down,a,0,stable,0.0,0.0,48h+
192,Hartman,3,2,40,0.5,303.0,452.0,up,a,0,stable,0.0,0.0,48h+
193,Humphreys,3,2,40,0.1,-8.0,-21.0,down,a,0,stable,0.0,0.0,48h+
194,Jordan,3,2,40,0.1,-63.0,-134.0,down,d,1,stable,0.0,0.0,48h+
195,Lucas Pires,3,2,39,0.2,451.0,828.0,up,a,0,stable,0.0,0.0,48h+
196,Sambo,3,2,40,0.1,-33.0,-64.0,down,u,1,stable,0.0,0.0,48h+
197,Sonne,3,2,40,0.1,-45.0,-88.0,down,a,0,stable,0.0,0.0,48h+
198,Tuanzebe,3,2,39,2.0,-141.0,76.0,down,a,0,stable,0.0,0.0,48h+
199,Worrall,3,2,40,0.1,-16.0,-30.0,down,a,0,stable,0.0,0.0,48h+
200,Anthony,3,3,55,1.3,5860.0,9762.0,up,a,0,stable,0.0,0.0,48h+
201,Benson,3,3,54,0.0,-4.0,-10.0,down,a,0,stable,0.0,0.0,48h+
202,Bruun Larsen,3,3,54,0.0,-54.0,-109.0,down,d,1,stable,0.0,0.0,48h+
203,Boateng,3,3,49,0.0,-18.0,-32.0,down,a,0,stable,0.0,0.0,48h+
204,Churlinov,3,3,49,0.0,-16.0,-28.0,down,u,1,stable,0.0,0.0,48h+
205,Cullen,3,3,50,2.0,1913.0,3345.0,up,a,0,stable,0.0,0.0,48h+
206,Edwards,3,3,48,0.1,36.0,97.0,up,a,0,stable,0.0,0.0,48h+
207,Hannibal,3,3,50,0.2,-42.0,-87.0,down,a,0,stable,0.0,0.0,48h+
208,Koleosho,3,3,50,0.0,-11.0,-24.0,down,u,1,stable,0.0,0.0,48h+
209,Laurent,3,3,49,0.0,6.0,6.0,up,a,0,stable,0.0,0.0,48h+
210,Tchaouna,3,3,49,0.0,44.0,91.0,up,a,0,stable,0.0,0.0,48h+
211,A.Ramsey,3,3,44,4.6,-7966.0,-14249.0,down,u,1,stable,0.0,0.0,48h+
212,Adewumi,3,3,45,0.0,-13.0,-21.0,down,u,1,stable,0.0,0.0,48h+
213,Banel,3,3,45,0.0,-7.0,-7.0,down,a,0,stable,0.0,0.0,48h+
214,Trésor,3,3,45,0.1,-11.0,-36.0,down,a,0,stable,0.0,0.0,48h+
215,Flemming,3,4,54,0.1,-69.0,-110.0,down,a,0,stable,0.0,0.0,48h+
216,Amdouni,3,4,49,0.0,-19.0,-29.0,down,i,1,stable,0.0,0.0,48h+
217,Foster,3,4,50,1.3,5860.0,9795.0,up,a,0,stable,0.0,0.0,48h+
218,Barnes,3,4,44,1.6,191.0,309.0,up,a,0,stable,0.0,0.0,48h+
219,Obafemi,3,4,44,0.2,-286.0,-527.0,down,u,1,stable,0.0,0.0,48h+
470,Dúbravka,3,1,40,34.1,6282.0,10753.0,up,a,0,stable,0.0,0.0,48h+
676,Ugochukwu,3,3,50,0.0,-50.0,-99.0,down,s,1,stable,0.0,0.0,48h+
680,Broja,3,4,54,0.2,-3.0,-15.0,down,a,0,stable,0.0,0.0,48h+
722,Florentino,3,3,50,0.0,11.0,11.0,up,a,0,stable,0.0,0.0,48h+
66,Neto,4,1,45,0.1,-65.0,-135.0,down,u,1,stable,0.0,0.0,48h+
67,Petrović,4,1,45,4.5,1592.0,2788.0,up,a,0,stable,0.0,0.0,48h+
68,Dennis,4,1,40,1.1,40.0,58.0,up,a,0,stable,0.0,0.0,48h+
69,McKenna,4,1,40,0.2,-14.0,-36.0,down,a,0,stable,0.0,0.0,48h+
70,Paulsen,4,1,40,0.1,-65.0,-118.0,down,u,1,stable,0.0,0.0,48h+
71,Zabarnyi,4,2,50,0.0,-18.0,-52.0,down,u,1,stable,0.0,0.0,48h+
72,Senesi,4,2,46,9.5,24694.0,42143.0,up,a,0,stable,0.0,0.0,48h+
73,Smith,4,2,45,0.2,-336.0,-662.0,down,i,1,stable,0.0,0.0,48h+
74,Truffert,4,2,45,1.2,407.0,641.0,up,a,0,stable,0.0,0.0,48h+
75,Akinmboni,4,2,40,0.3,-79.0,-141.0,down,a,0,stable,0.0,0.0,48h+
76,Bevan,4,2,40,0.2,-53.0,-86.0,down,a,0,stable,0.0,0.0,48h+
77,Hill,4,2,40,0.9,418.0,675.0,up,a,0,stable,0.0,0.0,48h+
78,J.Araujo,4,2,40,0.9,-440.0,-808.0,down,a,0,stable,0.0,0.0,48h+
79,Mepham,4,2,40,0.1,-149.0,-274.0,down,u,1,stable,0.0,0.0,48h+
80,Soler,4,2,40,0.3,-50.0,-58.0,down,a,0,stable,0.0,0.0,48h+
81,Kluivert,4,3,70,0.7,-192.0,-322.0,down,a,0,stable,0.0,0.0,48h+
82,Semenyo,4,3,75,41.2,73030.0,126737.0,up,a,0,stable,0.0,0.0,12–24h
84,Tavernier,4,3,55,1.7,-119.0,-147.0,down,a,0,stable,0.0,0.0,48h+
85,Adams,4,3,50,0.4,-59.0,-66.0,down,a,0,stable,0.0,0.0,48h+
86,Brooks,4,3,50,0.4,-46.0,-160.0,down,a,0,stable,0.0,0.0,48h+
87,Christie,4,3,50,0.1,-87.0,-159.0,down,d,1,stable,0.0,0.0,48h+
88,Cook,4,3,49,0.0,33.0,91.0,up,a,0,stable,0.0,0.0,48h+
89,Philip,4,3,49,0.0,-28.0,-68.0,down,u,1,stable,0.0,0.0,48h+
90,Scott,4,3,50,0.2,968.0,1798.0,up,a,0,stable,0.0,0.0,48h+
91,Sinisterra,4,3,50,0.0,-9.0,-26.0,down,u,1,stable,0.0,0.0,48h+
92,Faivre,4,3,45,0.1,-194.0,-354.0,down,u,1,stable,0.0,0.0,48h+
93,H.Traorè,4,3,45,0.8,-1266.0,-2437.0,down,u,1,stable,0.0,0.0,48h+
94,Sadi,4,3,45,0.1,32.0,72.0,up,a,0,stable,0.0,0.0,48h+
95,Silcott-Duberry,4,3,44,0.1,502.0,996.0,up,a,0,stable,0.0,0.0,48h+
96,Winterburn,4,3,45,0.1,-79.0,-146.0,down,u,1,stable,0.0,0.0,48h+
97,Evanilson,4,4,70,2.8,4356.0,7081.0,up,a,0,stable,0.0,0.0,48h+
98,Enes Ünal,4,4,55,0.0,-1.0,-6.0,down,i,1,stable,0.0,0.0,48h+
99,Adu-Adjei,4,4,44,0.3,380.0,692.0,up,a,0,stable,0.0,0.0,48h+
