id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,60,0,0,92078,99050,38.0,a,,,180,12,0.0,0.0,0.0
2,Arrizabalaga,1,1,50,0,0,308,619,0.1,a,,,0,0,0.0,0.0,0.0
3,Meslier,1,1,50,0,0,73,217,0.0,a,,,0,0,0.0,0.0,0.0
4,Gabriel,1,2,80,0,0,24810,159060,27.3,a,,,180,13,0.18,0.03,0.21
5,J.Timber,1,2,65,0,0,308,1444,0.1,i,0.0,Groin injury - Unknown return date,0,0,0.0,0.0,0.0
6,Saliba,1,2,60,0,0,776,3497,0.2,i,0.0,Back injury - Unknown return date,0,0,0.0,0.0,0.0
7,Lewis-Skelly,1,3,55,0,0,4380,6128,0.7,a,,,160,6,0.13,0.13,0.26
8,Calafiori,1,2,56,0,1,204474,58100,42.5,a,,,170,20,0.15,0.55,0.7
9,Hincapie,1,2,54,0,-1,3137,17468,1.3,a,,,9,1,0.0,0.0,0.0
10,White,1,2,55,0,0,71240,49771,7.1,a,100.0,,180,18,0.18,0.26,0.44
11,Mosquera,1,2,55,0,0,7721,41256,5.2,a,,,168,12,0.0,0.01,0.01
12,Saka,1,3,95,0,0,48614,45357,10.4,a,,,157,20,1.27,0.12,1.39
13,Rice,1,3,75,0,0,11876,117322,15.5,a,,,151,8,0.07,0.18,0.25
14,Eze,1,3,64,-1,-1,4409,19525,1.6,a,,,59,2,0.04,0.07,0.11
15,Ødegaard,1,3,66,0,1,66067,69590,11.6,a,,,145,14,0.29,0.17,0.46
16,Madueke,1,3,64,0,-1,772,3686,0.3,a,,,22,1,0.0,0.04,0.04
17,Merino,1,3,59,-1,-1,1920,7653,0.5,a,,,33,2,0.14,0.02,0.16
18,Martinelli,1,3,64,0,-1,723,3112,0.2,a,,,0,0,0.0,0.0,0.0
19,Zubimendi,1,3,54,-1,-1,2436,9694,0.9,a,,,27,2,0.0,0.02,0.02
20,Dowman,1,3,54,0,-1,409,1076,0.1,a,,,0,0,0.0,0.0,0.0
22,Nwaneri,1,3,54,-1,-1,120,181,0.0,a,,,0,0,0.0,0.0,0.0
23,Fábio Vieira,1,3,55,0,0,122,122,0.0,a,,,0,0,0.0,0.0,0.0
24,Nelson,1,3,55,0,0,4,184,0.0,u,,has departed the club as a free agent.,0,0,0.0,0.0,0.0
