id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,55,0,0,52710,36436,21.4,a,,,180,16,0.0,0.0,0.0
2,Arrizabalaga,1,1,45,0,0,418,4125,0.8,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,970,1904,0.6,a,,,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,246,535,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,61,1,1,46413,44422,20.9,a,,,180,12,0.04,0.01,0.05
6,Saliba,1,2,61,1,1,47276,36987,18.1,a,,,180,15,0.0,0.01,0.01
7,Calafiori,1,2,56,1,1,133166,15431,5.9,a,,,134,26,1.3,0.02,1.32
8,J.Timber,1,2,55,0,0,168481,12132,3.9,a,,,82,24,0.81,0.05,0.86
9,Kiwior,1,2,55,0,0,179,770,0.1,a,,,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,55,0,0,2877,34821,3.5,a,,,44,1,0.0,0.0,0.0
11,White,1,2,55,0,0,250,12441,0.9,d,75.0,Knock - 75% chance of playing,70,6,0.01,0.01,0.02
12,Zinchenko,1,2,50,0,0,789,2871,0.4,a,,,0,0,0.0,0.0,0.0
13,Clarke,1,2,40,0,0,1399,3194,0.6,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,40,0,0,280,926,0.2,a,,,0,0,0.0,0.0,0.0
15,Nichols,1,2,40,0,0,247,914,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,100,0,0,48222,140630,15.8,d,,Hamstring injury - 75% chance of playing,142,9,0.26,0.12,0.38
17,Ødegaard,1,3,80,0,0,6506,40152,3.6,d,,Shoulder injury - 75% chance of playing,127,6,0.14,0.34,0.48
18,Madueke,1,3,70,0,0,2287,5143,1.0,a,,,93,4,0.0,0.11,0.11
