id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,56,0,1,128173,45644,26.1,a,,,540,28,0.0,0.04,0.04
2,Arrizabalaga,1,1,43,0,-2,312,2246,0.6,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,1664,0.4,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,544,1180,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,62,1,2,321673,24808,26.3,a,,,540,38,0.48,0.06,0.54
6,Saliba,1,2,60,0,0,32562,41167,12.4,a,100.0,,319,19,0.13,0.1,0.23
7,Calafiori,1,2,57,0,2,59478,61811,14.5,a,,,450,36,1.67,0.13,1.8
8,J.Timber,1,2,58,0,3,117630,47940,14.6,a,,,431,37,1.73,0.38,2.11
9,Kiwior,1,2,54,0,-1,0,235,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,53,0,-2,1905,11056,2.0,a,,,68,3,0.0,0.0,0.0
11,White,1,2,54,0,-1,1159,1907,0.5,a,100.0,,70,6,0.01,0.01,0.02
13,Clarke,1,2,40,0,0,994,2302,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,1583,0.2,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,0,-1,2277,1185,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,98,0,-2,153540,18035,6.2,a,100.0,,256,12,0.38,0.34,0.72
17,Ødegaard,1,3,79,0,-1,7373,6076,1.8,a,75.0,,172,12,0.14,0.6,0.74
18,Madueke,1,3,69,-1,-1,165,21647,0.9,i,0.0,Knee injury - Unknown return date,304,10,0.29,0.86,1.15
19,Martinelli,1,3,69,0,-1,9743,6091,1.2,a,,,170,13,0.23,0.02,0.25
20,Trossard,1,3,69,0,-1,2209,1198,0.3,a,100.0,,218,9,0.54,0.48,1.02
21,Rice,1,3,65,0,0,53995,25733,8.2,a,,,464,29,0.15,1.04,1.19
22,Merino,1,3,59,0,-1,10025,3534,0.6,a,,,231,14,0.18,0.12,0.3
23,Fábio Vieira,1,3,54,0,-1,0,93,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,53,0,-2,331,845,0.2,a,100.0,,0,0,0.0,0.0,0.0
25,Nwaneri,1,3,53,0,-2,545,1348,0.2,a,,,130,5,0.17,0.04,0.21
26,Zubimendi,1,3,55,0,0,38236,27538,4.3,a,,,531,29,0.26,0.64,0.9
28,Kabia,1,3,45,0,0,0,942,0.2,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
