id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,59,0,4,16879,26550,32.1,a,,,1080,55,0.0,0.04,0.04
2,Arrizabalaga,1,1,42,0,-3,100,575,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,295,0.3,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,110,264,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,64,-1,4,2481,489443,26.6,i,0.0,Thigh injury - Unknown return date,990,81,0.82,0.69,1.51
6,Saliba,1,2,60,0,0,40038,11841,12.7,a,100.0,,814,41,0.29,0.24,0.53
7,Calafiori,1,2,58,0,3,13748,47025,14.6,a,75.0,,946,63,2.31,0.28,2.59
8,J.Timber,1,2,63,1,8,166048,16618,30.3,a,,,971,72,2.58,0.68,3.26
9,Kiwior,1,2,54,0,-1,0,26,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,51,0,-4,597,2268,1.6,a,,,87,7,0.0,0.0,0.0
11,White,1,2,53,0,-2,406,587,0.4,a,100.0,,70,6,0.01,0.01,0.02
13,Clarke,1,2,38,0,-2,638,710,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,151,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,0,-1,75,259,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,101,0,1,32080,37953,17.8,a,100.0,,771,49,2.52,2.35,4.87
17,Ødegaard,1,3,78,0,-2,178,976,1.3,d,50.0,Knee injury - 50% chance of playing,201,13,0.14,0.81,0.95
18,Madueke,1,3,68,0,-2,291,372,0.6,a,50.0,,316,11,0.29,0.87,1.16
19,Martinelli,1,3,68,0,-2,174,1334,0.8,a,50.0,,214,16,0.75,0.08,0.83
20,Trossard,1,3,69,0,-1,24568,2306,1.1,a,100.0,,719,52,2.14,1.23,3.37
21,Rice,1,3,69,0,4,80971,28071,22.2,a,100.0,,983,71,1.44,2.76,4.2
22,Merino,1,3,59,0,-1,3381,3173,1.0,a,,,500,28,0.78,0.67,1.45
23,Fábio Vieira,1,3,54,0,-1,0,6,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,52,0,-3,61,216,0.1,a,100.0,,14,2,0.05,0.0,0.05
25,Nwaneri,1,3,51,0,-4,77,250,0.1,a,,,165,8,0.23,0.08,0.31
26,Zubimendi,1,3,54,0,-1,2875,11626,2.8,a,100.0,,1027,50,0.59,1.01,1.6
28,Kabia,1,3,45,0,0,0,119,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,59,0.1,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,76,154,0.3,d,50.0,Knee injury - 50% chance of playing,30,1,0.0,0.01,0.01
31,G.Jesus,1,4,64,0,-1,68,94,0.0,d,50.0,Knee injury - 50% chance of playing,0,0,0.0,0.0,0.0
266,Eze,1,3,77,1,2,278811,10429,15.4,a,,,790,61,2.54,1.32,3.86
662,Mosquera,1,2,54,0,-1,696,1057,0.2,a,,,296,15,0.0,0.09,0.09
666,Gyökeres,1,4,88,0,-2,1888,55454,11.5,d,50.0,Muscle injury - 50% chance of playing,801,37,4.45,0.66,5.11
700,Dowman,1,3,43,0,-2,2118,2270,0.4,a,,,27,5,0.14,0.02,0.16
711,Harriman-Annous,1,3,45,0,0,15,31,0.0,a,,,0,0,0.0,0.0,0.0
