id,web_name,first_name,second_name,team,element_type,team_name
469,Pope,Nick,Pope,15,1,Newcastle
471,Gillespie,Mark,Gillespie,15,1,Newcastle
472,Odysseas,Odysseas,Vlachodimos,15,1,Newcastle
473,Hall,Lewis,Hall,15,2,Newcastle
474,Schär,Fabian,Schär,15,2,Newcastle
475,Botman,Sven,Botman,15,2,Newcastle
476,Burn,Dan,Burn,15,2,Newcastle
477,Livramento,Tino,Livramento,15,2,Newcastle
478,Trippier,Kieran,Trippier,15,2,Newcastle
479,Krafth,Emil,Krafth,15,2,Newcastle
480,Lascelles,Jamaal,Lascelles,15,2,Newcastle
481,A.Murphy,Alex,Murphy,15,2,Newcastle
482,Ashby,Harrison,Ashby,15,2,Newcastle
483,Pivas,Miodrag,Pivaš,15,2,Newcastle
484,Targett,Matt,Targett,15,2,Newcastle
485,Gordon,Anthony,Gordon,15,3,Newcastle
486,Elanga,Anthony,Elanga,15,3,Newcastle
487,Barnes,Harvey,Barnes,15,3,Newcastle
488,Bruno G.,Bruno,Guimarães Rodriguez Moura,15,3,Newcastle
489,J.Murphy,Jacob,Murphy,15,3,Newcastle
490,Joelinton,Joelinton Cássio,Apolinário de Lira,15,3,Newcastle
491,Tonali,Sandro,Tonali,15,3,Newcastle
492,Antoñito C.,Antoñito,Cordero Campillo,15,3,Newcastle
494,Willock,Joe,Willock,15,3,Newcastle
495,Hayden,Isaac,Hayden,15,3,Newcastle
496,Kuol,Garang,Kuol,15,3,Newcastle
497,L.Miley,Lewis,Miley,15,3,Newcastle
498,White,Joe,White,15,3,Newcastle
499,Isak,Alexander,Isak,15,4,Newcastle
500,Osula,William,Osula,15,4,Newcastle
501,Neave,Sean,Neave,15,4,Newcastle
674,Ramsdale,Aaron,Ramsdale,15,1,Newcastle
684,Thiaw,Malick,Thiaw,15,2,Newcastle
689,Seung soo,Seung-Soo,Park,15,3,Newcastle
426,McAtee,James,McAtee,16,3,Nott'm Forest
502,Sels,Matz,Sels,16,1,Nott'm Forest
503,C.Miguel,Carlos Miguel,dos Santos Pereira,16,1,Nott'm Forest
504,Turner,Matt,Turner,16,1,Nott'm Forest
505,Milenković,Nikola,Milenković,16,2,Nott'm Forest
506,Murillo,Murillo,Costa dos Santos,16,2,Nott'm Forest
507,Aina,Ola,Aina,16,2,Nott'm Forest
508,N.Williams,Neco,Williams,16,2,Nott'm Forest
509,David Carmo,David,Mota Veiga Teixeira do Carmo,16,2,Nott'm Forest
510,Jair Cunha,Jair,Paula da Cunha Filho,16,2,Nott'm Forest
511,Morato,Felipe,Rodrigues da Silva,16,2,Nott'm Forest
512,O.Richards,Omar,Richards,16,2,Nott'm Forest
513,Abbott,Zach,Abbott,16,2,Nott'm Forest
514,Boly,Willy,Boly,16,2,Nott'm Forest
515,Gibbs-White,Morgan,Gibbs-White,16,3,Nott'm Forest
516,Hudson-Odoi,Callum,Hudson-Odoi,16,3,Nott'm Forest
517,Anderson,Elliot,Anderson,16,3,Nott'm Forest
518,Jota,João Pedro,Ferreira da Silva,16,3,Nott'm Forest
519,Dominguez,Nicolás,Domínguez,16,3,Nott'm Forest
520,O'Brien,Lewis,O'Brien,16,3,Nott'm Forest
521,Sangaré,Ibrahim,Sangaré,16,3,Nott'm Forest
522,Yates,Ryan,Yates,16,3,Nott'm Forest
523,Da Silva Moreira,Eric,da Silva Moreira,16,3,Nott'm Forest
524,Stamenic,Marko,Stamenić,16,3,Nott'm Forest
525,Wood,Chris,Wood,16,4,Nott'm Forest
526,Igor Jesus,Igor Jesus,Maciel da Cruz,16,4,Nott'm Forest
527,Awoniyi,Taiwo,Awoniyi,16,4,Nott'm Forest
669,Ndoye,Dan,Ndoye,16,3,Nott'm Forest
675,Gunn,Angus,Gunn,16,1,Nott'm Forest
693,Hutchinson,Omari,Hutchinson,16,3,Nott'm Forest
696,Kalimuendo,Arnaud,Kalimuendo,16,4,Nott'm Forest
252,Marc Guiu,Marc,Guiu Paz,17,4,Sunderland
528,Patterson,Anthony,Patterson,17,1,Sunderland
529,Moore,Simon,Moore,17,1,Sunderland
530,Nna Noukeu,Blondy,Nna Noukeu,17,1,Sunderland
531,Ballard,Daniel,Ballard,17,2,Sunderland
532,Hume,Trai,Hume,17,2,Sunderland
533,Alese,Aji,Alese,17,2,Sunderland
534,Anderson,Joe,Anderson,17,2,Sunderland
535,Cirkin,Dennis,Cirkin,17,2,Sunderland
536,Hjelde,Leo Fuhr,Hjelde,17,2,Sunderland
537,Huggins,Niall,Huggins,17,2,Sunderland
538,Johnson,Zak,Johnson,17,2,Sunderland
539,O'Nien,Luke,O'Nien,17,2,Sunderland
540,Pembele,Timothée,Pembélé,17,2,Sunderland
541,Reinildo,Reinildo,Mandava,17,2,Sunderland
542,Seelt,Jenson,Seelt,17,2,Sunderland
543,Adingra,Simon,Adingra,17,3,Sunderland
544,Diarra,Habib,Diarra,17,3,Sunderland
545,Roberts,Patrick,Roberts,17,3,Sunderland
546,Aleksić,Milan,Aleksić,17,3,Sunderland
547,E.Le Fée,Enzo,Le Fée,17,3,Sunderland
548,Mundle,Romaine,Mundle,17,3,Sunderland
549,Neil,Dan,Neil,17,3,Sunderland
550,Poveda,Ian,Poveda-Ocampo,17,3,Sunderland
551,Rigg,Chris,Rigg,17,3,Sunderland
552,Sadiki,Noah,Sadiki,17,3,Sunderland
553,Talbi,Chemsdine,Talbi,17,3,Sunderland
554,Ba,Abdoullah,Ba,17,3,Sunderland
555,Browne,Alan,Browne,17,3,Sunderland
556,Ekwah,Pierre,Ekwah Elimby,17,3,Sunderland
557,H.Jones,Harrison,Jones,17,3,Sunderland
558,Matete,Jay,Matete,17,3,Sunderland
559,Triantis,Nectarios,Triantis,17,3,Sunderland
560,Isidor,Wilson,Isidor,17,4,Sunderland
561,Mayenda,Eliezer,Mayenda Dossou,17,4,Sunderland
562,Abdullahi,Ahmed,Abdullahi,17,4,Sunderland
563,Luís Hemir,Luís Hemir,Silva Semedo,17,4,Sunderland
564,Rusyn,Nazarii,Rusyn,17,4,Sunderland
668,Xhaka,Granit,Xhaka,17,3,Sunderland
670,Roefs,Robin,Roefs,17,1,Sunderland
678,Masuaku,Arthur,Masuaku,17,2,Sunderland
683,Alderete,Omar,Alderete,17,2,Sunderland
694,Mukiele,Nordi,Mukiele,17,2,Sunderland
565,Vicario,Guglielmo,Vicario,18,1,Spurs
566,Austin,Brandon,Austin,18,1,Spurs
567,Kinsky,Antonín,Kinský,18,1,Spurs
568,Pedro Porro,Pedro,Porro Sauceda,18,2,Spurs
569,Romero,Cristian,Romero,18,2,Spurs
570,Danso,Kevin,Danso,18,2,Spurs
571,Davies,Ben,Davies,18,2,Spurs
572,Dragusin,Radu,Drăgușin,18,2,Spurs
573,Spence,Djed,Spence,18,2,Spurs
574,Udogie,Destiny,Udogie,18,2,Spurs
575,Van de Ven,Micky,van de Ven,18,2,Spurs
576,Phillips,Ashley,Phillips,18,2,Spurs
577,Takai,Takai,Kōta,18,2,Spurs
578,Vuskovic,Luka,Vušković,18,2,Spurs
579,Son,Son,Heung-min,18,3,Spurs
580,Johnson,Brennan,Johnson,18,3,Spurs
581,Maddison,James,Maddison,18,3,Spurs
582,Kudus,Mohammed,Kudus,18,3,Spurs
583,Kulusevski,Dejan,Kulusevski,18,3,Spurs
584,Tel,Mathys,Tel,18,3,Spurs
585,Bentancur,Rodrigo,Bentancur,18,3,Spurs
586,Bergvall,Lucas,Bergvall,18,3,Spurs
587,Bissouma,Yves,Bissouma,18,3,Spurs
588,Odobert,Wilson,Odobert,18,3,Spurs
589,Solomon,Manor,Solomon,18,3,Spurs
590,Bryan,Bryan,Gil Salvatierra,18,3,Spurs
591,Gray,Archie,Gray,18,3,Spurs
592,Moore,Mikey,Moore,18,3,Spurs
593,P.M.Sarr,Pape Matar,Sarr,18,3,Spurs
594,Min-hyeok,Yang,Min-hyeok,18,3,Spurs
595,Olusesi,Callum,Olusesi,18,3,Spurs
596,Solanke,Dominic,Solanke-Mitchell,18,4,Spurs
597,Richarlison,Richarlison,de Andrade,18,4,Spurs
598,Lankshear,Will,Lankshear,18,4,Spurs
599,Scarlett,Dane,Scarlett,18,4,Spurs
673,J.Palhinha,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,18,3,Spurs
600,Areola,Alphonse,Areola,19,1,West Ham
601,Foderingham,Wes,Foderingham,19,1,West Ham
602,Hegyi,Krisztián,Hegyi,19,1,West Ham
603,Diouf,El Hadji Malick,Diouf,19,2,West Ham
604,Emerson,Emerson,Palmieri dos Santos,19,2,West Ham
605,Kilman,Maximilian,Kilman,19,2,West Ham
606,Mavropanos,Konstantinos,Mavropanos,19,2,West Ham
607,N.Aguerd,Nayef,Aguerd,19,2,West Ham
608,Scarles,Ollie,Scarles,19,2,West Ham
609,Todibo,Jean-Clair,Todibo,19,2,West Ham
610,Wan-Bissaka,Aaron,Wan-Bissaka,19,2,West Ham
611,Casey,Kaelan,Casey,19,2,West Ham
612,L.Paquetá,Lucas,Tolentino Coelho de Lima,19,3,West Ham
613,Souček,Tomáš,Souček,19,3,West Ham
614,Ward-Prowse,James,Ward-Prowse,19,3,West Ham
615,Summerville,Crysencio,Summerville,19,3,West Ham
616,Álvarez,Edson,Álvarez Velázquez,19,3,West Ham
617,Cornet,Maxwel,Cornet,19,3,West Ham
618,G.Rodriguez,Guido,Rodríguez,19,3,West Ham
619,L.Guilherme,Luis Guilherme,Lira dos Santos,19,3,West Ham
620,Earthy,George,Earthy,19,3,West Ham
621,Irving,Andy,Irving,19,3,West Ham
622,Orford,Lewis,Orford,19,3,West Ham
623,Potts,Freddie,Potts,19,3,West Ham
624,Bowen,Jarrod,Bowen,19,4,West Ham
625,Füllkrug,Niclas,Füllkrug,19,4,West Ham
626,Marshall,Callum,Marshall,19,4,West Ham
659,Walker-Peters,Kyle,Walker-Peters,19,2,West Ham
671,Wilson,Callum,Wilson,19,4,West Ham
679,Hermansen,Mads,Hermansen,19,1,West Ham
627,Johnstone,Sam,Johnstone,20,1,Wolves
628,José Sá,José,Malheiro de Sá,20,1,Wolves
629,Bentley,Daniel,Bentley,20,1,Wolves
631,Agbadou,Emmanuel,Agbadou,20,2,Wolves
632,Doherty,Matt,Doherty,20,2,Wolves
633,H.Bueno,Hugo,Bueno López,20,2,Wolves
634,Mosquera,Yerson,Mosquera Valdelamar,20,2,Wolves
635,R.Gomes,Rodrigo,Martins Gomes,20,2,Wolves
636,S.Bueno,Santiago,Ignacio Bueno,20,2,Wolves
637,Toti,Toti,Gomes,20,2,Wolves
638,Hoever,Ki-Jana,Hoever,20,2,Wolves
639,Meupiyou,Bastien,Meupiyou Menadjou,20,2,Wolves
640,Pedro Lima,Pedro,Cardoso de Lima,20,2,Wolves
641,Pond,Alfie,Pond,20,2,Wolves
642,Hee Chan,Hwang,Hee-chan,20,3,Wolves
643,André,André,Trindade da Costa Neto,20,3,Wolves
644,Bellegarde,Jean-Ricner,Bellegarde,20,3,Wolves
645,Fer López,Fer,López González,20,3,Wolves
646,Gomes,João Victor,Gomes da Silva,20,3,Wolves
647,Guedes,Gonçalo Manuel,Ganchinho Guedes,20,3,Wolves
648,Munetsi,Marshall,Munetsi,20,3,Wolves
649,B.Traore,Boubacar,Traoré,20,3,Wolves
650,Chirewa,Tawanda,Chirewa,20,3,Wolves
651,Edozie,Tom,Edozie,20,3,Wolves
652,Gonzalez,Enso,González Medina,20,3,Wolves
653,Hodge,Joe,Hodge,20,3,Wolves
654,Strand Larsen,Jørgen,Strand Larsen,20,4,Wolves
655,Fábio Silva,Fábio,Soares Silva,20,4,Wolves
656,Kalajdžić,Saša,Kalajdžić,20,4,Wolves
657,Chiwome,Leon,Chiwome,20,4,Wolves
658,Fraser,Nathan,Fraser,20,4,Wolves
663,J.Arias,Jhon,Arias,20,3,Wolves
682,Møller Wolfe,David,Møller Wolfe,20,2,Wolves
695,Tchatchoua,Jackson,Tchatchoua,20,2,Wolves
