element,web_name,name,first_name,second_name,position,team,team_name,team_short,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,price_m,selected_by_percent,status,chance_of_playing_next_round,apps,assists_per90,goals_scored_per90,last_updated_utc,points_per90,saves_per90,xa,xg,xgc,xgi
20,Trossard,Leandro Trossard,Leandro,Trossard,MID,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.3,a,100.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
21,Rice,Declan Rice,Declan,Rice,MID,,Arsenal,,82,6,0,1,1,0,0,0,0,0,0,0,0,14,2.6,1.3,8.0,1.2,0.13,0.01,0.14,1.04,6.5,8.3,a,,1,1.098,0.0,2025-08-22T01:26:46Z,6.59,0.0,0.01,0.13,1.04,0.14
22,Merino,Mikel Merino Zazón,Mikel,Merino Zazón,MID,,Arsenal,,7,1,0,0,0,0,0,0,0,0,0,0,0,2,1.2,0.0,0.0,0.1,0.0,0.0,0.0,0.49,6.0,0.6,a,,1,0.0,0.0,2025-08-22T01:26:46Z,12.86,0.0,0.0,0.0,0.49,0.0
23,Fábio Vieira,Fábio Ferreira Vieira,Fábio,Ferreira Vieira,MID,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
24,Nørgaard,Christian Nørgaard,Christian,Nørgaard,MID,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.5,d,75.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
25,Nwaneri,Ethan Nwaneri,Ethan,Nwaneri,MID,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.3,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
26,Zubimendi,Martín Zubimendi Ibáñez,Martín,Zubimendi Ibáñez,MID,,Arsenal,,90,5,0,0,1,0,0,0,0,0,0,0,0,15,16.0,1.9,2.0,2.0,0.0,0.01,0.01,1.52,5.5,2.3,a,,1,0.0,0.0,2025-08-22T01:26:46Z,5.0,0.0,0.01,0.0,1.52,0.01
27,Nelson,Reiss Nelson,Reiss,Nelson,MID,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
28,Kabia,Ismeal Kabia,Ismeal,Kabia,MID,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.3,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
29,Sambi,Albert Sambi Lokonga,Albert,Sambi Lokonga,MID,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
30,Havertz,Kai Havertz,Kai,Havertz,FWD,,Arsenal,,30,1,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.8,2.0,0.6,0.0,0.01,0.01,0.82,7.5,1.1,d,25.0,1,0.0,0.0,2025-08-22T01:26:46Z,3.0,0.0,0.01,0.0,0.82,0.01
31,G.Jesus,Gabriel Fernando de Jesus,Gabriel,Fernando de Jesus,FWD,,Arsenal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,i,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
32,Martinez,Emiliano Martínez Romero,Emiliano,Martínez Romero,GK,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.1,a,100.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
33,M.Bizot,Marco Bizot,Marco,Bizot,GK,,Aston Villa,,90,7,0,0,1,0,0,0,0,0,0,3,0,29,19.6,0.0,0.0,2.0,0.0,0.0,0.0,1.43,4.5,0.9,a,,1,0.0,0.0,2025-08-22T01:26:46Z,7.0,3.0,0.0,0.0,1.43,0.0
34,Gauci,Joe Gauci,Joe,Gauci,GK,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
35,Marschall,Filip Marschall,Filip,Marschall,GK,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
36,Cash,Matty Cash,Matty,Cash,DEF,,Aston Villa,,90,8,0,0,1,0,0,0,0,0,0,0,0,25,37.6,1.1,2.0,4.1,0.0,0.0,0.0,1.43,4.5,4.5,a,,1,0.0,0.0,2025-08-22T01:26:46Z,8.0,0.0,0.0,0.0,1.43,0.0
37,Digne,Lucas Digne,Lucas,Digne,DEF,,Aston Villa,,90,6,0,0,1,0,0,0,0,0,0,0,0,22,11.6,5.8,0.0,1.7,0.0,0.01,0.01,1.43,4.5,2.3,a,,1,0.0,0.0,2025-08-22T01:26:46Z,6.0,0.0,0.01,0.0,1.43,0.01
38,Konsa,Ezri Konsa Ngoyo,Ezri,Konsa Ngoyo,DEF,,Aston Villa,,65,3,0,0,1,0,0,0,0,0,1,0,0,15,1.8,1.1,0.0,0.3,0.0,0.01,0.01,1.11,4.5,17.0,s,0.0,1,0.0,0.0,2025-08-22T01:26:46Z,4.15,0.0,0.01,0.0,1.11,0.01
39,Maatsen,Ian Maatsen,Ian,Maatsen,DEF,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.8,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
40,Mings,Tyrone Mings,Tyrone,Mings,DEF,,Aston Villa,,90,6,0,0,1,0,0,0,0,0,0,0,0,25,13.0,3.7,0.0,1.7,0.0,0.0,0.0,1.43,4.5,1.3,a,,1,0.0,0.0,2025-08-22T01:26:46Z,6.0,0.0,0.0,0.0,1.43,0.0
41,Pau,Pau Torres,Pau,Torres,DEF,,Aston Villa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.5,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
