element,web_name,name,first_name,second_name,position,team,team_name,team_short,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,price_m,selected_by_percent,status,chance_of_playing_next_round,apps,assists_per90,goals_scored_per90,last_updated_utc,points_per90,saves_per90,xa,xg,xgc,xgi
86,Brooks,David Brooks,David,Brooks,MID,,Bournemouth,,83,4,0,1,0,2,0,0,0,1,0,0,0,23,27.2,40.3,18.0,8.6,0.19,0.19,0.38,1.9,5.0,0.2,a,,1,1.084,0.0,2025-08-22T01:26:46Z,4.34,0.0,0.19,0.19,1.9,0.38
87,Christie,Ryan Christie,Ryan,Christie,MID,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,i,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
88,Cook,Lewis Cook,Lewis,Cook,MID,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,s,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
89,Philip,Philip Billing,Philip,Billing,MID,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
90,Scott,Alex Scott,Alex,Scott,MID,,Bournemouth,,73,2,0,0,0,2,0,0,0,0,0,0,0,7,2.0,2.1,2.0,0.6,0.0,0.0,0.0,1.81,5.0,0.1,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.47,0.0,0.0,0.0,1.81,0.0
91,Sinisterra,Luis Sinisterra Lucumí,Luis,Sinisterra Lucumí,MID,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,d,25.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
92,Faivre,Romain Faivre,Romain,Faivre,MID,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
93,H.Traorè,Hamed Traorè,Hamed,Traorè,MID,,Bournemouth,,16,4,0,1,0,2,0,0,0,0,0,0,0,12,21.2,10.0,0.0,3.1,0.0,0.0,0.0,0.4,4.5,1.2,a,,1,5.625,0.0,2025-08-22T01:26:46Z,22.5,0.0,0.0,0.0,0.4,0.0
94,Sadi,Dominic Sadi,Dominic,Sadi,MID,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
95,Silcott-Duberry,Zain Silcott-Duberry,Zain,Silcott-Duberry,MID,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
96,Winterburn,Ben Winterburn,Ben,Winterburn,MID,,Bournemouth,,6,1,0,0,0,2,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,4.5,0.1,a,,1,0.0,0.0,2025-08-22T01:26:46Z,15.0,0.0,0.0,0.0,0.31,0.0
97,Evanilson,Francisco Evanilson de Lima Barbosa,Francisco Evanilson,de Lima Barbosa,FWD,,Bournemouth,,90,1,0,0,0,4,0,0,0,1,0,0,0,-1,0.0,0.6,17.0,1.6,0.29,0.0,0.29,2.21,7.0,2.4,a,,1,0.0,0.0,2025-08-22T01:26:46Z,1.0,0.0,0.0,0.29,2.21,0.29
98,Enes Ünal,Enes Ünal,Enes,Ünal,FWD,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,i,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
99,Adu-Adjei,Daniel Adu-Adjei,Daniel,Adu-Adjei,FWD,,Bournemouth,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.3,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
100,Kroupi.Jr,Eli Junior Kroupi,Eli Junior,Kroupi,FWD,,Bournemouth,,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,4.5,1.3,a,,1,0.0,0.0,2025-08-22T01:26:46Z,90.0,0.0,0.0,0.0,0.11,0.0
101,Kelleher,Caoimhín Kelleher,Caoimhín,Kelleher,GK,,Brentford,,90,1,0,0,0,3,0,0,0,0,0,2,0,4,11.8,0.0,0.0,1.2,0.0,0.0,0.0,1.86,4.5,10.4,a,100.0,1,0.0,0.0,2025-08-22T01:26:46Z,1.0,2.0,0.0,0.0,1.86,0.0
102,Balcombe,Ellery Balcombe,Ellery,Balcombe,GK,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
103,Cox,Matthew Cox,Matthew,Cox,GK,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
104,Eyestone,Julian Eyestone,Julian,Eyestone,GK,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
105,Valdimarsson,Hákon Rafn Valdimarsson,Hákon Rafn,Valdimarsson,GK,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
106,Collins,Nathan Collins,Nathan,Collins,DEF,,Brentford,,90,0,0,0,0,3,0,0,0,1,0,0,0,0,9.8,0.2,5.0,1.5,0.02,0.0,0.02,1.86,5.0,1.6,a,,1,0.0,0.0,2025-08-22T01:26:46Z,0.0,0.0,0.0,0.02,1.86,0.02
107,Lewis-Potter,Keane Lewis-Potter,Keane,Lewis-Potter,DEF,,Brentford,,68,1,0,0,0,3,0,0,0,0,0,0,0,-8,5.4,4.5,7.0,1.7,0.12,0.0,0.12,1.86,5.0,0.4,a,,1,0.0,0.0,2025-08-22T01:26:46Z,1.32,0.0,0.0,0.12,1.86,0.12
108,Ajer,Kristoffer Ajer,Kristoffer,Ajer,DEF,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
109,Henry,Rico Henry,Rico,Henry,DEF,,Brentford,,87,1,0,0,0,3,0,0,0,0,0,0,0,1,8.6,11.5,6.0,2.6,0.0,0.04,0.04,1.86,4.5,0.2,a,,1,0.0,0.0,2025-08-22T01:26:46Z,1.03,0.0,0.04,0.0,1.86,0.04
110,Kayode,Michael Kayode,Michael,Kayode,DEF,,Brentford,,90,1,0,0,0,3,0,0,0,0,0,0,0,3,17.8,20.5,0.0,3.8,0.0,0.08,0.08,1.86,4.5,0.2,a,,1,0.0,0.0,2025-08-22T01:26:46Z,1.0,0.0,0.08,0.0,1.86,0.08
111,Pinnock,Ethan Pinnock,Ethan,Pinnock,DEF,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.2,d,75.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
112,Roerslev,Mads Roerslev Rasmussen,Mads,Roerslev Rasmussen,DEF,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
113,Van den Berg,Sepp van den Berg,Sepp,van den Berg,DEF,,Brentford,,90,3,0,0,0,3,0,0,0,0,0,0,0,6,34.4,0.6,24.0,5.9,0.21,0.0,0.21,1.86,4.5,0.4,a,,1,0.0,0.0,2025-08-22T01:26:46Z,3.0,0.0,0.0,0.21,1.86,0.21
114,Arthur,Benjamin Arthur,Benjamin,Arthur,DEF,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
115,Fredrick,Benjamin Fredrick,Benjamin,Fredrick,DEF,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
116,Hickey,Aaron Hickey,Aaron,Hickey,DEF,,Brentford,,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4.0,0.5,a,,1,0.0,0.0,2025-08-22T01:26:46Z,0.0,0.0,0.0,0.0,0.0,0.0
117,Ji-soo,Kim Ji-soo,Kim,Ji-soo,DEF,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
118,Meghoma,Jayden Meghoma,Jayden,Meghoma,DEF,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.1,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
119,Mbeumo,Bryan Mbeumo,Bryan,Mbeumo,MID,,Man Utd,,90,2,0,0,0,1,0,0,0,0,0,0,0,17,10.6,21.4,49.0,8.1,0.42,0.05,0.47,1.31,8.0,14.2,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.05,0.42,1.31,0.47
120,Schade,Kevin Schade,Kevin,Schade,MID,,Brentford,,45,1,0,0,0,0,0,0,0,0,0,0,0,1,4.6,0.9,6.0,1.2,0.0,0.04,0.04,0.37,7.0,0.3,a,100.0,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.04,0.0,0.37,0.04
121,Damsgaard,Mikkel Damsgaard,Mikkel,Damsgaard,MID,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.9,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
122,Milambo,Antoni Milambo,Antoni,Milambo,MID,,Brentford,,45,1,0,0,0,3,0,0,0,0,0,0,0,5,4.0,1.8,0.0,0.6,0.0,0.01,0.01,1.49,5.5,0.1,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.01,0.0,1.49,0.01
123,Carvalho,Fábio Freitas Gouveia Carvalho,Fábio,Freitas Gouveia Carvalho,MID,,Brentford,,90,2,0,0,0,3,0,0,0,0,0,0,0,7,5.4,5.0,3.0,1.3,0.03,0.03,0.06,1.86,5.0,0.3,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.03,0.03,1.86,0.06
124,Henderson,Jordan Henderson,Jordan,Henderson,MID,,Brentford,,21,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.1,0.0,0.1,0.0,0.0,0.0,0.0,5.0,0.3,a,,1,0.0,0.0,2025-08-22T01:26:46Z,4.29,0.0,0.0,0.0,0.0,0.0
125,Janelt,Vitaly Janelt,Vitaly,Janelt,MID,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,i,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
126,Jensen,Mathias Jensen,Mathias,Jensen,MID,,Brentford,,68,2,0,0,0,3,0,0,0,0,0,0,0,10,9.0,25.4,8.0,4.2,0.13,0.03,0.16,1.86,5.0,0.1,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.65,0.0,0.03,0.13,1.86,0.16
127,Nunes,Gustavo Nunes Fernandes Gomes,Gustavo,Nunes Fernandes Gomes,MID,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,i,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
128,Onyeka,Frank Onyeka,Frank,Onyeka,MID,,Brentford,,21,4,0,1,0,0,0,0,0,0,0,0,0,9,0.0,0.1,2.0,0.1,0.0,0.0,0.0,0.0,5.0,0.1,a,,1,4.286,0.0,2025-08-22T01:26:46Z,17.14,0.0,0.0,0.0,0.0,0.0
129,Yarmoliuk,Yehor Yarmoliuk,Yehor,Yarmoliuk,MID,,Brentford,,90,2,0,0,0,3,0,0,0,0,0,0,0,10,3.6,10.8,7.0,2.1,0.08,0.01,0.09,1.86,5.0,0.0,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.01,0.08,1.86,0.09
130,Donovan,Romelle Donovan,Romelle,Donovan,MID,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
131,Konak,Yunus Emre Konak,Yunus Emre,Konak,MID,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
132,Maghoma,Paris Maghoma,Paris,Maghoma,MID,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,i,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
133,Peart-Harris,Myles Peart-Harris,Myles,Peart-Harris,MID,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
134,Trevitt,Ryan Trevitt,Ryan,Trevitt,MID,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
135,Wissa,Yoane Wissa,Yoane,Wissa,FWD,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,1.8,n,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
136,Thiago,Igor Thiago Nascimento Rodrigues,Igor Thiago,Nascimento Rodrigues,FWD,,Brentford,,90,6,1,0,0,3,0,0,0,0,0,0,0,17,36.4,10.7,22.0,6.9,0.91,0.01,0.92,1.86,6.0,1.0,a,,1,0.0,1.0,2025-08-22T01:26:46Z,6.0,0.0,0.01,0.91,1.86,0.92
137,Morgan,Iwan Morgan,Iwan,Morgan,FWD,,Brentford,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.5,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
138,Steele,Jason Steele,Jason,Steele,GK,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.5,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
139,Verbruggen,Bart Verbruggen,Bart,Verbruggen,GK,,Brighton,,90,2,0,0,0,1,0,0,0,0,0,1,0,9,14.4,0.0,0.0,1.4,0.0,0.0,0.0,0.76,4.5,7.4,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,1.0,0.0,0.0,0.76,0.0
140,McGill,Tom McGill,Tom,McGill,GK,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.4,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
141,Rushworth,Carl Rushworth,Carl,Rushworth,GK,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
142,Scherpen,Kjell Scherpen,Kjell,Scherpen,GK,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
143,Boscagli,Olivier Boscagli,Olivier,Boscagli,DEF,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
144,Coppola,Diego Coppola,Diego,Coppola,DEF,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
145,De Cuyper,Maxim De Cuyper,Maxim,De Cuyper,DEF,,Brighton,,90,2,0,0,0,1,0,0,0,0,0,0,0,8,15.0,26.7,4.0,4.6,0.0,0.09,0.09,0.76,4.5,6.1,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.09,0.0,0.76,0.09
146,Dunk,Lewis Dunk,Lewis,Dunk,DEF,,Brighton,,90,2,0,0,0,1,0,0,0,0,0,0,0,16,16.6,1.8,7.0,2.5,0.09,0.0,0.09,0.76,4.5,1.3,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.0,0.09,0.76,0.09
147,Estupiñan,Pervis Estupiñán Tenorio,Pervis,Estupiñán Tenorio,DEF,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
148,F.Kadıoğlu,Ferdi Kadıoğlu,Ferdi,Kadıoğlu,DEF,,Brighton,,21,0,0,0,0,1,0,0,0,1,0,0,0,-5,0.0,1.3,0.0,0.1,0.0,0.0,0.0,0.24,4.5,0.2,a,,1,0.0,0.0,2025-08-22T01:26:46Z,0.0,0.0,0.0,0.0,0.24,0.0
149,Igor,Igor Julio dos Santos de Paulo,Igor Julio,dos Santos de Paulo,DEF,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.1,a,100.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
150,Lamptey,Tariq Lamptey,Tariq,Lamptey,DEF,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.4,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
151,Van Hecke,Jan Paul van Hecke,Jan Paul,van Hecke,DEF,,Brighton,,90,2,0,0,0,1,0,0,0,0,0,0,0,15,28.0,1.3,0.0,2.9,0.0,0.13,0.13,0.76,4.5,1.2,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.0,0.0,0.13,0.0,0.76,0.13
152,Veltman,Joël Veltman,Joël,Veltman,DEF,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
153,Webster,Adam Webster,Adam,Webster,DEF,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,i,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
154,Cashin,Eiran Cashin,Eiran,Cashin,DEF,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
155,Slater,Jacob Slater,Jacob,Slater,DEF,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
156,Tasker,Charlie Tasker,Charlie,Tasker,DEF,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
157,Mitoma,Mitoma Kaoru,Mitoma,Kaoru,MID,,Brighton,,82,2,0,0,1,0,0,0,0,1,0,0,0,-2,0.0,2.4,8.0,0.6,0.07,0.04,0.11,0.52,6.5,6.4,a,,1,0.0,0.0,2025-08-22T01:26:46Z,2.2,0.0,0.04,0.07,0.52,0.11
158,Georginio,Georginio Rutter,Georginio,Rutter,MID,,Brighton,,68,6,0,1,1,0,0,0,0,0,0,0,0,15,2.2,1.2,15.0,1.8,0.07,0.0,0.07,0.52,6.0,1.4,a,,1,1.324,0.0,2025-08-22T01:26:46Z,7.94,0.0,0.0,0.07,0.52,0.07
159,March,Solly March,Solly,March,MID,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,i,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
160,Minteh,Yankuba Minteh,Yankuba,Minteh,MID,,Brighton,,68,3,0,0,1,0,0,0,0,0,0,0,0,7,0.4,2.9,12.0,1.5,0.09,0.02,0.11,0.52,6.0,1.1,a,,1,0.0,0.0,2025-08-22T01:26:46Z,3.97,0.0,0.02,0.09,0.52,0.11
161,Enciso,Julio Enciso Espínola,Julio,Enciso Espínola,MID,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,i,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
162,Gruda,Brajan Gruda,Brajan,Gruda,MID,,Brighton,,7,1,0,0,0,1,0,0,0,0,0,0,0,-2,0.2,0.3,4.0,0.5,0.31,0.0,0.31,0.24,5.5,0.0,a,,1,0.0,0.0,2025-08-22T01:26:46Z,12.86,0.0,0.0,0.31,0.24,0.31
163,Hinshelwood,Jack Hinshelwood,Jack,Hinshelwood,MID,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.1,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
164,O'Riley,Matt O'Riley,Matt,O'Riley,MID,,Brighton,,87,10,1,0,1,0,0,0,0,0,0,0,2,24,45.8,44.3,25.0,11.5,0.79,0.14,0.93,0.52,5.5,1.6,a,,1,0.0,1.034,2025-08-22T01:26:46Z,10.34,0.0,0.14,0.79,0.52,0.93
165,Sima,Abdallah Sima,Abdallah,Sima,MID,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
166,Ayari,Yasin Ayari,Yasin,Ayari,MID,,Brighton,,90,3,0,0,0,1,0,0,0,0,0,0,1,20,7.2,3.2,2.0,1.2,0.0,0.12,0.12,0.76,5.0,0.2,a,,1,0.0,0.0,2025-08-22T01:26:46Z,3.0,0.0,0.12,0.0,0.76,0.12
167,Baleba,Carlos Baleba,Carlos,Baleba,MID,,Brighton,,68,3,0,0,1,0,0,0,0,0,0,0,0,10,4.0,11.9,1.0,1.7,0.02,0.01,0.03,0.52,5.0,4.6,a,,1,0.0,0.0,2025-08-22T01:26:46Z,3.97,0.0,0.01,0.02,0.52,0.03
168,Buonanotte,Facundo Buonanotte,Facundo,Buonanotte,MID,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.2,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
169,Gomez,Diego Gómez Amarilla,Diego,Gómez Amarilla,MID,,Brighton,,21,0,0,0,0,1,0,0,0,1,0,0,0,7,7.6,11.3,7.0,2.6,0.03,0.03,0.06,0.24,5.0,0.1,a,,1,0.0,0.0,2025-08-22T01:26:46Z,0.0,0.0,0.03,0.03,0.24,0.06
170,Milner,James Milner,James,Milner,MID,,Brighton,,2,1,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.24,5.0,0.1,a,,1,0.0,0.0,2025-08-22T01:26:46Z,45.0,0.0,0.0,0.0,0.24,0.0
171,Sarmiento,Jeremy Sarmiento Morante,Jeremy,Sarmiento Morante,MID,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,a,,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
172,Watson,Tom Watson,Tom,Watson,MID,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,a,100.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
173,Wieffer,Mats Wieffer,Mats,Wieffer,MID,,Brighton,,90,4,0,0,0,1,0,0,0,0,0,0,0,17,24.8,2.8,21.0,4.9,0.02,0.02,0.04,0.76,5.0,0.1,a,,1,0.0,0.0,2025-08-22T01:26:46Z,4.0,0.0,0.02,0.02,0.76,0.04
174,Yalcouye,Malick Yalcouyé,Malick,Yalcouyé,MID,,Brighton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,u,0.0,0,,,2025-08-22T01:26:46Z,,,0.0,0.0,0.0,0.0
