element,web_name_x,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type,fixture,opponent_team_x,kickoff_time_x,web_name_y,name,opponent_team_y,kickoff_time_y,kickoff_time
1,Raya,Arsenal,GK,1,90,10,0,0,1,0,0,0,0,1,0,7,3,38,49.2,0.0,0.0,4.9,1,13,0,0,1,0.0,0.0,0.0,1.52,True,1,1,9,14,2025-08-17T15:30:00Z,Raya,David Raya Martín,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
2,Arrizabalaga,Arsenal,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,1,9,14,2025-08-17T15:30:00Z,Arrizabalaga,Kepa Arrizabalaga Revuelta,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
3,Hein,Arsenal,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,1,9,14,2025-08-17T15:30:00Z,Hein,Karl Hein,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
4,Setford,Arsenal,GK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,1,9,14,2025-08-17T15:30:00Z,Setford,Tommy Setford,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
5,Gabriel,Arsenal,DEF,1,90,6,0,0,1,0,0,0,0,0,0,0,0,23,22.8,0.3,4.0,2.7,6,1,1,7,1,0.0,0.0,0.0,1.52,False,1,2,9,14,2025-08-17T15:30:00Z,Gabriel,Gabriel dos Santos Magalhães,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
6,Saliba,Arsenal,DEF,1,90,9,0,0,1,0,0,0,0,0,0,0,1,25,31.4,0.1,0.0,3.2,10,3,4,14,1,0.0,0.0,0.0,1.52,False,1,2,9,14,2025-08-17T15:30:00Z,Saliba,William Saliba,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
7,Calafiori,Arsenal,DEF,1,71,13,1,0,1,0,0,0,0,1,0,0,2,33,36.2,2.1,35.0,7.3,3,5,1,4,1,0.91,0.01,0.92,0.87,True,1,2,9,14,2025-08-17T15:30:00Z,Calafiori,Riccardo Calafiori,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
8,J.Timber,Arsenal,DEF,1,19,0,0,0,0,0,0,0,0,1,0,0,0,-3,3.0,0.3,0.0,0.3,1,1,2,3,0,0.0,0.0,0.0,0.66,False,1,2,9,14,2025-08-17T15:30:00Z,J.Timber,Jurriën Timber,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
9,Kiwior,Arsenal,DEF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,1,2,9,14,2025-08-17T15:30:00Z,Kiwior,Jakub Kiwior,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
10,Lewis-Skelly,Arsenal,DEF,1,18,0,0,0,0,0,0,0,0,1,0,0,0,-1,0.2,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,0.66,False,1,2,9,14,2025-08-17T15:30:00Z,Lewis-Skelly,Myles Lewis-Skelly,14,2025-08-17T15:30:00Z,2025-08-17T15:30:00Z
