id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,58,0,3,19520,2752,30.9,a,,,900,52,0.0,0.04,0.04
2,Arrizabalaga,1,1,42,0,-3,42,234,0.5,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,170,0.3,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,32,160,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,65,0,5,68403,481,39.9,a,100.0,,900,80,0.82,0.66,1.48
6,Saliba,1,2,60,0,0,2343,5955,11.6,a,75.0,,634,38,0.13,0.2,0.33
7,Calafiori,1,2,58,0,3,7986,8465,16.0,a,,,766,60,2.01,0.2,2.21
8,J.Timber,1,2,61,0,6,16469,7462,25.0,a,,,791,66,2.08,0.61,2.69
9,Kiwior,1,2,54,0,-1,0,13,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,52,0,-3,162,1021,1.7,a,,,86,6,0.0,0.0,0.0
11,White,1,2,53,-1,-2,84,382,0.4,a,100.0,,70,6,0.01,0.01,0.02
13,Clarke,1,2,39,0,-1,60,312,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,84,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,0,-1,15,138,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,101,0,1,5325,16628,17.4,a,100.0,,591,33,1.89,2.07,3.96
17,Ødegaard,1,3,78,-1,-2,14,589,1.4,i,0.0,Knee injury - Expected back 23 Nov,201,13,0.14,0.81,0.95
18,Madueke,1,3,68,0,-2,6,324,0.6,i,0.0,Knee injury - Expected back 23 Nov,304,10,0.29,0.86,1.15
19,Martinelli,1,3,69,0,-1,11,2360,1.0,d,25.0,Knock - 25% chance of playing,214,16,0.75,0.08,0.83
20,Trossard,1,3,69,0,-1,1367,271,0.5,a,100.0,,552,31,1.87,0.84,2.71
21,Rice,1,3,67,0,2,65211,1198,15.1,a,100.0,,803,63,1.11,2.18,3.29
22,Merino,1,3,59,0,-1,183,977,0.5,a,,,323,18,0.34,0.18,0.52
23,Fábio Vieira,1,3,54,0,-1,0,5,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,52,0,-3,19,74,0.1,a,100.0,,14,2,0.05,0.0,0.05
25,Nwaneri,1,3,52,0,-3,49,100,0.1,a,,,163,7,0.23,0.08,0.31
26,Zubimendi,1,3,55,0,0,718,10810,3.7,d,,Muscle injury - 75% chance of playing,847,43,0.26,0.91,1.17
28,Kabia,1,3,45,0,0,0,64,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,22,0.1,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,6,73,0.3,i,0.0,Knee injury - Expected back 23 Nov,30,1,0.0,0.01,0.01
31,G.Jesus,1,4,64,0,-1,8,22,0.0,i,0.0,Knee injury - Expected back 30 Dec,0,0,0.0,0.0,0.0
266,Eze,1,3,76,0,1,5388,13645,14.3,a,,,613,39,1.56,0.9,2.46
662,Mosquera,1,2,54,0,-1,24,283,0.2,a,,,292,13,0.0,0.09,0.09
666,Gyökeres,1,4,90,0,0,6339,27527,21.1,d,,Muscle injury - 75% chance of playing,801,37,4.45,0.66,5.11
700,Dowman,1,3,43,-1,-2,227,526,0.3,a,,,27,5,0.14,0.02,0.16
711,Harriman-Annous,1,3,45,0,0,4,6,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,54,0,-1,30,30,0.0,a,100.0,,26,2,0.0,0.0,0.0
32,Martinez,2,1,50,0,0,749,648,2.0,a,100.0,,720,26,0.0,0.03,0.03
33,M.Bizot,2,1,43,0,-2,24,258,0.5,a,,,180,7,0.0,0.0,0.0
34,Gauci,2,1,40,0,0,0,39,0.1,u,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0.0,0.0,0.0
35,Marschall,2,1,40,0,0,0,1,0.0,u,0.0,Has joined Stevenage permanently.,0,0,0.0,0.0,0.0
36,Cash,2,2,46,0,1,4496,1981,5.2,a,,,876,46,0.21,0.7,0.91
37,Digne,2,2,45,0,0,385,531,1.6,a,100.0,,727,33,0.27,1.21,1.48
38,Konsa,2,2,44,0,-1,767,3106,8.6,a,100.0,,785,27,0.04,0.1,0.14
39,Maatsen,2,2,43,0,-2,47,174,0.5,a,,,169,6,0.15,0.21,0.36
40,Mings,2,2,44,0,-1,52,658,0.9,d,100.0,Hamstring injury - 25% chance of playing,497,24,0.33,0.09,0.42
41,Pau,2,2,43,0,-2,225,121,0.3,a,,,507,19,0.1,0.17,0.27
42,A.García,2,2,39,0,-1,25,200,0.3,i,0.0,Knock - Unknown return date,0,0,0.0,0.0,0.0
43,Alex Moreno,2,2,40,0,0,0,1162,2.4,u,0.0,Has joined Girona permanently.,0,0,0.0,0.0,0.0
44,Bogarde,2,2,40,0,0,108,478,0.7,a,,,282,15,0.0,0.08,0.08
45,Sousa,2,2,40,0,0,47,100,0.3,a,,,0,0,0.0,0.0,0.0
46,Yasin,2,2,40,0,0,0,71,0.1,u,0.0,has joined Anderlecht on loan for the rest of the season.,0,0,0.0,0.0,0.0
47,Rogers,2,3,68,0,-2,3189,2533,4.8,a,100.0,,891,33,0.6,0.81,1.41
48,Tielemans,2,3,59,0,-1,2,262,0.6,i,0.0,Calf injury - Expected back 09 Nov,315,8,0.13,0.37,0.5
49,Bailey,2,3,55,0,0,0,23,0.1,u,0.0,Has joined AS Roma on loan for the rest of the season.,0,0,0.0,0.0,0.0
50,Buendía,2,3,53,0,-2,30,792,0.2,i,0.0,Foot injury - Expected back 09 Nov,365,28,0.78,0.64,1.42
51,Iling Jr,2,3,55,0,0,0,6,0.0,u,0.0,has joined West Bromwich Albion on loan for the rest of the season,0,0,0.0,0.0,0.0
53,Malen,2,3,51,0,-4,669,742,0.7,a,,,323,26,0.88,0.13,1.01
54,McGinn,2,3,54,0,-1,396,453,0.6,a,,,767,27,0.91,1.1,2.01
55,Barkley,2,3,48,0,-2,36,9,0.0,a,100.0,,61,4,0.22,0.02,0.24
56,Barrenechea,2,3,50,0,0,0,0,0.0,u,0.0,Season-long loan to Benfica,0,0,0.0,0.0,0.0
57,Dobbin,2,3,50,0,0,0,5,0.0,u,0.0,Has joined Preston North End on loan for the rest of the season.,0,0,0.0,0.0,0.0
58,Kamara,2,3,49,0,-1,117,111,0.2,a,100.0,,564,21,0.07,0.38,0.44
59,Onana,2,3,48,0,-2,414,168,0.6,a,100.0,,415,15,0.23,0.11,0.34
60,Broggio,2,3,45,0,0,113,174,0.3,a,,,0,0,0.0,0.0,0.0
61,Dendoncker,2,3,45,0,0,0,24,0.1,u,0.0,Has joined Real Oviedo permanently.,0,0,0.0,0.0,0.0
62,Jimoh-Aloba,2,3,45,0,0,28,32,0.1,a,,,0,0,0.0,0.0,0.0
63,Young,2,3,44,0,-1,162,347,0.6,a,,,0,0,0.0,0.0,0.0
64,Watkins,2,4,85,0,-5,1247,3055,6.6,a,100.0,,786,25,1.89,0.31,2.2
65,Redmond,2,4,45,0,0,0,156,0.4,u,0.0,has joined Huddersfield Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
389,Elliott,2,3,54,0,-1,36,451,0.3,a,0.0,,97,4,0.19,0.06,0.25
456,Sancho,2,3,58,0,-2,113,99,0.2,a,100.0,,68,3,0.31,0.1,0.41
677,Guessand,2,3,63,0,-2,33,26,0.0,a,,,416,13,0.38,0.31,0.69
688,Wright,2,1,40,0,0,20,90,0.5,a,,,0,0,0.0,0.0,0.0
701,Rowe,2,2,40,0,0,0,37,0.1,u,0.0,has joined Annecy on loan for the rest of the season.,0,0,0.0,0.0,0.0
702,Burrowes,2,3,45,0,0,10,34,0.1,a,,,16,1,0.0,0.0,0.0
703,Proctor,2,1,40,0,0,9,45,0.2,a,,,0,0,0.0,0.0,0.0
710,Patterson,2,2,39,0,-1,557,183,0.2,a,,,0,0,0.0,0.0,0.0
719,Lindelöf,2,2,45,0,0,17,25,0.0,a,100.0,,21,3,0.0,0.0,0.0
