id,web_name,team,position,now_cost,ownership,NTI_1h,NTI_24h,momentum,status,price_freeze,forecast,risk_up,risk_down,eta_window
1,Raya,1,1,55,24.4,24954.0,24954.0,up,a,0,stable,0.0,0.0,48h+
2,Arrizabalaga,1,1,44,0.6,-330.0,-330.0,down,a,0,stable,0.0,0.0,48h+
3,Hein,1,1,40,0.4,-286.0,-286.0,down,u,1,stable,0.0,0.0,48h+
4,Setford,1,1,40,0.2,31.0,31.0,up,a,0,stable,0.0,0.0,48h+
5,Gabriel,1,2,61,22.8,22340.0,22340.0,up,a,0,stable,0.0,0.0,48h+
6,Saliba,1,2,60,12.5,-1715.0,-1715.0,down,a,0,stable,0.0,0.0,48h+
7,Calafiori,1,2,57,14.2,5499.0,5499.0,up,a,0,stable,0.0,0.0,48h+
8,J.Timber,1,2,58,13.5,6403.0,6403.0,up,a,0,stable,0.0,0.0,48h+
9,Kiwior,1,2,54,0.1,-63.0,-63.0,down,u,1,stable,0.0,0.0,48h+
10,Lewis-Skelly,1,2,53,2.1,-2101.0,-2101.0,down,a,0,stable,0.0,0.0,48h+
11,White,1,2,54,0.5,-204.0,-204.0,down,a,1,stable,0.0,0.0,48h+
13,Clarke,1,2,40,0.5,-92.0,-92.0,down,a,0,stable,0.0,0.0,48h+
14,Kacurri,1,2,39,0.2,-521.0,-521.0,down,u,0,stable,0.0,0.0,48h+
15,Nichols,1,2,39,0.2,564.0,564.0,up,a,0,stable,0.0,0.0,48h+
16,Saka,1,3,98,4.0,19001.0,19001.0,up,a,1,stable,0.0,0.0,48h+
17,Ødegaard,1,3,79,1.9,-3168.0,-3168.0,down,d,1,stable,0.0,0.0,48h+
18,Madueke,1,3,70,1.5,-11190.0,-11190.0,down,d,1,stable,0.0,0.0,48h+
19,Martinelli,1,3,69,1.1,1915.0,1915.0,up,a,0,stable,0.0,0.0,48h+
20,Trossard,1,3,69,0.3,12.0,12.0,up,a,0,stable,0.0,0.0,48h+
21,Rice,1,3,65,8.3,-5903.0,-5903.0,down,a,0,stable,0.0,0.0,48h+
22,Merino,1,3,59,0.5,-160.0,-160.0,down,a,0,stable,0.0,0.0,48h+
23,Fábio Vieira,1,3,54,0.0,-29.0,-29.0,down,u,1,stable,0.0,0.0,48h+
