id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,59,0,4,38920,45973,33.2,a,,,2070,93,0.0,0.05,0.05
2,Arrizabalaga,1,1,41,0,-4,174,293,0.4,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,98,0.2,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,39,0,-1,146,430,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,69,0,9,115491,12385,37.4,a,100.0,,1445,121,1.7,0.78,2.48
6,Saliba,1,2,60,0,0,23958,13486,12.3,d,100.0,Knock - 75% chance of playing,1534,70,0.38,0.55,0.93
7,Calafiori,1,2,56,0,1,1195,10729,6.1,d,75.0,Lack of match fitness - 75% chance of playing,1256,77,2.49,0.36,2.85
8,J.Timber,1,2,63,0,8,60950,58665,28.2,d,100.0,Knock - 75% chance of playing,1819,110,4.16,0.88,5.04
9,Kiwior,1,2,54,0,-1,0,6,0.0,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,51,0,-4,515,1545,1.5,a,,,311,12,0.05,0.06,0.11
11,White,1,2,51,0,-4,1257,1537,0.6,a,100.0,,409,30,0.43,0.49,0.92
13,Clarke,1,2,38,0,-2,234,593,0.4,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,29,0.1,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,38,0,-2,62,173,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,100,-1,0,20885,141726,16.7,a,100.0,,1543,101,5.58,5.11,10.69
17,Ødegaard,1,3,78,0,-2,4740,10463,2.3,a,100.0,,983,53,0.97,2.61,3.58
18,Madueke,1,3,68,0,-2,480,875,0.6,a,100.0,,576,22,0.6,1.61,2.21
19,Martinelli,1,3,68,0,-2,1047,1469,0.9,a,100.0,,545,29,2.57,0.23,2.8
20,Trossard,1,3,68,-1,-2,6243,12254,1.5,a,100.0,,1247,83,4.24,2.06,6.3
21,Rice,1,3,74,0,9,127489,73314,31.5,a,100.0,,1875,126,2.89,4.69,7.58
22,Merino,1,3,55,0,-5,3724,6319,1.4,a,,,996,66,2.99,1.45,4.44
23,Fábio Vieira,1,3,54,0,-1,0,5,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,51,0,-4,107,117,0.1,a,100.0,,31,3,0.05,0.0,0.05
25,Nwaneri,1,3,50,0,-5,0,351,0.1,u,0.0,has joined Marseille on loan for the rest of the season.,165,8,0.23,0.08,0.31
26,Zubimendi,1,3,52,0,-3,5300,5867,2.2,a,100.0,,1905,81,2.18,1.47,3.65
28,Kabia,1,3,45,0,0,0,27,0.1,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,14,0.1,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,439,427,0.3,a,100.0,,30,1,0.0,0.01,0.01
31,G.Jesus,1,4,64,0,-1,12340,3069,0.4,a,100.0,,206,11,1.0,0.15,1.15
266,Eze,1,3,73,0,-2,2055,22053,8.3,a,,,1046,68,2.54,1.67,4.21
662,Mosquera,1,2,53,0,-2,220,111,0.1,a,100.0,,429,17,0.0,0.43,0.43
666,Gyökeres,1,4,87,0,-3,7479,10186,9.3,a,100.0,,1377,56,6.4,0.9,7.3
700,Dowman,1,3,42,0,-3,2398,1520,0.3,i,0.0,Ankle injury - Unknown return date,27,5,0.14,0.02,0.16
711,Harriman-Annous,1,3,44,0,-1,11,17,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,51,-1,-4,831,6254,0.7,a,75.0,,946,35,0.0,0.75,0.75
759,Salmon,1,2,40,0,0,28,35,0.0,a,,,0,0,0.0,0.0,0.0
