id,web_name,team,element_type,now_cost,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,selected_by_percent,status,chance_of_playing_this_round,news,minutes,total_points,expected_goals,expected_assists,expected_goal_involvements
1,Raya,1,1,56,0,1,83298,30180,25.8,a,,,540,28,0.0,0.04,0.04
2,Arrizabalaga,1,1,43,0,-2,229,1546,0.6,a,,,0,0,0.0,0.0,0.0
3,Hein,1,1,40,0,0,0,1151,0.4,u,0.0,Has joined Werder Bremen on loan for the rest of the season.,0,0,0.0,0.0,0.0
4,Setford,1,1,40,0,0,385,805,0.2,a,,,0,0,0.0,0.0,0.0
5,Gabriel,1,2,62,1,2,203466,19031,25.3,a,,,540,38,0.48,0.06,0.54
6,Saliba,1,2,60,0,0,22937,29151,12.4,a,100.0,,319,19,0.13,0.1,0.23
7,Calafiori,1,2,57,0,2,46517,43084,14.6,a,,,450,36,1.67,0.13,1.8
8,J.Timber,1,2,58,0,3,84300,32418,14.5,a,,,431,37,1.73,0.38,2.11
9,Kiwior,1,2,54,0,-1,0,172,0.1,u,0.0,has joined Porto on loan for the rest of the season.,0,0,0.0,0.0,0.0
10,Lewis-Skelly,1,2,53,0,-2,1387,7699,2.0,a,,,68,3,0.0,0.0,0.0
11,White,1,2,54,0,-1,810,1265,0.5,a,100.0,,70,6,0.01,0.01,0.02
13,Clarke,1,2,40,0,0,769,1687,0.5,a,,,0,0,0.0,0.0,0.0
14,Kacurri,1,2,39,0,-1,0,1177,0.2,u,0.0,has joined Morecambe on loan for the rest of the season.,0,0,0.0,0.0,0.0
15,Nichols,1,2,39,0,-1,1738,811,0.2,a,,,0,0,0.0,0.0,0.0
16,Saka,1,3,98,0,-2,102610,11375,5.8,a,100.0,,256,12,0.38,0.34,0.72
17,Ødegaard,1,3,79,0,-1,3305,4742,1.8,a,75.0,,172,12,0.14,0.6,0.74
18,Madueke,1,3,70,0,0,129,16619,1.0,i,0.0,Knee injury - Unknown return date,304,10,0.29,0.86,1.15
19,Martinelli,1,3,69,0,-1,6727,4154,1.1,a,,,170,13,0.23,0.02,0.25
20,Trossard,1,3,69,0,-1,1498,790,0.3,a,100.0,,218,9,0.54,0.48,1.02
21,Rice,1,3,65,0,0,32401,18345,8.1,a,,,464,29,0.15,1.04,1.19
22,Merino,1,3,59,0,-1,6874,2493,0.6,a,,,231,14,0.18,0.12,0.3
23,Fábio Vieira,1,3,54,0,-1,0,70,0.0,u,0.0,has joined Hamburger on loan for the rest of the season.,0,0,0.0,0.0,0.0
24,Nørgaard,1,3,53,0,-2,249,593,0.2,a,100.0,,0,0,0.0,0.0,0.0
25,Nwaneri,1,3,53,0,-2,416,992,0.2,a,,,130,5,0.17,0.04,0.21
26,Zubimendi,1,3,55,0,0,26214,19418,4.3,a,,,531,29,0.26,0.64,0.9
28,Kabia,1,3,45,0,0,0,688,0.2,u,0.0,has joined Shrewsbury Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
29,Sambi,1,3,45,0,0,0,298,0.1,u,0.0,has joined Hamburger permanently.,0,0,0.0,0.0,0.0
30,Havertz,1,4,73,0,-2,42,758,0.4,i,0.0,Knee injury - Unknown return date,30,1,0.0,0.01,0.01
31,G.Jesus,1,4,64,0,-1,44,108,0.0,i,0.0,Knee injury - Expected back 30 Dec,0,0,0.0,0.0,0.0
266,Eze,1,3,75,0,0,79559,34390,12.7,a,,,316,16,0.86,0.79,1.65
662,Mosquera,1,2,54,0,-1,908,1380,0.2,a,,,247,12,0.0,0.04,0.04
666,Gyökeres,1,4,90,0,0,135511,110973,25.9,a,,,486,24,2.38,0.4,2.78
700,Dowman,1,3,45,0,0,1145,2791,0.4,a,,,27,5,0.14,0.02,0.16
711,Harriman-Annous,1,3,45,0,0,58,53,0.0,a,,,0,0,0.0,0.0,0.0
725,Hincapie,1,2,54,-1,-1,17,445,0.0,d,25.0,Groin Injury - 25% chance of playing,0,0,0.0,0.0,0.0
32,Martinez,2,1,50,0,0,3060,10494,2.1,a,75.0,,360,14,0.0,0.03,0.03
33,M.Bizot,2,1,44,-1,-1,465,2541,0.6,a,,,180,7,0.0,0.0,0.0
34,Gauci,2,1,40,0,0,0,379,0.1,u,0.0,Has joined Port Vale on loan for the rest of the season.,0,0,0.0,0.0,0.0
35,Marschall,2,1,40,0,0,0,43,0.0,u,0.0,Has joined Stevenage permanently.,0,0,0.0,0.0,0.0
36,Cash,2,2,46,0,1,15938,10113,5.3,a,,,523,27,0.07,0.54,0.61
37,Digne,2,2,45,0,0,3833,3914,1.9,a,,,397,20,0.13,0.55,0.68
38,Konsa,2,2,45,0,0,7636,32915,11.3,a,100.0,,425,14,0.0,0.07,0.07
39,Maatsen,2,2,43,-1,-2,837,1979,0.5,a,,,141,2,0.11,0.2,0.31
40,Mings,2,2,45,0,0,2024,8489,1.5,d,,Knock - 75% chance of playing,481,23,0.33,0.09,0.42
41,Pau,2,2,44,0,-1,520,951,0.3,a,,,164,4,0.07,0.14,0.21
42,A.García,2,2,39,0,-1,2502,700,0.2,a,100.0,,0,0,0.0,0.0,0.0
43,Alex Moreno,2,2,40,0,0,0,16734,3.4,u,0.0,Has joined Girona permanently.,0,0,0.0,0.0,0.0
44,Bogarde,2,2,40,0,0,5514,2079,0.7,a,,,193,13,0.0,0.07,0.07
45,Sousa,2,2,40,0,0,554,788,0.3,a,,,0,0,0.0,0.0,0.0
46,Yasin,2,2,40,0,0,0,1138,0.2,u,0.0,has joined Anderlecht on loan for the rest of the season.,0,0,0.0,0.0,0.0
47,Rogers,2,3,69,0,-1,10594,24889,5.8,a,100.0,,531,17,0.22,0.56,0.78
48,Tielemans,2,3,59,0,-1,44,6383,0.8,i,0.0,Calf injury - Expected back 05 Oct,315,8,0.13,0.37,0.5
49,Bailey,2,3,55,0,0,0,287,0.1,u,0.0,Has joined AS Roma on loan for the rest of the season.,0,0,0.0,0.0,0.0
50,Buendía,2,3,53,0,-2,2426,360,0.1,a,,,275,17,0.72,0.51,1.23
51,Iling Jr,2,3,55,0,0,0,217,0.0,u,0.0,has joined West Bromwich Albion on loan for the rest of the season,0,0,0.0,0.0,0.0
53,Malen,2,3,51,-1,-4,1426,3326,0.6,a,,,145,7,0.31,0.09,0.4
54,McGinn,2,3,54,0,-1,4904,1884,0.6,a,,,480,18,0.56,0.73,1.29
55,Barkley,2,3,48,0,-2,11,136,0.0,i,0.0,Personal Reasons - Unknown return date,0,0,0.0,0.0,0.0
56,Barrenechea,2,3,50,0,0,0,0,0.0,u,0.0,Season-long loan to Benfica,0,0,0.0,0.0,0.0
57,Dobbin,2,3,50,0,0,0,69,0.0,u,0.0,Has joined Preston North End on loan for the rest of the season.,0,0,0.0,0.0,0.0
58,Kamara,2,3,49,0,-1,953,488,0.1,a,100.0,,204,10,0.05,0.12,0.17
59,Onana,2,3,49,0,-1,32,3992,0.7,i,0.0,Hamstring injury - Unknown return date,153,6,0.23,0.05,0.28
60,Broggio,2,3,45,0,0,1516,1278,0.3,a,,,0,0,0.0,0.0,0.0
61,Dendoncker,2,3,45,0,0,0,468,0.1,u,0.0,Has joined Real Oviedo permanently.,0,0,0.0,0.0,0.0
62,Jimoh-Aloba,2,3,45,0,0,344,225,0.1,a,,,0,0,0.0,0.0,0.0
63,Young,2,3,44,0,-1,4746,2562,0.6,a,,,0,0,0.0,0.0,0.0
64,Watkins,2,4,87,0,-3,24095,41957,9.8,a,,,532,18,1.42,0.19,1.61
65,Redmond,2,4,45,0,0,0,2077,0.5,u,0.0,has joined Huddersfield Town on loan for the rest of the season.,0,0,0.0,0.0,0.0
389,Elliott,2,3,54,0,-1,1555,3667,0.5,a,,,97,4,0.19,0.06,0.25
456,Sancho,2,3,59,0,-1,987,1651,0.2,a,,,8,1,0.02,0.04,0.06
677,Guessand,2,3,63,0,-2,316,217,0.0,a,,,259,8,0.32,0.13,0.45
688,Wright,2,1,40,0,0,300,827,0.5,a,,,0,0,0.0,0.0,0.0
701,Rowe,2,2,40,0,0,0,874,0.1,u,0.0,has joined Annecy on loan for the rest of the season.,0,0,0.0,0.0,0.0
702,Burrowes,2,3,45,0,0,228,268,0.1,a,,,16,1,0.0,0.0,0.0
703,Proctor,2,1,40,0,0,265,583,0.3,a,,,0,0,0.0,0.0,0.0
710,Patterson,2,2,40,0,0,112,320,0.1,a,,,0,0,0.0,0.0,0.0
719,Lindelöf,2,2,45,0,0,219,108,0.0,a,100.0,,15,2,0.0,0.0,0.0
