player_id,web_name,first_name,second_name,team_name,team_short,position,current_gw,current_gw_deadline_utc,last_updated_utc,price_m,transfers_in_between_gws_current,transfers_out_between_gws_current,selected_by_percent,price_m_prev,transfers_in_between_gws_current_prev,transfers_out_between_gws_current_prev,selected_by_percent_prev,delta_price_m,delta_transfers_in_between_gws_current,delta_transfers_out_between_gws_current,delta_selected_by_percent
1,Raya,David,Raya Martín,Arsenal,ARS,GK,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,5.5,224266,47826,20.4,5.5,224266,47826,20.4,0.0,0,0,0.0
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,Arsenal,ARS,GK,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,4.5,1952,10178,0.9,4.5,1952,10178,0.9,0.0,0,0,0.0
3,Hein,Karl,Hein,Arsenal,ARS,GK,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,4.0,3368,4251,0.6,4.0,3368,4251,0.6,0.0,0,0,0.0
4,Setford,Tommy,Setford,Arsenal,ARS,GK,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,4.0,843,1262,0.2,4.0,843,1262,0.2,0.0,0,0,0.0
5,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,6.0,232808,66553,20.3,6.0,232808,66553,20.3,0.0,0,0,0.0
6,Saliba,William,Saliba,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,6.0,222715,52002,16.9,6.0,222715,52002,16.9,0.0,0,0,0.0
7,Calafiori,Riccardo,Calafiori,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,5.5,185140,19743,3.6,5.5,185140,19743,3.6,0.0,0,0,0.0
8,J.Timber,Jurriën,Timber,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,5.5,11536,31164,2.1,5.5,11536,31164,2.1,0.0,0,0,0.0
9,Kiwior,Jakub,Kiwior,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,5.5,326,1779,0.1,5.5,326,1779,0.1,0.0,0,0,0.0
10,Lewis-Skelly,Myles,Lewis-Skelly,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,5.5,17409,61689,3.9,5.5,17409,61689,3.9,0.0,0,0,0.0
11,White,Benjamin,White,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,5.5,17144,6497,1.0,5.5,17144,6497,1.0,0.0,0,0,0.0
12,Zinchenko,Oleksandr,Zinchenko,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,5.0,2770,5779,0.4,5.0,2770,5779,0.4,0.0,0,0,0.0
13,Clarke,Brayden,Clarke,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T23:26:27Z,4.0,5500,6725,0.6,4.0,5500,6725,0.6,0.0,0,0,0.0
