player_id,web_name,first_name,second_name,team_name,team_short,position,current_gw,current_gw_deadline_utc,last_updated_utc,price_m,transfers_in_between_gws_current,transfers_out_between_gws_current,selected_by_percent,price_m_prev,transfers_in_between_gws_current_prev,transfers_out_between_gws_current_prev,selected_by_percent_prev,delta_price_m,delta_transfers_in_between_gws_current,delta_transfers_out_between_gws_current,delta_selected_by_percent
29,Sambi,Albert,Sambi Lokonga,Arsenal,ARS,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,1431,2085,0.1,4.5,1431,2085,0.1,0.0,0,0,0.0
30,Havertz,Kai,Havertz,Arsenal,ARS,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,7.5,7855,30767,1.1,7.5,7855,30767,1.1,0.0,0,0,0.0
31,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,ARS,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,6.5,212,925,0.0,6.5,212,925,0.0,0.0,0,0,0.0
662,Mosquera,Cristhian,Mosquera,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.5,361,1874,0.1,5.5,361,1874,0.1,0.0,0,0,0.0
666,Gyökeres,Viktor,Gyökeres,Arsenal,ARS,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,9.0,153865,227843,24.8,9.0,153865,227843,24.8,0.0,0,0,0.0
32,Martinez,Emiliano,Martínez Romero,Aston Villa,AVL,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,5.0,18061,6218,1.1,5.0,18061,6218,1.1,0.0,0,0,0.0
33,M.Bizot,Marco,Bizot,Aston Villa,AVL,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,42314,11512,0.9,4.5,42314,11512,0.9,0.0,0,0,0.0
34,Gauci,Joe,Gauci,Aston Villa,AVL,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,0,3569,0.2,4.0,0,3569,0.2,0.0,0,0,0.0
35,Marschall,Filip,Marschall,Aston Villa,AVL,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,0,301,0.0,4.0,0,301,0.0,0.0,0,0,0.0
36,Cash,Matty,Cash,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,211082,31707,4.4,4.5,211082,31707,4.4,0.0,0,0,0.0
37,Digne,Lucas,Digne,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,41950,11127,2.3,4.5,41950,11127,2.3,0.0,0,0,0.0
38,Konsa,Ezri,Konsa Ngoyo,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,18282,435878,17.0,4.5,18282,435878,17.0,0.0,0,0,0.0
39,Maatsen,Ian,Maatsen,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,3170,12633,0.8,4.5,3170,12633,0.8,0.0,0,0,0.0
40,Mings,Tyrone,Mings,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,36253,7724,1.3,4.5,36253,7724,1.3,0.0,0,0,0.0
41,Pau,Pau,Torres,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.5,3049,6401,0.5,4.5,3049,6401,0.5,0.0,0,0,0.0
42,A.García,Andrés,García,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,404,4670,0.3,4.0,404,4670,0.3,0.0,0,0,0.0
43,Alex Moreno,Álex,Moreno Lopera,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,28037,72883,9.3,4.0,28037,72883,9.3,0.0,0,0,0.0
44,Bogarde,Lamare,Bogarde,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,1562,2714,0.3,4.0,1562,2714,0.3,0.0,0,0,0.0
45,Sousa,Lino,da Cruz Sousa,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,1829,2813,0.4,4.0,1829,2813,0.4,0.0,0,0,0.0
46,Yasin,Yasin,Özcan,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,4.0,1027,1986,0.2,4.0,1027,1986,0.2,0.0,0,0,0.0
47,Rogers,Morgan,Rogers,Aston Villa,AVL,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:16:53Z,7.0,77661,100380,9.7,7.0,77661,100380,9.7,0.0,0,0,0.0
