player_id,web_name,first_name,second_name,team_name,team_short,position,current_gw,current_gw_deadline_utc,last_updated_utc,price_m,transfers_in_between_gws_current,transfers_out_between_gws_current,selected_by_percent,price_m_prev,transfers_in_between_gws_current_prev,transfers_out_between_gws_current_prev,selected_by_percent_prev,delta_price_m,delta_transfers_in_between_gws_current,delta_transfers_out_between_gws_current,delta_selected_by_percent
427,Reijnders,Tijjani,Reijnders,Man City,MCI,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,5.6,991158,33564,30.2,5.6,988214,33402,30.2,0.0,2944,162,0.0
82,Semenyo,Antoine,Semenyo,Bournemouth,BOU,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,7.1,696740,38428,14.1,7.1,694112,38212,14.1,0.0,2628,216,0.0
5,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,6.0,228901,66116,20.2,6.0,226579,65848,20.2,0.0,2322,268,0.0
224,Cucurella,Marc,Cucurella Saseta,Chelsea,CHE,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,6.0,237519,69811,21.3,6.0,235207,69529,21.2,0.0,2312,282,0.10000000000000142
402,Aït-Nouri,Rayan,Aït-Nouri,Man City,MCI,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,6.0,275006,81643,22.8,6.0,272994,81251,22.7,0.0,2012,392,0.10000000000000142
6,Saliba,William,Saliba,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,6.0,219626,51662,16.9,6.0,217666,51474,16.9,0.0,1960,188,0.0
525,Wood,Chris,Wood,Nott'm Forest,NFO,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,7.6,543695,72199,19.0,7.6,542010,71876,19.0,0.0,1685,323,0.0
531,Ballard,Daniel,Ballard,Sunderland,SUN,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,4.6,391929,24123,5.3,4.6,390275,23967,5.3,0.0,1654,156,0.0
7,Calafiori,Riccardo,Calafiori,Arsenal,ARS,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,5.5,182541,19503,3.5,5.5,181087,19357,3.5,0.0,1454,146,0.0
441,Dorgu,Patrick,Dorgu,Man Utd,MUN,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,4.5,133824,28580,7.6,4.5,132501,28453,7.5,0.0,1323,127,0.09999999999999964
430,Haaland,Erling,Haaland,Man City,MCI,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,14.0,368355,38427,29.4,14.0,367261,38217,29.4,0.0,1094,210,0.0
36,Cash,Matty,Cash,Aston Villa,AVL,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,4.5,211082,31707,4.4,4.5,210042,31500,4.4,0.0,1040,207,0.0
661,Ekitiké,Hugo,Ekitiké,Liverpool,LIV,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,8.6,543427,71944,21.4,8.6,542408,71545,21.4,0.0,1019,399,0.0
582,Kudus,Mohammed,Kudus,Spurs,TOT,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,6.5,318589,98668,27.6,6.5,317635,98129,27.6,0.0,954,539,0.0
233,Acheampong,Josh,Acheampong,Chelsea,CHE,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,4.0,156284,19872,2.1,4.0,155334,19671,2.1,0.0,950,201,0.0
373,Virgil,Virgil,van Dijk,Liverpool,LIV,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,6.0,96605,118129,23.9,6.0,95707,117756,23.9,0.0,898,373,0.0
1,Raya,David,Raya Martín,Arsenal,ARS,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,5.5,222703,47481,20.4,5.5,221854,47286,20.4,0.0,849,195,0.0
410,Lewis,Rico,Lewis,Man City,MCI,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,5.0,170465,23659,3.1,5.0,169646,23550,3.1,0.0,819,109,0.0
597,Richarlison,Richarlison,de Andrade,Spurs,TOT,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,6.5,292883,48486,6.0,6.5,292134,48257,6.0,0.0,749,229,0.0
666,Gyökeres,Viktor,Gyökeres,Arsenal,ARS,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,9.0,153865,227843,24.8,9.0,153139,227254,24.8,0.0,726,589,0.0
16,Saka,Bukayo,Saka,Arsenal,ARS,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,10.0,105789,88855,17.0,10.0,105133,88509,17.0,0.0,656,346,0.0
541,Reinildo,Reinildo,Mandava,Sunderland,SUN,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,4.0,141766,33628,8.2,4.0,141156,33436,8.2,0.0,610,192,0.0
450,Cunha,Matheus,Santos Carneiro da Cunha,Man Utd,MUN,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,8.0,131003,57340,9.0,8.0,130402,57122,9.0,0.0,601,218,0.0
220,Sánchez,Robert,Lynch Sánchez,Chelsea,CHE,GK,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,5.0,122932,70975,25.4,5.0,122366,70607,25.4,0.0,566,368,0.0
119,Mbeumo,Bryan,Mbeumo,Man Utd,MUN,MID,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,8.0,130701,95225,14.2,8.0,130144,94856,14.2,0.0,557,369,0.0
561,Mayenda,Eliezer,Mayenda Dossou,Sunderland,SUN,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,5.5,126159,20433,1.8,5.5,125606,20306,1.7,0.0,553,127,0.10000000000000009
249,João Pedro,João Pedro,Junqueira de Jesus,Chelsea,CHE,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,7.5,131443,355350,52.1,7.5,130898,354193,52.1,0.0,545,1157,0.0
97,Evanilson,Francisco Evanilson,de Lima Barbosa,Bournemouth,BOU,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,7.0,59404,29030,2.4,7.0,58876,28910,2.4,0.0,528,120,0.0
575,Van de Ven,Micky,van de Ven,Spurs,TOT,DEF,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,4.5,136836,99742,27.2,4.5,136318,99254,27.2,0.0,518,488,0.0
64,Watkins,Ollie,Watkins,Aston Villa,AVL,FWD,1,2025-08-15T17:30:00Z,2025-08-21T22:11:45Z,9.0,109881,232921,25.4,9.0,109381,232178,25.4,0.0,500,743,0.0
