timestamp,id,web_name,NTI,NTI_1h,NTI_24h
2025-08-23 14:23:00+00:00,7,Calafiori,203797,0.0,0.0
2025-08-24 11:00:00+00:00,7,Calafiori,203797,0.0,0.0
2025-08-24 13:18:00+00:00,7,Calafiori,203797,0.0,0.0
2025-08-24 20:18:00+00:00,7,Calafiori,203797,0.0,0.0
2025-08-24 20:23:00+00:00,7,Calafiori,110507,-93290.0,-93290.0
2025-08-24 22:12:00+00:00,7,Calafiori,107678,-96119.0,-189409.0
2025-08-25 00:04:00+00:00,7,Calafiori,117735,10057.0,-179352.0
2025-08-25 00:25:00+00:00,7,Calafiori,118424,689.0,-178663.0
2025-08-25 21:35:00+00:00,7,Calafiori,155009,31374.0,-53999.0
2025-08-22 20:36:00+00:00,8,J.Timber,-21667,0.0,0.0
2025-08-22 22:18:00+00:00,8,J.Timber,-21667,0.0,0.0
2025-08-23 00:42:00+00:00,8,J.Timber,-21667,0.0,0.0
2025-08-23 14:23:00+00:00,8,J.Timber,-21667,0.0,0.0
2025-08-24 11:00:00+00:00,8,J.Timber,-21667,0.0,0.0
2025-08-24 13:18:00+00:00,8,J.Timber,-21667,0.0,0.0
2025-08-24 20:18:00+00:00,8,J.Timber,-21667,0.0,0.0
2025-08-24 20:23:00+00:00,8,J.Timber,146255,167922.0,167922.0
2025-08-24 22:12:00+00:00,8,J.Timber,142155,163822.0,331744.0
2025-08-25 00:04:00+00:00,8,J.Timber,156349,14194.0,345938.0
2025-08-25 00:25:00+00:00,8,J.Timber,157237,888.0,346826.0
2025-08-25 21:35:00+00:00,8,J.Timber,206643,42788.0,221692.0
2025-08-22 20:36:00+00:00,9,Kiwior,-1596,0.0,0.0
2025-08-22 22:18:00+00:00,9,Kiwior,-1596,0.0,0.0
2025-08-23 00:42:00+00:00,9,Kiwior,-1596,0.0,0.0
2025-08-23 14:23:00+00:00,9,Kiwior,-1596,0.0,0.0
2025-08-24 11:00:00+00:00,9,Kiwior,-1596,0.0,0.0
2025-08-24 13:18:00+00:00,9,Kiwior,-1596,0.0,0.0
2025-08-24 20:18:00+00:00,9,Kiwior,-1596,0.0,0.0
2025-08-24 20:23:00+00:00,9,Kiwior,-564,1032.0,1032.0
2025-08-24 22:12:00+00:00,9,Kiwior,-545,1051.0,2083.0
2025-08-25 00:04:00+00:00,9,Kiwior,-591,-46.0,2037.0
2025-08-25 00:25:00+00:00,9,Kiwior,-591,0.0,2037.0
2025-08-25 21:35:00+00:00,9,Kiwior,-772,-160.0,845.0
2025-08-22 20:36:00+00:00,10,Lewis-Skelly,-48738,0.0,0.0
2025-08-22 22:18:00+00:00,10,Lewis-Skelly,-48738,0.0,0.0
2025-08-23 00:42:00+00:00,10,Lewis-Skelly,-48738,0.0,0.0
2025-08-23 14:23:00+00:00,10,Lewis-Skelly,-48738,0.0,0.0
2025-08-24 11:00:00+00:00,10,Lewis-Skelly,-48738,0.0,0.0
2025-08-24 13:18:00+00:00,10,Lewis-Skelly,-48738,0.0,0.0
2025-08-24 20:18:00+00:00,10,Lewis-Skelly,-48738,0.0,0.0
2025-08-24 20:23:00+00:00,10,Lewis-Skelly,-30311,18427.0,18427.0
2025-08-24 22:12:00+00:00,10,Lewis-Skelly,-29637,19101.0,37528.0
2025-08-25 00:04:00+00:00,10,Lewis-Skelly,-31944,-2307.0,35221.0
2025-08-25 00:25:00+00:00,10,Lewis-Skelly,-32052,-108.0,35113.0
2025-08-25 21:35:00+00:00,10,Lewis-Skelly,-40133,-7320.0,9366.0
2025-08-22 20:36:00+00:00,11,White,13167,0.0,0.0
2025-08-22 22:18:00+00:00,11,White,13167,0.0,0.0
2025-08-23 00:42:00+00:00,11,White,13167,0.0,0.0
2025-08-23 14:23:00+00:00,11,White,13167,0.0,0.0
2025-08-24 11:00:00+00:00,11,White,13167,0.0,0.0
2025-08-24 13:18:00+00:00,11,White,13167,0.0,0.0
2025-08-24 20:18:00+00:00,11,White,13167,0.0,0.0
2025-08-24 20:23:00+00:00,11,White,-11594,-24761.0,-24761.0
2025-08-24 22:12:00+00:00,11,White,-11398,-24565.0,-49326.0
2025-08-25 00:04:00+00:00,11,White,-12191,-793.0,-50119.0
2025-08-25 00:25:00+00:00,11,White,-12251,-60.0,-50179.0
2025-08-25 21:35:00+00:00,11,White,-15232,-2547.0,-27965.0
2025-08-22 20:36:00+00:00,12,Zinchenko,-3274,0.0,0.0
2025-08-22 22:18:00+00:00,12,Zinchenko,-3274,0.0,0.0
2025-08-23 00:42:00+00:00,12,Zinchenko,-3274,0.0,0.0
2025-08-23 14:23:00+00:00,12,Zinchenko,-3274,0.0,0.0
2025-08-24 11:00:00+00:00,12,Zinchenko,-3274,0.0,0.0
2025-08-24 13:18:00+00:00,12,Zinchenko,-3274,0.0,0.0
2025-08-24 20:18:00+00:00,12,Zinchenko,-3274,0.0,0.0
2025-08-24 20:23:00+00:00,12,Zinchenko,-1962,1312.0,1312.0
2025-08-24 22:12:00+00:00,12,Zinchenko,-1912,1362.0,2674.0
2025-08-25 00:04:00+00:00,12,Zinchenko,-2082,-170.0,2504.0
2025-08-25 00:25:00+00:00,12,Zinchenko,-2093,-11.0,2493.0
2025-08-25 21:35:00+00:00,12,Zinchenko,-2720,-540.0,641.0
2025-08-22 20:36:00+00:00,13,Clarke,-1551,0.0,0.0
2025-08-22 22:18:00+00:00,13,Clarke,-1551,0.0,0.0
2025-08-23 00:42:00+00:00,13,Clarke,-1551,0.0,0.0
2025-08-23 14:23:00+00:00,13,Clarke,-1551,0.0,0.0
2025-08-24 11:00:00+00:00,13,Clarke,-1551,0.0,0.0
2025-08-24 13:18:00+00:00,13,Clarke,-1551,0.0,0.0
2025-08-24 20:18:00+00:00,13,Clarke,-1551,0.0,0.0
2025-08-24 20:23:00+00:00,13,Clarke,-1659,-108.0,-108.0
2025-08-24 22:12:00+00:00,13,Clarke,-1616,-65.0,-173.0
2025-08-25 00:04:00+00:00,13,Clarke,-1795,-179.0,-352.0
2025-08-25 00:25:00+00:00,13,Clarke,-1814,-19.0,-371.0
2025-08-25 21:35:00+00:00,13,Clarke,-2435,-553.0,-816.0
2025-08-22 20:36:00+00:00,14,Kacurri,-1109,0.0,0.0
2025-08-22 22:18:00+00:00,14,Kacurri,-1109,0.0,0.0
2025-08-23 00:42:00+00:00,14,Kacurri,-1109,0.0,0.0
2025-08-23 14:23:00+00:00,14,Kacurri,-1109,0.0,0.0
2025-08-24 11:00:00+00:00,14,Kacurri,-1109,0.0,0.0
2025-08-24 13:18:00+00:00,14,Kacurri,-1109,0.0,0.0
2025-08-24 20:18:00+00:00,14,Kacurri,-1109,0.0,0.0
2025-08-24 20:23:00+00:00,14,Kacurri,-597,512.0,512.0
2025-08-24 22:12:00+00:00,14,Kacurri,-577,532.0,1044.0
2025-08-25 00:04:00+00:00,14,Kacurri,-646,-69.0,975.0
2025-08-25 00:25:00+00:00,14,Kacurri,-648,-2.0,973.0
2025-08-25 21:35:00+00:00,14,Kacurri,-832,-160.0,301.0
2025-08-22 20:36:00+00:00,15,Nichols,-1072,0.0,0.0
2025-08-22 22:18:00+00:00,15,Nichols,-1072,0.0,0.0
2025-08-23 00:42:00+00:00,15,Nichols,-1072,0.0,0.0
2025-08-23 14:23:00+00:00,15,Nichols,-1072,0.0,0.0
2025-08-24 11:00:00+00:00,15,Nichols,-1072,0.0,0.0
2025-08-24 13:18:00+00:00,15,Nichols,-1072,0.0,0.0
2025-08-24 20:18:00+00:00,15,Nichols,-1072,0.0,0.0
2025-08-24 20:23:00+00:00,15,Nichols,-628,444.0,444.0
2025-08-24 22:12:00+00:00,15,Nichols,-613,459.0,903.0
2025-08-25 00:04:00+00:00,15,Nichols,-667,-54.0,849.0
2025-08-25 00:25:00+00:00,15,Nichols,-669,-2.0,847.0
2025-08-25 21:35:00+00:00,15,Nichols,-898,-202.0,201.0
2025-08-22 20:36:00+00:00,16,Saka,28345,0.0,0.0
2025-08-22 22:18:00+00:00,16,Saka,28345,0.0,0.0
2025-08-23 00:42:00+00:00,16,Saka,28345,0.0,0.0
2025-08-23 14:23:00+00:00,16,Saka,28345,0.0,0.0
2025-08-24 11:00:00+00:00,16,Saka,28345,0.0,0.0
2025-08-24 13:18:00+00:00,16,Saka,28345,0.0,0.0
2025-08-24 20:18:00+00:00,16,Saka,28345,0.0,0.0
2025-08-24 20:23:00+00:00,16,Saka,-82465,-110810.0,-110810.0
2025-08-24 22:12:00+00:00,16,Saka,-78722,-107067.0,-217877.0
2025-08-25 00:04:00+00:00,16,Saka,-92408,-13686.0,-231563.0
2025-08-25 00:25:00+00:00,16,Saka,-93251,-843.0,-232406.0
2025-08-25 21:35:00+00:00,16,Saka,-210399,-111061.0,-232657.0
2025-08-22 20:36:00+00:00,17,Ødegaard,11392,0.0,0.0
2025-08-22 22:18:00+00:00,17,Ødegaard,11392,0.0,0.0
2025-08-23 00:42:00+00:00,17,Ødegaard,11392,0.0,0.0
2025-08-23 14:23:00+00:00,17,Ødegaard,11392,0.0,0.0
2025-08-24 11:00:00+00:00,17,Ødegaard,11392,0.0,0.0
2025-08-24 13:18:00+00:00,17,Ødegaard,11392,0.0,0.0
2025-08-24 20:18:00+00:00,17,Ødegaard,11392,0.0,0.0
2025-08-24 20:23:00+00:00,17,Ødegaard,-30856,-42248.0,-42248.0
2025-08-24 22:12:00+00:00,17,Ødegaard,-29787,-41179.0,-83427.0
2025-08-25 00:04:00+00:00,17,Ødegaard,-33646,-3859.0,-87286.0
2025-08-25 00:25:00+00:00,17,Ødegaard,-33899,-253.0,-87539.0
2025-08-25 21:35:00+00:00,17,Ødegaard,-48351,-12429.0,-57720.0
2025-08-22 20:36:00+00:00,18,Madueke,-14592,0.0,0.0
2025-08-22 22:18:00+00:00,18,Madueke,-14592,0.0,0.0
2025-08-23 00:42:00+00:00,18,Madueke,-14592,0.0,0.0
2025-08-23 14:23:00+00:00,18,Madueke,-14592,0.0,0.0
2025-08-24 11:00:00+00:00,18,Madueke,-14592,0.0,0.0
2025-08-24 13:18:00+00:00,18,Madueke,-14592,0.0,0.0
2025-08-24 20:18:00+00:00,18,Madueke,-14592,0.0,0.0
2025-08-24 20:23:00+00:00,18,Madueke,-2681,11911.0,11911.0
2025-08-24 22:12:00+00:00,18,Madueke,-2619,11973.0,23884.0
2025-08-25 00:04:00+00:00,18,Madueke,-2856,-237.0,23647.0
2025-08-25 00:25:00+00:00,18,Madueke,-2876,-20.0,23627.0
2025-08-25 21:35:00+00:00,18,Madueke,-3261,-258.0,11458.0
2025-08-22 20:36:00+00:00,19,Martinelli,-8731,0.0,0.0
2025-08-22 22:18:00+00:00,19,Martinelli,-8731,0.0,0.0
2025-08-23 00:42:00+00:00,19,Martinelli,-8731,0.0,0.0
2025-08-23 14:23:00+00:00,19,Martinelli,-8731,0.0,0.0
2025-08-24 11:00:00+00:00,19,Martinelli,-8731,0.0,0.0
2025-08-24 13:18:00+00:00,19,Martinelli,-8731,0.0,0.0
2025-08-24 20:18:00+00:00,19,Martinelli,-8731,0.0,0.0
2025-08-24 20:23:00+00:00,19,Martinelli,-8492,239.0,239.0
2025-08-24 22:12:00+00:00,19,Martinelli,-8287,444.0,683.0
2025-08-25 00:04:00+00:00,19,Martinelli,-8980,-693.0,-10.0
2025-08-25 00:25:00+00:00,19,Martinelli,-9030,-50.0,-60.0
2025-08-25 21:35:00+00:00,19,Martinelli,-11636,-2236.0,-2535.0
2025-08-22 20:36:00+00:00,20,Trossard,-5886,0.0,0.0
2025-08-22 22:18:00+00:00,20,Trossard,-5886,0.0,0.0
2025-08-23 00:42:00+00:00,20,Trossard,-5886,0.0,0.0
2025-08-23 14:23:00+00:00,20,Trossard,-5886,0.0,0.0
2025-08-24 11:00:00+00:00,20,Trossard,-5886,0.0,0.0
2025-08-24 13:18:00+00:00,20,Trossard,-5886,0.0,0.0
2025-08-24 20:18:00+00:00,20,Trossard,-5886,0.0,0.0
2025-08-24 20:23:00+00:00,20,Trossard,-995,4891.0,4891.0
2025-08-24 22:12:00+00:00,20,Trossard,-983,4903.0,9794.0
2025-08-25 00:04:00+00:00,20,Trossard,-1058,-75.0,9719.0
2025-08-25 00:25:00+00:00,20,Trossard,-1065,-7.0,9712.0
2025-08-25 21:35:00+00:00,20,Trossard,-1394,-293.0,4528.0
2025-08-22 20:36:00+00:00,21,Rice,18304,0.0,0.0
2025-08-22 22:18:00+00:00,21,Rice,18304,0.0,0.0
2025-08-23 00:42:00+00:00,21,Rice,18304,0.0,0.0
2025-08-23 14:23:00+00:00,21,Rice,18304,0.0,0.0
2025-08-24 11:00:00+00:00,21,Rice,18304,0.0,0.0
2025-08-24 13:18:00+00:00,21,Rice,18304,0.0,0.0
2025-08-24 20:18:00+00:00,21,Rice,18304,0.0,0.0
2025-08-24 20:23:00+00:00,21,Rice,8989,-9315.0,-9315.0
2025-08-24 22:12:00+00:00,21,Rice,8810,-9494.0,-18809.0
2025-08-25 00:04:00+00:00,21,Rice,9274,464.0,-18345.0
2025-08-25 00:25:00+00:00,21,Rice,9302,28.0,-18317.0
2025-08-25 21:35:00+00:00,21,Rice,12296,2670.0,-6332.0
2025-08-22 20:36:00+00:00,22,Merino,-11440,0.0,0.0
2025-08-22 22:18:00+00:00,22,Merino,-11440,0.0,0.0
2025-08-23 00:42:00+00:00,22,Merino,-11440,0.0,0.0
2025-08-23 14:23:00+00:00,22,Merino,-11440,0.0,0.0
2025-08-24 11:00:00+00:00,22,Merino,-11440,0.0,0.0
2025-08-24 13:18:00+00:00,22,Merino,-11440,0.0,0.0
2025-08-24 20:18:00+00:00,22,Merino,-11440,0.0,0.0
2025-08-24 20:23:00+00:00,22,Merino,-5440,6000.0,6000.0
2025-08-24 22:12:00+00:00,22,Merino,-5320,6120.0,12120.0
2025-08-25 00:04:00+00:00,22,Merino,-5744,-424.0,11696.0
2025-08-25 00:25:00+00:00,22,Merino,-5766,-22.0,11674.0
2025-08-25 21:35:00+00:00,22,Merino,-7229,-1277.0,4397.0
2025-08-22 20:36:00+00:00,23,Fábio Vieira,-462,0.0,0.0
2025-08-22 22:18:00+00:00,23,Fábio Vieira,-462,0.0,0.0
2025-08-23 00:42:00+00:00,23,Fábio Vieira,-462,0.0,0.0
2025-08-23 14:23:00+00:00,23,Fábio Vieira,-462,0.0,0.0
2025-08-24 11:00:00+00:00,23,Fábio Vieira,-462,0.0,0.0
2025-08-24 13:18:00+00:00,23,Fábio Vieira,-462,0.0,0.0
2025-08-24 20:18:00+00:00,23,Fábio Vieira,-462,0.0,0.0
2025-08-24 20:23:00+00:00,23,Fábio Vieira,-172,290.0,290.0
2025-08-24 22:12:00+00:00,23,Fábio Vieira,-167,295.0,585.0
2025-08-25 00:04:00+00:00,23,Fábio Vieira,-188,-21.0,564.0
2025-08-25 00:25:00+00:00,23,Fábio Vieira,-188,0.0,564.0
2025-08-25 21:35:00+00:00,23,Fábio Vieira,-246,-51.0,223.0
2025-08-22 20:36:00+00:00,24,Nørgaard,-16657,0.0,0.0
2025-08-22 22:18:00+00:00,24,Nørgaard,-16657,0.0,0.0
