element,web_name,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type
1,Raya,Arsenal,GK,21,90,6,0,0,1,0,0,0,0,0,0,0,0,19,4.4,0.0,0.0,0.4,1,4,0,0,1,0.00,0.00,0.00,0.36,False,1,1
2,Arrizabalaga,Arsenal,GK,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
3,Hein,Arsenal,GK,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
4,Setford,Arsenal,GK,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
5,Gabriel,Arsenal,DEF,21,90,6,0,0,1,0,0,0,0,0,0,0,0,25,21.8,7.3,12.0,4.1,6,3,0,6,1,0.14,0.05,0.19,0.36,False,1,2
6,Saliba,Arsenal,DEF,21,90,7,0,0,1,0,0,0,0,0,0,0,1,28,13.8,19.3,0.0,3.3,5,4,0,5,1,0.00,0.15,0.15,0.36,False,1,2
7,Calafiori,Arsenal,DEF,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
8,J.Timber,Arsenal,DEF,21,90,6,0,0,1,0,0,0,0,0,0,0,0,24,11.0,3.7,8.0,2.3,5,3,0,5,1,0.00,0.02,0.02,0.36,False,1,2
9,Kiwior,Arsenal,DEF,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
10,Lewis-Skelly,Arsenal,DEF,21,33,1,0,0,0,0,0,0,0,0,0,0,0,5,4.2,10.1,0.0,1.4,0,1,1,1,0,0.00,0.00,0.00,0.22,False,1,2
11,White,Arsenal,DEF,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
12,Zinchenko,Nott'm Forest,DEF,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,16,2
13,Clarke,Arsenal,DEF,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
14,Kacurri,Arsenal,DEF,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
15,Nichols,Arsenal,DEF,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
16,Saka,Arsenal,MID,21,77,3,0,0,1,0,0,0,0,0,0,0,0,6,4.8,3.8,18.0,2.7,0,1,0,1,1,0.13,0.02,0.15,0.30,False,1,3
17,Ødegaard,Arsenal,MID,21,77,3,0,0,1,0,0,0,0,0,0,0,0,12,4.2,14.7,4.0,2.3,1,1,0,2,1,0.00,0.04,0.04,0.30,False,1,3
18,Madueke,Arsenal,MID,21,12,1,0,0,0,0,0,0,0,0,0,0,0,6,2.0,14.5,4.0,2.1,0,0,0,0,0,0.00,0.06,0.06,0.06,False,1,3
19,Martinelli,Arsenal,MID,21,26,0,0,0,0,0,0,0,0,1,0,0,0,3,4.2,0.6,17.0,2.2,0,0,0,0,0,0.02,0.01,0.03,0.15,False,1,3
20,Trossard,Arsenal,MID,21,63,2,0,0,1,0,0,0,0,1,0,0,0,7,2.4,1.7,9.0,1.3,0,3,2,5,1,0.09,0.05,0.14,0.21,False,1,3
21,Rice,Arsenal,MID,21,90,3,0,0,1,0,0,0,0,0,0,0,0,20,18.2,28.8,7.0,5.4,3,4,2,9,1,0.07,0.15,0.22,0.36,False,1,3
22,Merino,Arsenal,MID,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
23,Fábio Vieira,Arsenal,MID,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
24,Nørgaard,Arsenal,MID,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
25,Nwaneri,Arsenal,MID,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
26,Zubimendi,Arsenal,MID,21,90,5,0,0,1,0,0,0,0,0,0,0,0,16,17.8,3.8,2.0,2.4,2,5,5,12,1,0.00,0.11,0.11,0.36,False,1,3
27,Nelson,Brentford,MID,21,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,4.0,0.3,0,3,0,3,0,0.44,0.02,0.46,0.10,False,5,3
28,Kabia,Arsenal,MID,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
29,Sambi,Arsenal,MID,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
30,Havertz,Arsenal,FWD,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,4
