element,web_name,team_name,position,gw,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,in_dreamteam,team,element_type
1,Raya,Arsenal,GK,19,90,2,0,0,0,1,0,0,0,0,0,2,0,12,20.0,0.0,0.0,2.0,2,9,0,0,1,0.00,0.00,0.00,2.67,False,1,1
2,Arrizabalaga,Arsenal,GK,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
3,Hein,Arsenal,GK,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
4,Setford,Arsenal,GK,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,1
5,Gabriel,Arsenal,DEF,19,76,15,1,0,1,0,0,0,0,0,0,0,3,40,47.8,1.4,35.0,8.4,4,2,0,4,1,0.41,0.01,0.42,0.67,True,1,2
6,Saliba,Arsenal,DEF,19,90,2,0,0,0,1,0,0,0,0,0,0,0,10,9.4,1.0,0.0,1.0,2,1,2,4,1,0.00,0.01,0.01,2.67,False,1,2
7,Calafiori,Arsenal,DEF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
8,J.Timber,Arsenal,DEF,19,82,9,0,1,1,0,0,0,0,0,0,0,0,28,21.2,22.3,26.0,7.0,2,1,1,3,1,0.30,0.01,0.31,0.67,False,1,2
9,Kiwior,Arsenal,DEF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
10,Lewis-Skelly,Arsenal,DEF,19,13,1,0,0,0,1,0,0,0,0,0,0,0,-1,0.2,0.2,0.0,0.0,0,1,0,0,0,0.00,0.00,0.00,2.00,False,1,2
11,White,Arsenal,DEF,19,7,1,0,0,0,1,0,0,0,0,0,0,0,-1,3.0,10.3,0.0,1.3,1,0,0,1,0,0.00,0.01,0.01,2.00,False,1,2
12,Zinchenko,Nott'm Forest,DEF,19,90,1,0,0,0,2,0,0,0,0,0,0,0,7,15.8,30.2,7.0,5.3,2,5,0,2,1,0.03,0.06,0.09,1.26,False,16,2
13,Clarke,Arsenal,DEF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
14,Kacurri,Arsenal,DEF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
15,Nichols,Arsenal,DEF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,2
16,Saka,Arsenal,MID,19,82,6,0,1,1,0,0,0,0,0,0,0,0,10,0.0,13.0,15.0,2.7,0,3,1,4,1,0.38,0.02,0.40,0.67,False,1,3
17,Ødegaard,Arsenal,MID,19,90,5,0,1,0,1,0,0,0,0,0,0,0,29,32.8,45.4,41.0,11.9,2,6,2,10,1,0.27,0.61,0.88,2.67,False,1,3
18,Madueke,Arsenal,MID,19,7,1,0,0,0,1,0,0,0,0,0,0,0,8,4.0,14.0,0.0,1.8,0,0,0,0,0,0.00,0.34,0.34,2.00,False,1,3
19,Martinelli,Arsenal,MID,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
20,Trossard,Arsenal,MID,19,90,13,1,1,0,1,0,0,0,0,0,0,3,40,62.2,42.5,32.0,13.7,1,2,2,5,1,0.63,0.25,0.88,2.67,True,1,3
21,Rice,Arsenal,MID,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
22,Merino,Arsenal,MID,19,72,2,0,0,1,0,0,0,0,1,0,0,0,6,14.8,34.9,4.0,5.4,3,4,3,10,1,0.00,0.03,0.03,0.55,False,1,3
23,Fábio Vieira,Arsenal,MID,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
24,Nørgaard,Arsenal,MID,19,17,1,0,0,0,1,0,0,0,0,0,0,0,4,8.2,0.3,0.0,0.9,3,1,0,4,0,0.00,0.00,0.00,2.11,False,1,3
25,Nwaneri,Arsenal,MID,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
26,Zubimendi,Arsenal,MID,19,90,8,1,0,0,1,0,0,0,0,0,0,1,37,45.2,24.9,34.0,10.4,2,2,2,6,1,0.72,0.08,0.80,2.67,False,1,3
27,Nelson,Brentford,MID,19,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2,1.1,0.0,0.1,0,2,0,2,0,0.00,0.00,0.00,0.19,False,5,3
28,Kabia,Arsenal,MID,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
29,Sambi,Arsenal,MID,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,3
30,Havertz,Arsenal,FWD,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,False,1,4
31,G.Jesus,Arsenal,FWD,19,13,4,1,0,0,1,0,0,0,1,0,0,0,25,35.2,0.0,9.0,4.4,0,1,2,3,0,0.09,0.00,0.09,2.00,False,1,4
